[IRV | ML | OT | Genesis | Chapter 14 | Verse 1] ശിനാർരാജാവായ അമ്രാഫെൽ, എലാസാർരാജാവായ അര്യോക്, ഏലാംരാജാവായ കെദൊർലായോമെർ, ജാതികളുടെ രാജാവായ തീദാൽ എന്നിവരുടെ കാലത്തു
[IRV | ML | OT | Genesis | Chapter 14 | Verse 2] ഇവർ സൊദോംരാജാവായ ബേരാ, ഗൊമോരാരാജാവായ ബിർശാ, ആദ്മാരാജാവായ ശിനാബ്, സെബോയീംരാജാവായ ശെമേബെർ, സോവർ എന്ന ബേലയിലെ രാജാവു എന്നിവരോടു യുദ്ധം ചെയ്തു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 3] ഇവരെല്ലാവരും സിദ്ദീംതാഴ്‌വരയിൽ ഒന്നിച്ചുകൂടി. അതു ഇപ്പോൾ ഉപ്പുകടലാകുന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 4] അവർ പന്ത്രണ്ടു സംവത്സരം കെദൊർലായോമെരിന്നു കീഴടങ്ങിയിരിന്നു; പതിമൂന്നാം സംവത്സരത്തിൽ മത്സരിച്ചു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 5] അതുകൊണ്ടു പതിനാലാം സംവത്സരത്തിൽ കെദൊർലായോമെരും അവനോടു കൂടെയുള്ള രാജാക്കന്മാരും വന്നു, അസ്തെരോത്ത് കർന്നയീമിലെ രെഫായികളെയും ഹാമിലെ സൂസ്യരെയും ശാവേകിര്യാത്തായീമിലെ ഏമ്യരെയും
[IRV | ML | OT | Genesis | Chapter 14 | Verse 6] സേയീർമലയിലെ ഹോര്യരെയും മരുഭൂമിക്കു സമീപമുള്ള ഏൽപാരാൻ വരെ തോല്പിച്ചു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 7] പിന്നെ അവർ തിരിഞ്ഞു കാദേശ് എന്ന ഏൻമിശ്പാത്തിൽ വന്നു അമാലേക്യരുടെ ദേശമൊക്കെയും ഹസെസോൻ-താമാരിൽ പാർത്തിരുന്ന അമോര്യരെയും കൂടെ തോല്പിച്ചു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 8] അപ്പോൾ സൊദോംരാജാവും ഗൊമോരാരാജാവും ആദ്മാരാജാവും സെബോയീംരാജാവും സോവർ എന്ന ബേലയിലെ രാജാവും പുറപ്പെട്ടു സിദ്ദീംതാഴ്‌വരയിൽ വെച്ചു
[IRV | ML | OT | Genesis | Chapter 14 | Verse 9] ഏലാംരാജാവായ കെദൊർലായോമെർ, ജാതികളുടെ രാജാവായ തീദാൽ, ശിനാർരാജാവായ അമ്രാഫെൽ, എലാസാർരാജാവായ അര്യോക്ക് എന്നിവരുടെ നേരെ പട നിരത്തി; നാലു രാജാക്കന്മാർ അഞ്ചു രാജാക്കന്മാരുടെ നേരെ തന്നേ.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 10] സിദ്ദീംതാഴ്‌വരയിൽ കീൽകുഴികൾ വളരെയുണ്ടായിരുന്നു; സൊദോംരാജാവും ഗൊമോരാരാജാവും ഓടിപ്പോയി അവിടെ വീണു; ശേഷിച്ചവർ പർവ്വതത്തിലേക്കു ഓടിപ്പോയി.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 11] സൊദോമിലും ഗൊമോരയിലും ഉള്ള സമ്പത്തും ഭക്ഷണ സാധനങ്ങളും എല്ലാം അവൻ എടുത്തുകൊണ്ടുപോയി.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 12] അബ്രാമിന്റെ സഹോദരന്റെ മകനായി സൊദോമിൽ പാർത്തിരുന്ന ലോത്തിനെയും അവന്റെ സമ്പത്തിനെയും അവർ കൊണ്ടുപോയി.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 13] ഓടിപ്പോന്ന ഒരുത്തൻ വന്നു എബ്രായനായ അബ്രാമിനെ അറിയിച്ചു. അവൻ എശ്ക്കോലിന്റെയും ആനേരിന്റെയും സഹോദരനായി അമോര്യനായ മമ്രേയുടെ തോപ്പിൽ പാർത്തിരുന്നു; അവർ അബ്രാമിനോടു സഖ്യത ചെയ്തവർ ആയിരുന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 14] തന്റെ സഹോദരനെ ബദ്ധനാക്കി കൊണ്ടുപോയി എന്നു അബ്രാം കേട്ടപ്പോൾ അവൻ തന്റെ വീട്ടിൽ ജനിച്ചവരും അഭ്യാസികളുമായ മുന്നൂറ്റി പതിനെട്ടു പേരെ കൂട്ടിക്കൊണ്ടു ദാൻവരെ പിന്തുടർന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 15] രാത്രിയിൽ അവനും അവന്റെ ദാസന്മാരും അവരുടെ നേരെ ഭാഗംഭാഗമായി പിരിഞ്ഞു ചെന്നു അവരെ തോല്പിച്ചു ദമ്മേശെക്കിന്റെ ഇടത്തുഭാഗത്തുള്ള ഹോബാവരെ അവരെ പിന്തുടർന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 16] അവൻ സമ്പത്തൊക്കെയും മടക്കിക്കൊണ്ടു വന്നു; തന്റെ സഹോദരനായ ലോത്തിനെയും അവന്റെ സമ്പത്തിനെയും സ്ത്രീകളെയും ജനത്തെയും കൂടെ മടക്കിക്കൊണ്ടുവന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 17] അവൻ കെദൊർലായോമെരിനെയും കൂടെയുള്ള രാജാക്കന്മാരെയും തോല്പിച്ചിട്ടു മടങ്ങിവന്നപ്പോൾ സൊദോംരാജാവു രാജതാഴ്‌വര എന്ന ശാവേതാഴ്‌വരവരെ അവനെ എതിരേറ്റുചെന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 18] ശാലേംരാജാവായ മൽക്കീസേദെക്ക് അപ്പവും വീഞ്ഞുംകൊണ്ടുവന്നു; അവൻ അത്യുന്നതനായ ദൈവത്തിന്റെ പുരോഹിതനായിരുന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 19] അവൻ അവനെ അനുഗ്രഹിച്ചു: സ്വർഗ്ഗത്തിന്നും ഭൂമിക്കും നാഥനായി അത്യുന്നതനായ ദൈവത്താൽ അബ്രാം അനുഗ്രഹിക്കപ്പെടുമാറാകട്ടെ;
[IRV | ML | OT | Genesis | Chapter 14 | Verse 20] നിന്റെ ശത്രുക്കളെ നിന്റെ കൈയിൽ ഏല്പിച്ച അത്യുന്നതനായ ദൈവം സ്തുതിക്കപ്പെടുമാറാകട്ടെ എന്നു പറഞ്ഞു. അവന്നു അബ്രാം സകലത്തിലും ദശാംശം കൊടുത്തു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 21] സൊദോംരാജാവു അബ്രാമിനോടു: ആളുകളെ എനിക്കു തരിക; സമ്പത്തു നീ എടുത്തുകൊൾക എന്നുപറഞ്ഞു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 22] അതിന്നു അബ്രാം സൊദോംരാജാവിനോടു പറഞ്ഞതു: ഞാൻ അബ്രാമിനെ സമ്പന്നനാക്കിയെന്നു നീ പറയാതിരിപ്പാൻ ഞാൻ ഒരു ചരടാകട്ടെ ചെരിപ്പുവാറാകട്ടെ നിനക്കുള്ളതിൽ യാതൊന്നുമാകട്ടെ എടുക്കയില്ല എന്നു ഞാൻ
[IRV | ML | OT | Genesis | Chapter 14 | Verse 23] സ്വർഗ്ഗത്തിന്നും ഭൂമിക്കും നാഥനായി അത്യുന്നതദൈവമായ യഹോവയിങ്കലേക്കു കൈ ഉയർത്തി സത്യം ചെയ്യുന്നു.
[IRV | ML | OT | Genesis | Chapter 14 | Verse 24] ബാല്യക്കാർ ഭക്ഷിച്ചതും എന്നോടുകൂടെ വന്ന ആനേർ, എശ്ക്കോൽ, മമ്രേ എന്നീ പുരുഷന്മാരുടെ ഓഹരിയും മാത്രമേ വേണ്ടു; ഇവർ തങ്ങളുടെ ഓഹരി എടുത്തുകൊള്ളട്ടെ.
