[IRV | ML | OT | Genesis | Chapter 10 | Verse 1] നോഹയുടെ പുത്രന്മാരായ ശേം, ഹാം, യാഫെത്ത് എന്നവരുടെ വംശപാരമ്പര്യമാവിതു: ജലപ്രളയത്തിന്റെ ശേഷം അവർക്കു പുത്രന്മാർ ജനിച്ചു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 2] യാഫെത്തിന്റെ പുത്രന്മാർ: ഗോമെർ, മാഗോഗ്, മാദായി, യാവാൻ, തൂബൽ, മേശെക്, തീരാസ്.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 3] ഗോമെരിന്റെ പുത്രന്മാർ: അസ്കെനാസ്, രീഫത്ത്, തോഗർമ്മാ.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 4] യാവാന്റെ പുത്രന്മാർ: എലീശാ, തർശീശ്, കിത്തീം, ദോദാനീം.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 5] ഇവരാൽ ജാതികളുടെ ദ്വീപുകൾ അതതു ദേശത്തിൽ ഭാഷഭാഷയായും ജാതിജാതിയായും കുലംകുലമായും പിരിഞ്ഞു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 6] ഹാമിന്റെ പുത്രന്മാർ: കൂശ്, മിസ്രയീം, പൂത്ത്, കനാൻ.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 7] കൂശിന്റെ പുത്രന്മാർ: സെബാ, ഹവീലാ, സബ്താ, രമാ, സബ്തെക്കാ; രമയുടെ പുത്രന്മാർ: ശെബയും ദെദാനും.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 8] കൂശ് നിമ്രോദിനെ ജനിപ്പിച്ചു; അവൻ ഭൂമിയിൽ ആദ്യവീരനായിരുന്നു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 9] അവൻ യഹോവയുടെ മുമ്പാകെ നായാട്ടു വീരനായിരുന്നു; അതുകൊണ്ടു: യഹോവയുടെ മുമ്പാകെ നിമ്രോദിനെപ്പോലെ നായാട്ടുവീരൻ എന്നു പഴഞ്ചൊല്ലായി.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 10] അവന്റെ രാജ്യത്തിന്റെ ആരംഭം ശിനാർദേശത്തു ബാബേൽ, ഏരെക്ക്, അക്കാദ്, കൽനേ എന്നിവ ആയിരുന്നു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 11] ആ ദേശത്തനിന്നു അശ്ശൂർ പുറപ്പെട്ടു നീനവേ, രെഹോബൊത്ത് പട്ടണം, കാലഹ്,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 12] നീനവേക്കും കാലഹിന്നും മദ്ധ്യേ മഹാനഗരമായ രേസെൻ എന്നിവ പണിതു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 13] മിസ്രയീമോ; ലൂദീം, അനാമീം, ലെഹാബീം, നഫ്തൂഹീം,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 14] പത്രൂസീം, കസ്ളൂഹീം ‒ ഇവരിൽനിന്നു ഫെലിസ്ത്യർ ഉത്ഭവിച്ചു ‒ കഫ്തോരീം എന്നിവരെ ജനിപ്പിച്ചു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 15] കനാൻ തന്റെ ആദ്യജാതനായ സീദോൻ, ഹേത്ത്,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 16] യെബൂസ്യൻ, അമോര്യൻ,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 17] ഗിർഗ്ഗശ്യൻ, ഹിവ്യൻ, അർക്ക്യൻ, സീന്യൻ,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 18] അർവ്വാദ്യൻ, സെമാര്യൻ, ഹമാത്യൻ എന്നിവരെ ജനിപ്പിച്ചു. പിന്നീടു കനാന്യവംശങ്ങൾ പരന്നു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 19] കനാന്യരുടെ അതിർ സീദോൻ തുടങ്ങി ഗെരാർ വഴിയായി ഗസ്സാവരെയും സൊദോമും ഗൊമോരയും ആദ്മയും സെബോയീമും വഴിയായി ലാശവരെയും ആയിരുന്നു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 20] ഇവർ അതതു ദേശത്തിൽ ജാതിജാതിയായും കുലംകുലമായും ഭാഷഭാഷയായും ഹാമിന്റെ പുത്രന്മാർ.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 21] ഏബെരിന്റെ പുത്രന്മാർക്കൊക്കെയും പിതാവും യാഫെത്തിന്റെ ജ്യേഷ്ഠനുമായ ശേമിന്നും പുത്രന്മാർ ജനിച്ചു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 22] ശേമിന്റെ പുത്രന്മാർ: ഏലാം, അശ്ശൂർ, അർപ്പക്ഷാദ്, ലൂദ്, അരാം.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 23] അരാമിന്റെ പുത്രന്മാർ: ഊസ്, ഹൂൾ, ഗേഥെർ, മശ്.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 24] അർപ്പക്ഷാദ് ശാലഹിനെ ജനിപ്പിച്ചു; ശാലഹ് ഏബെരിനെ ജനിപ്പിച്ചു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 25] ഏബെരിന്നു രണ്ടു പുത്രന്മാർ ജനിച്ചു; ഒരുത്തന്നു പേലെഗ് എന്നു പേർ; അവന്റെ കാലത്തായിരുന്നു ഭൂവാസികൾ പിരിഞ്ഞുപോയതു; അവന്റെ സഹോദരന്നു യൊക്താൻ എന്നു പേർ.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 26] യൊക്താനോ: അല്മോദാദ്,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 27] ശാലെഫ്, ഹസർമ്മാവെത്ത്, യാരഹ്, ഹദോരാം,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 28] ഊസാൽ, ദിക്ലാ, ഓബാൽ, അബീമയേൽ,
[IRV | ML | OT | Genesis | Chapter 10 | Verse 29] ശെബാ, ഓഫീർ, ഹവീലാ, യോബാബ് എന്നിവരെ ജനിപ്പിച്ചു; ഇവർ എല്ലാവരും യൊക്താന്റെ പുത്രന്മാർ ആയിരുന്നു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 30] അവരുടെ വാസസ്ഥലം മേശാതുടങ്ങി കിഴക്കൻമലയായ സെഫാർവരെ ആയിരുന്നു.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 31] ഇവർ അതതു ദേശത്തിൽ ജാതിജാതിയായും കുലംകുലമായും ഭാഷഭാഷയായും ശേമിന്റെ പുത്രന്മാർ.
[IRV | ML | OT | Genesis | Chapter 10 | Verse 32] ഇവർ തന്നേ ജാതിജാതിയായും കുലംകുലമായും നോഹയുടെ പുത്രന്മാരുടെ വംശങ്ങൾ. അവരിൽനിന്നാകുന്നു ജലപ്രളയത്തിന്റെശേഷം ഭൂമിയിൽ ജാതികൾ പിരിഞ്ഞുപോയതു.
