[KJV | EN | OT | Micah | Chapter 1 | Verse 1] The word of the Lord that came to Micah the Morasthite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.
[KJV | EN | OT | Micah | Chapter 1 | Verse 2] Hear, all ye people; Hearken, O earth, and all that therein is: And let the Lord God be witness against you, The Lord from his holy temple.
[KJV | EN | OT | Micah | Chapter 1 | Verse 3] For behold, the Lord cometh forth out of his place, And will come down and tread upon the high places of the earth.
[KJV | EN | OT | Micah | Chapter 1 | Verse 4] And the mountains shall be molten under him, And the valleys shall be cleft, As wax before the fire, And as the waters that are poured down a steep place.
[KJV | EN | OT | Micah | Chapter 1 | Verse 5] For the transgression of Jacob is all this, And for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? And what are the high places of Judah? are they not Jerusalem?
[KJV | EN | OT | Micah | Chapter 1 | Verse 6] Therefore I will make Samaria as a heap of the field, And as plantings of a vineyard: And I will pour down the stones thereof into the valley, And I will discover the foundations thereof.
[KJV | EN | OT | Micah | Chapter 1 | Verse 7] And all the graven images thereof shall be beaten to pieces, And all the hires thereof shall be burnt with the fire, And all the idols thereof will I lay desolate: For she gathered it of the hire of a harlot, And they shall return to the hire of a harlot.
[KJV | EN | OT | Micah | Chapter 1 | Verse 8] Therefore I will wail and howl, I will go stript and naked: I will make a wailing like the dragons, And mourning as the owls.
[KJV | EN | OT | Micah | Chapter 1 | Verse 9] For her wound is incurable; For it is come unto Judah; He is come unto the gate of my people, even to Jerusalem.
[KJV | EN | OT | Micah | Chapter 1 | Verse 10] Declare ye it not at Gath, weep ye not at all: In the house of Aphrah roll thyself in the dust.
[KJV | EN | OT | Micah | Chapter 1 | Verse 11] Pass ye away, thou inhabitant of Saphir, having thy shame naked: The inhabitant of Zaanan came not forth in the mourning of Beth-ezel; He shall receive of you his standing.
[KJV | EN | OT | Micah | Chapter 1 | Verse 12] For the inhabitant of Maroth waited carefully for good: But evil came down from the Lord unto the gate of Jerusalem.
[KJV | EN | OT | Micah | Chapter 1 | Verse 13] O thou inhabitant of Lachish, bind the chariot to the swift beast: She is the beginning of the sin to the daughter of Zion: For the transgressions of Israel were found in thee.
[KJV | EN | OT | Micah | Chapter 1 | Verse 14] Therefore shalt thou give presents to Moresheth-gath: The houses of Achzib shall be a lie to the kings of Israel.
[KJV | EN | OT | Micah | Chapter 1 | Verse 15] Yet will I bring an heir unto thee, O inhabitant of Mareshah: He shall come unto Adullam the glory of Israel.
[KJV | EN | OT | Micah | Chapter 1 | Verse 16] Make thee bald, and poll thee for thy delicate children; Enlarge thy baldness as the eagle; For they are gone into captivity from thee.
