[KJV | EN | OT | Micah | Chapter 3 | Verse 1] And I said, Hear, I pray you, O heads of Jacob, And ye princes of the house of Israel; Is it not for you to know judgment?
[KJV | EN | OT | Micah | Chapter 3 | Verse 2] Who hate the good, and love the evil; Who pluck off their skin from off them, And their flesh from off their bones;
[KJV | EN | OT | Micah | Chapter 3 | Verse 3] Who also eat the flesh of my people, And flay their skin from off them; And they break their bones, And chop them in pieces, as for the pot, And as flesh within the caldron.
[KJV | EN | OT | Micah | Chapter 3 | Verse 4] Then shall they cry unto the Lord, but he will not hear them: He will even hide his face from them at that time, As they have behaved themselves ill in their doings.
[KJV | EN | OT | Micah | Chapter 3 | Verse 5] Thus saith the Lord concerning the prophets that make my people err, That bite with their teeth, and cry, Peace; And he that putteth not into their mouths, They even prepare war against him.
[KJV | EN | OT | Micah | Chapter 3 | Verse 6] Therefore night shall be unto you, that ye shall not have a vision; And it shall be dark unto you, that ye shall not divine; And the sun shall go down over the prophets, And the day shall be dark over them.
[KJV | EN | OT | Micah | Chapter 3 | Verse 7] Then shall the seers be ashamed, and the diviners confounded: Yea, they shall all cover their lips; For there is no answer of God.
[KJV | EN | OT | Micah | Chapter 3 | Verse 8] But truly I am full of power by the spirit of the Lord, And of judgment, and of might, To declare unto Jacob his transgression, And to Israel his sin.
[KJV | EN | OT | Micah | Chapter 3 | Verse 9] Hear this, I pray you, ye heads of the house of Jacob, And princes of the house of Israel, That abhor judgment, and pervert all equity.
[KJV | EN | OT | Micah | Chapter 3 | Verse 10] They build up Zion with blood, And Jerusalem with iniquity.
[KJV | EN | OT | Micah | Chapter 3 | Verse 11] The heads thereof judge for reward, And the priests thereof teach for hire, And the prophets thereof divine for money: Yet will they lean upon the Lord, and say, Is not the Lord among us? None evil can come upon us.
[KJV | EN | OT | Micah | Chapter 3 | Verse 12] Therefore shall Zion for your sake be plowed as a field, And Jerusalem shall become heaps, And the mountain of the house as the high places of the forest.
