[KJV | EN | OT | Micah | Chapter 5 | Verse 1] Now gather thyself in troops, O daughter of troops: He hath laid siege against us: They shall smite the judge of Israel with a rod upon the cheek.
[KJV | EN | OT | Micah | Chapter 5 | Verse 2] But thou, Beth-lehem Ephratah, Though thou be little among the thousands of Judah, Yet out of thee shall he come forth unto me that is to be ruler in Israel; Whose goings forth have been from of old, from everlasting.
[KJV | EN | OT | Micah | Chapter 5 | Verse 3] Therefore will he give them up, Until the time that she which travaileth hath brought forth: Then the remnant of his brethren shall return unto the children of Israel.
[KJV | EN | OT | Micah | Chapter 5 | Verse 4] And he shall stand and feed in the strength of the Lord, In the majesty of the name of the Lord his God; And they shall abide: For now shall he be great unto the ends of the earth.
[KJV | EN | OT | Micah | Chapter 5 | Verse 5] And this man shall be the peace, When the Assyrian shall come into our land: And when he shall tread in our palaces, Then shall we raise against him seven shepherds, And eight principal men.
[KJV | EN | OT | Micah | Chapter 5 | Verse 6] And they shall waste the land of Assyria with the sword, And the land of Nimrod in the entrances thereof: Thus shall he deliver us from the Assyrian, When he cometh into our land, And when he treadeth within our borders.
[KJV | EN | OT | Micah | Chapter 5 | Verse 7] And the remnant of Jacob shall be in the midst of many people As a dew from the Lord, As the showers upon the grass, That tarrieth not for man, Nor waiteth for the sons of men.
[KJV | EN | OT | Micah | Chapter 5 | Verse 8] And the remnant of Jacob shall be among the Gentiles in the midst of many people As a lion among the beasts of the forest, As a young lion among the flocks of sheep: Who, if he go through, both treadeth down, and teareth in pieces, And none can deliver.
[KJV | EN | OT | Micah | Chapter 5 | Verse 9] Thine hand shall be lift up upon thine adversaries, And all thine enemies shall be cut off.
[KJV | EN | OT | Micah | Chapter 5 | Verse 10] And it shall come to pass in that day, saith the Lord, That I will cut off thy horses out of the midst of thee, And I will destroy thy chariots:
[KJV | EN | OT | Micah | Chapter 5 | Verse 11] And I will cut off the cities of thy land, And throw down all thy strong holds:
[KJV | EN | OT | Micah | Chapter 5 | Verse 12] And I will cut off witchcrafts out of thine hand; And thou shalt have no more soothsayers:
[KJV | EN | OT | Micah | Chapter 5 | Verse 13] Thy graven images also will I cut off, And thy standing images out of the midst of thee; And thou shalt no more worship the work of thine hands.
[KJV | EN | OT | Micah | Chapter 5 | Verse 14] And I will pluck up thy groves out of the midst of thee: So will I destroy thy cities.
