[KJV | EN | OT | Micah | Chapter 6 | Verse 1] Hear ye now what the Lord saith; Arise, contend thou before the mountains, And let the hills hear thy voice.
[KJV | EN | OT | Micah | Chapter 6 | Verse 2] Hear ye, O mountains, the Lord’s controversy, And ye strong foundations of the earth: For the Lord hath a controversy with his people, And he will plead with Israel.
[KJV | EN | OT | Micah | Chapter 6 | Verse 3] O my people, what have I done unto thee? And wherein have I wearied thee? Testify against me.
[KJV | EN | OT | Micah | Chapter 6 | Verse 4] For I brought thee up out of the land of Egypt, And redeemed thee out of the house of servants; And I sent before thee Moses, Aaron, and Miriam.
[KJV | EN | OT | Micah | Chapter 6 | Verse 5] O my people, remember now what Balak king of Moab consulted, And what Balaam the son of Beor answered him; From Shittim unto Gilgal; That ye may know the righteousness of the Lord.
[KJV | EN | OT | Micah | Chapter 6 | Verse 6] Wherewith shall I come before the Lord, And bow myself before the high God? Shall I come before him with burnt offerings, With calves of a year old?
[KJV | EN | OT | Micah | Chapter 6 | Verse 7] Will the Lord be pleased with thousands of rams, Or with ten thousands of rivers of oil? Shall I give my firstborn for my transgression, The fruit of my body for the sin of my soul?
[KJV | EN | OT | Micah | Chapter 6 | Verse 8] He hath shewed thee, O man, what is good; And what doth the Lord require of thee, But to do justly, and to love mercy, And to walk humbly with thy God?
[KJV | EN | OT | Micah | Chapter 6 | Verse 9] The Lord’s voice crieth unto the city, And the man of wisdom shall see thy name: Hear ye the rod, and who hath appointed it.
[KJV | EN | OT | Micah | Chapter 6 | Verse 10] Are there yet the treasures of wickedness in the house of the wicked, And the scant measure that is abominable?
[KJV | EN | OT | Micah | Chapter 6 | Verse 11] Shall I count them pure with the wicked balances, And with the bag of deceitful weights?
[KJV | EN | OT | Micah | Chapter 6 | Verse 12] For the rich men thereof are full of violence, And the inhabitants thereof have spoken lies, And their tongue is deceitful in their mouth.
[KJV | EN | OT | Micah | Chapter 6 | Verse 13] Therefore also will I make thee sick in smiting thee, In making thee desolate because of thy sins.
[KJV | EN | OT | Micah | Chapter 6 | Verse 14] Thou shalt eat, but not be satisfied; And thy casting down shall be in the midst of thee; And thou shalt take hold, but shalt not deliver; And that which thou deliverest will I give up to the sword.
[KJV | EN | OT | Micah | Chapter 6 | Verse 15] Thou shalt sow, but thou shalt not reap; Thou shalt tread the olives, but thou shalt not anoint thee with oil; And sweet wine, but shalt not drink wine.
[KJV | EN | OT | Micah | Chapter 6 | Verse 16] For the statutes of Omri are kept, And all the works of the house of Ahab, And ye walk in their counsels; That I should make thee a desolation, And the inhabitants thereof a hissing: Therefore ye shall bear the reproach of my people.
