[KJV | EN | OT | Micah | Chapter 4 | Verse 1] But in the last days it shall come to pass, That the mountain of the house of the Lord shall be established in the top of the mountains, And it shall be exalted above the hills; And people shall flow unto it.
[KJV | EN | OT | Micah | Chapter 4 | Verse 2] And many nations shall come, and say, Come, and let us go up to the mountain of the Lord, And to the house of the God of Jacob; And he will teach us of his ways, And we will walk in his paths: For the law shall go forth of Zion, And the word of the Lord from Jerusalem.
[KJV | EN | OT | Micah | Chapter 4 | Verse 3] And he shall judge among many people, And rebuke strong nations afar off; And they shall beat their swords into plowshares, And their spears into pruninghooks: Nation shall not lift up a sword against nation, Neither shall they learn war any more.
[KJV | EN | OT | Micah | Chapter 4 | Verse 4] But they shall sit every man under his vine and under his fig tree; And none shall make them afraid: For the mouth of the Lord of hosts hath spoken it.
[KJV | EN | OT | Micah | Chapter 4 | Verse 5] For all people will walk every one in the name of his god, And we will walk in the name of the Lord our God for ever and ever.
[KJV | EN | OT | Micah | Chapter 4 | Verse 6] In that day, saith the Lord, will I assemble her that halteth, And I will gather her that is driven out, And her that I have afflicted;
[KJV | EN | OT | Micah | Chapter 4 | Verse 7] And I will make her that halted a remnant, And her that was cast far off a strong nation: And the Lord shall reign over them in mount Zion From henceforth, even for ever.
[KJV | EN | OT | Micah | Chapter 4 | Verse 8] And thou, O tower of the flock, The strong hold of the daughter of Zion, Unto thee shall it come, even the first dominion; The kingdom shall come to the daughter of Jerusalem.
[KJV | EN | OT | Micah | Chapter 4 | Verse 9] Now why dost thou cry out aloud? Is there no king in thee? Is thy counseller perished? For pangs have taken thee as a woman in travail.
[KJV | EN | OT | Micah | Chapter 4 | Verse 10] Be in pain, and labour to bring forth, O daughter of Zion, like a woman in travail: For now shalt thou go forth out of the city, and thou shalt dwell in the field, And thou shalt go even to Babylon; there shalt thou be delivered; There the Lord shall redeem thee from the hand of thine enemies.
[KJV | EN | OT | Micah | Chapter 4 | Verse 11] Now also many nations are gathered against thee, That say, Let her be defiled, and let our eye look upon Zion.
[KJV | EN | OT | Micah | Chapter 4 | Verse 12] But they know not the thoughts of the Lord, Neither understand they his counsel: For he shall gather them as the sheaves into the floor.
[KJV | EN | OT | Micah | Chapter 4 | Verse 13] Arise and thresh, O daughter of Zion: For I will make thine horn iron, and I will make thy hoofs brass: And thou shalt beat in pieces many people: And I will consecrate their gain unto the Lord, And their substance unto the Lord of the whole earth.
