[KJV | EN | NT | John | Chapter 7 | Verse 1] After these things Jesus walked in Galilee: for he would not walk in Jewry, because the Jews sought to kill him.
[KJV | EN | NT | John | Chapter 7 | Verse 2] Now the Jews’ feast of tabernacles was at hand.
[KJV | EN | NT | John | Chapter 7 | Verse 3] His brethren therefore said unto him, Depart hence, and go into Judea, that thy disciples also may see the works that thou doest.
[KJV | EN | NT | John | Chapter 7 | Verse 4] For there is no man that doeth any thing in secret, and he himself seeketh to be known openly. If thou do these things, shew thyself to the world.
[KJV | EN | NT | John | Chapter 7 | Verse 5] For neither did his brethren believe in him.
[KJV | EN | NT | John | Chapter 7 | Verse 6] Then Jesus said unto them, My time is not yet come: but your time is alway ready.
[KJV | EN | NT | John | Chapter 7 | Verse 7] The world cannot hate you; but me it hateth, because I testify of it, that the works thereof are evil.
[KJV | EN | NT | John | Chapter 7 | Verse 8] Go ye up unto this feast: I go not up yet unto this feast; for my time is not yet full come.
[KJV | EN | NT | John | Chapter 7 | Verse 9] When he had said these words unto them, he abode still in Galilee.
[KJV | EN | NT | John | Chapter 7 | Verse 10] But when his brethren were gone up, then went he also up unto the feast, not openly, but as it were in secret.
[KJV | EN | NT | John | Chapter 7 | Verse 11] Then the Jews sought him at the feast, and said, Where is he?
[KJV | EN | NT | John | Chapter 7 | Verse 12] And there was much murmuring among the people concerning him: for some said, He is a good man: others said, Nay; but he deceiveth the people.
[KJV | EN | NT | John | Chapter 7 | Verse 13] Howbeit no man spake openly of him for fear of the Jews.
[KJV | EN | NT | John | Chapter 7 | Verse 14] Now about the midst of the feast Jesus went up into the temple, and taught.
[KJV | EN | NT | John | Chapter 7 | Verse 15] And the Jews marvelled, saying, How knoweth this man letters, having never learned?
[KJV | EN | NT | John | Chapter 7 | Verse 16] Jesus answered them, and said, My doctrine is not mine, but his that sent me.
[KJV | EN | NT | John | Chapter 7 | Verse 17] If any man will do his will, he shall know of the doctrine, whether it be of God, or whether I speak of myself.
[KJV | EN | NT | John | Chapter 7 | Verse 18] He that speaketh of himself seeketh his own glory: but he that seeketh his glory that sent him, the same is true, and no unrighteousness is in him.
[KJV | EN | NT | John | Chapter 7 | Verse 19] Did not Moses give you the law, and yet none of you keepeth the law? Why go ye about to kill me?
[KJV | EN | NT | John | Chapter 7 | Verse 20] The people answered and said, Thou hast a devil: who goeth about to kill thee?
[KJV | EN | NT | John | Chapter 7 | Verse 21] Jesus answered and said unto them, I have done one work, and ye all marvel.
[KJV | EN | NT | John | Chapter 7 | Verse 22] Moses therefore gave unto you circumcision, not because it is of Moses, but of the fathers; and ye on the sabbath day circumcise a man.
[KJV | EN | NT | John | Chapter 7 | Verse 23] If a man on the sabbath day receive circumcision, that the law of Moses should not be broken; are ye angry at me, because I have made a man every whit whole on the sabbath day?
[KJV | EN | NT | John | Chapter 7 | Verse 24] Judge not according to the appearance, but judge righteous judgment.
[KJV | EN | NT | John | Chapter 7 | Verse 25] Then said some of them of Jerusalem, Is not this he, whom they seek to kill?
[KJV | EN | NT | John | Chapter 7 | Verse 26] But lo, he speaketh boldly, and they say nothing unto him. Do the rulers know indeed that this is the very Christ?
[KJV | EN | NT | John | Chapter 7 | Verse 27] Howbeit we know this man whence he is: but when Christ cometh, no man knoweth whence he is.
[KJV | EN | NT | John | Chapter 7 | Verse 28] Then cried Jesus in the temple as he taught, saying, Ye both know me, and ye know whence I am: and I am not come of myself, but he that sent me is true, whom ye know not.
[KJV | EN | NT | John | Chapter 7 | Verse 29] But I know him: for I am from him, and he hath sent me.
[KJV | EN | NT | John | Chapter 7 | Verse 30] Then they sought to take him: but no man laid hands on him, because his hour was not yet come.
[KJV | EN | NT | John | Chapter 7 | Verse 31] And many of the people believed on him, and said, When Christ cometh, will he do moe miracles than these which this man hath done?
[KJV | EN | NT | John | Chapter 7 | Verse 32] The Pharisees heard that the people murmured such things concerning him; and the Pharisees and the chief priests sent officers to take him.
[KJV | EN | NT | John | Chapter 7 | Verse 33] Then said Jesus unto them, Yet a little while am I with you, and then I go unto him that sent me.
[KJV | EN | NT | John | Chapter 7 | Verse 34] Ye shall seek me, and shall not find me: and where I am, thither ye cannot come.
[KJV | EN | NT | John | Chapter 7 | Verse 35] Then said the Jews among themselves, Whither will he go, that we shall not find him? will he go unto the dispersed among the Gentiles, and teach the Gentiles?
[KJV | EN | NT | John | Chapter 7 | Verse 36] What manner of saying is this that he said, Ye shall seek me, and shall not find me: and where I am, thither ye cannot come?
[KJV | EN | NT | John | Chapter 7 | Verse 37] In the last day, that great day of the feast, Jesus stood and cried, saying, If any man thirst, let him come unto me, and drink.
[KJV | EN | NT | John | Chapter 7 | Verse 38] He that believeth on me, as the scripture hath said, out of his belly shall flow rivers of living water.
[KJV | EN | NT | John | Chapter 7 | Verse 39] (But this spake he of the Spirit, which they that believe on him should receive: for the Holy Ghost was not yet given; because that Jesus was not yet glorified.)
