[KJV | EN | NT | John | Chapter 21 | Verse 1] After these things Jesus shewed himself again to the disciples at the sea of Tiberias; and on this wise shewed he himself.
[KJV | EN | NT | John | Chapter 21 | Verse 2] There were together Simon Peter, and Thomas called Didymus, and Nathanael of Cana in Galilee, and the sons of Zebedee, and two other of his disciples.
[KJV | EN | NT | John | Chapter 21 | Verse 3] Simon Peter saith unto them, I go a fishing. They say unto him, We also go with thee. They went forth, and entered into a ship immediately; and that night they caught nothing.
[KJV | EN | NT | John | Chapter 21 | Verse 4] But when the morning was now come, Jesus stood on the shore: but the disciples knew not that it was Jesus.
[KJV | EN | NT | John | Chapter 21 | Verse 5] Then Jesus saith unto them, Children, have ye any meat? They answered him, No.
[KJV | EN | NT | John | Chapter 21 | Verse 6] And he said unto them, Cast the net on the right side of the ship, and ye shall find. They cast therefore, and now they were not able to draw it for the multitude of fishes.
[KJV | EN | NT | John | Chapter 21 | Verse 7] Therefore that disciple whom Jesus loved saith unto Peter, It is the Lord. Now when Simon Peter heard that it was the Lord, he girt his fisher’s coat unto him, (for he was naked,) and did cast himself into the sea.
[KJV | EN | NT | John | Chapter 21 | Verse 8] And the other disciples came in a little ship; (for they were not far from land, but as it were two hundred cubits,) dragging the net with fishes.
[KJV | EN | NT | John | Chapter 21 | Verse 9] As soon then as they were come to land, they saw a fire of coals there, and fish laid thereon, and bread.
[KJV | EN | NT | John | Chapter 21 | Verse 10] Jesus saith unto them, Bring of the fish which ye have now caught.
[KJV | EN | NT | John | Chapter 21 | Verse 11] Simon Peter went up, and drew the net to land full of great fishes, an hundred and fifty and three: and for all there were so many, yet was not the net broken.
[KJV | EN | NT | John | Chapter 21 | Verse 12] Jesus saith unto them, Come and dine. And none of the disciples durst ask him, Who art thou? knowing that it was the Lord.
[KJV | EN | NT | John | Chapter 21 | Verse 13] Jesus then cometh, and taketh bread, and giveth them, and fish likewise.
[KJV | EN | NT | John | Chapter 21 | Verse 14] This is now the third time that Jesus shewed himself to his disciples, after that he was risen from the dead.
[KJV | EN | NT | John | Chapter 21 | Verse 15] So when they had dined, Jesus saith to Simon Peter, Simon, son of Jonas, lovest thou me more than these? He saith unto him, Yea, Lord; thou knowest that I love thee. He saith unto him, Feed my lambs.
[KJV | EN | NT | John | Chapter 21 | Verse 16] He saith to him again the second time, Simon, son of Jonas, lovest thou me? He saith unto him, Yea, Lord; thou knowest that I love thee. He saith unto him, Feed my sheep.
[KJV | EN | NT | John | Chapter 21 | Verse 17] He saith unto him the third time, Simon, son of Jonas, lovest thou me? Peter was grieved because he said unto him the third time, Lovest thou me? And he said unto him, Lord, thou knowest all things; thou knowest that I love thee. Jesus saith unto him, Feed my sheep.
[KJV | EN | NT | John | Chapter 21 | Verse 18] Verily, verily, I say unto thee, When thou wast young, thou girdedst thyself, and walkedst whither thou wouldest: but when thou shalt be old, thou shalt stretch forth thy hands, and another shall gird thee, and carry thee whither thou wouldest not.
[KJV | EN | NT | John | Chapter 21 | Verse 19] This spake he, signifying by what death he should glorify God. And when he had spoken this, he saith unto him, Follow me.
[KJV | EN | NT | John | Chapter 21 | Verse 20] Then Peter, turning about, seeth the disciple whom Jesus loved following; which also leaned on his breast at supper, and said, Lord, which is he that betrayeth thee?
[KJV | EN | NT | John | Chapter 21 | Verse 21] Peter seeing him saith to Jesus, Lord, and what shall this man do?
[KJV | EN | NT | John | Chapter 21 | Verse 22] Jesus saith unto him, If I will that he tarry till I come, what is that to thee? follow thou me.
[KJV | EN | NT | John | Chapter 21 | Verse 23] Then went this saying abroad among the brethren, that that disciple should not die: yet Jesus said not unto him, He shall not die; but, If I will that he tarry till I come, what is that to thee?
[KJV | EN | NT | John | Chapter 21 | Verse 24] This is the disciple which testifieth of these things, and wrote these things: and we know that his testimony is true.
[KJV | EN | NT | John | Chapter 21 | Verse 25] And there are also many other things which Jesus did, the which, if they should be written every one, I suppose that even the world itself could not contain the books that should be written. Amen.
