[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 1] पलिष्टी इस्राएलाशी लढले तेव्हा इस्राएल पलिष्ट्यांच्या पुढून पळून गिलबोवा डोंगरात मारून पडले.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 2] पलिष्टी शौलाच्या व त्याच्या मुलांच्या पाठीस लागले; आणि पलिष्टयांनी शौलाचे पुत्र योनाथान व अबीनादाब व मलकीशुवा यांना जिवे मारले.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 3] शौलावर लढाई भारी पडली व धनुर्धाऱ्यांनी त्यास गाठले. आणि धनुर्धाऱ्यांमुळे तो फार संकटात पडला.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 4] तेव्हा शौल आपल्या शस्त्रवाहकाला म्हणाला, “तू आपली तलवार उपसून तिने मला आरपार भोसक नाही तर हे बेसुंती येऊन मला भोसकून माझी विटंबना करतील.” परंतु त्याचा शस्त्रवाहक मान्य होईना, कारण तो फार भ्याला. म्हणून शौल आपली तलवार घेऊन तिच्यावर पडला.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 5] शौल मेला हे पाहून त्याचा शस्त्रवाहकही त्याच्याप्रमाणेच आपल्या तलवारीवर पडून मेला.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 6] असे त्या दिवशी शौल, त्याचे तिघे पुत्र, व त्याचा शस्त्रवाहक आणि त्याचे सर्व लोक एकदम मरण पावले.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 7] इस्राएलांची माणसे पळाली आणि शौल व त्याचे पुत्र मरण पावले, हे इस्राएलाची माणसे खोऱ्याच्या पलीकडे व यार्देनेच्या पलीकडे होती त्यांनी पाहिले; तेव्हा ती आपली नगरे सोडून पळाली; मग पलिष्टी येऊन त्यामध्ये राहिले.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 8] दुसऱ्या दिवशी असे झाले की, पलिष्टी मेलेल्यांची वस्त्रे लुटायला आले तेव्हा त्यांना शौल व त्याचे तिघे पुत्र गिलबोवा डोंगरात पडलेले सापडले.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 9] तेव्हा त्यांनी त्यांचे शिर छेदून त्याची शस्त्रे काढली आणि पलिष्ट्यांच्या देशात चहूकडे त्यांच्या मूर्तीच्या देवळात व लोकांस हे वर्तमान कळवायला त्यांनी माणसे पाठवली.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 10] त्यांनी त्याची शस्त्रे अष्टारोथाच्या मंदिरात ठेवली आणि त्यांनी त्यांचे प्रेत बेथ-शानाच्या भिंतीस टांगले.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 11] पलिष्ट्यांनी शौलाला जे केले त्याविषयी जेव्हा याबेश-गिलादाच्या रहिवाश्यांनी ऐकले;
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 12] तेव्हा सर्व शूर पुरुष उठून रात्रभर चालत गेले आणि त्यांनी शौलाचे प्रेत व त्याच्या मुलांची प्रेते बेथ-शानाच्या भिंतीवरून काढून याबेशाला आणले व तेथे ती जाळली.
[IRV | MR | OT | 1 Samuel | Chapter 31 | Verse 13] मग त्यांनी त्यांची हाडे घेऊन याबेशात चिचेंच्या झाडाखाली पुरली आणि सात दिवस उपास केला.
