[IRV | UR | NT | Mark | Chapter 3 | Verse 1] और वो इबादतख़ाने में फिर दाख़िल हुआ और वहाँ एक आदमी था, जिसका हाथ सूखा हुआ था।
[IRV | UR | NT | Mark | Chapter 3 | Verse 2] और वो उसके इंतिज़ार में रहे, कि अगर वो उसे सबत के दिन अच्छा करे तो उस पर इल्ज़ाम लगाएँ।
[IRV | UR | NT | Mark | Chapter 3 | Verse 3] उसने उस आदमी से जिसका हाथ सूखा हुआ था कहा “बीच में खड़ा हो।”
[IRV | UR | NT | Mark | Chapter 3 | Verse 4] और उसने कहा “सबत के दिन नेकी करना जाएज़ है या बदी करना? जान बचाना या क़त्ल करना?” वो चुप रह गए।
[IRV | UR | NT | Mark | Chapter 3 | Verse 5] उसने उनकी सख़्त दिली की वजह से ग़मगीन होकर और चारों तरफ़ उन पर ग़ुस्से से नज़र करके उस आदमी से कहा, “अपना हाथ बढ़ा।” उस ने बढ़ा दिया, और उसका हाथ दुरुस्त हो गया।
[IRV | UR | NT | Mark | Chapter 3 | Verse 6] फिर फ़रीसी फ़ौरन बाहर जाकर हेरोदियों के साथ उसके ख़िलाफ़ मशवरा करने लगे। कि उसे किस तरह हलाक करें।
[IRV | UR | NT | Mark | Chapter 3 | Verse 7] और ईसा अपने शागिर्दों के साथ झील की तरफ़ चला गया, और गलील से एक बड़ी भीड़ उसके पीछे हो ली।
[IRV | UR | NT | Mark | Chapter 3 | Verse 8] और यहूदिया और येरूशलेम इदूमया से और यरदन के पार सूर और सैदा के शहरों के आस पास से एक बड़ी भीड़ ये सुन कर कि वो कैसे बड़े काम करता है उसके पास आई।
[IRV | UR | NT | Mark | Chapter 3 | Verse 9] पस उसने अपने शागिर्दों से कहा भीड़ की वजह से एक छोटी नाव मेरे लिए तैयार रहे “ताकि वो मुझे दबा न दें।”
[IRV | UR | NT | Mark | Chapter 3 | Verse 10] क्यूँकि उस ने बहुत लोगों को अच्छा किया था, चुनाँचे जितने लोग जो सख़्त बीमारियों में गिरफ़्तार थे, उस पर गिरे पड़ते थे, कि उसे छू लें।
[IRV | UR | NT | Mark | Chapter 3 | Verse 11] और बदरूहें जब उसे देखती थीं उसके आगे गिर पड़ती और पुकार कर कहती थीं, “तू ख़ुदा का बेटा है।”
[IRV | UR | NT | Mark | Chapter 3 | Verse 12] और वो उनको बड़ी ताकीद करता था, मुझे ज़ाहिर न करना।
[IRV | UR | NT | Mark | Chapter 3 | Verse 13] फिर वो पहाड़ पर चढ़ गया, और जिनको वो आप चाहता था उनको पास बुलाया, और वो उसके पास चले गए।
[IRV | UR | NT | Mark | Chapter 3 | Verse 14] और उसने बारह को मुक़र्रर किया, ताकि उसके साथ रहें और वो उनको भेजे कि मनादी करें।
[IRV | UR | NT | Mark | Chapter 3 | Verse 15] और बदरूहों को निकालने का इख़्तियार रखे।
[IRV | UR | NT | Mark | Chapter 3 | Verse 16] वो ये हैं शमौन जिसका नाम पतरस रखा।
[IRV | UR | NT | Mark | Chapter 3 | Verse 17] और ज़ब्दी का बेटा याक़ूब और याक़ूब का भाई यूहन्ना जिस का नाम बु'आनर्गिस या'नी गरज के बेटे रखा।
[IRV | UR | NT | Mark | Chapter 3 | Verse 18] और अन्द्रियास, फ़िलिप्पुस, बरतुल्माई, और मत्ती, और तोमा, और हलफ़ी का बेटा और तद्दी और शमौन कना'नी।
[IRV | UR | NT | Mark | Chapter 3 | Verse 19] और यहूदाह इस्करियोती जिस ने उसे पकड़वा भी दिया।
[IRV | UR | NT | Mark | Chapter 3 | Verse 20] वो घर में आया और इतने लोग फिर जमा हो गए, कि वो खाना भी न खा सके।
[IRV | UR | NT | Mark | Chapter 3 | Verse 21] जब उसके अज़ीज़ों ने ये सुना तो उसे पकड़ने को निकले, क्यूँकि वो कहते थे“ वो बेख़ुद है।”
[IRV | UR | NT | Mark | Chapter 3 | Verse 22] और आलिम जो येरूशलेम से आए थे, ये कहते थे “उसके साथ बा'लज़बूल है” और ये भी कि “वो बदरूहों के सरदार की मदद से बदरूहों को निकालता है।”
