[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 1] Now there was a man of Benjamin, whose name was Kish, the son of Abiel, the son of Zeror, the son of Becorath, the son of Aphiah, the son of a Benjaminite, a mighty man of valor.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 2] And he had a son, whose name was Saul, a young man and a goodly: and there was not among the children of Israel a goodlier person than he: from his shoulders and upward he was higher than any of the people.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 3] And the asses of Kish, Saul’s father, were lost. And Kish said to Saul his son, Take now one of the servants with thee, and arise, go seek the asses.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 4] And he passed through the hill country of Ephraim, and passed through the land of Shalishah, but they found them not: then they passed through the land of Shaalim, and there they were not: and he passed through the land of the Benjaminites, but they found them not.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 5] When they were come to the land of Zuph, Saul said to his servant that was with him, Come, and let us return, lest my father leave off caring for the asses, and be anxious for us.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 6] And he said unto him, Behold now, there is in this city a man of God, and he is a man that is held in honor; all that he saith cometh surely to pass: now let us go thither; peradventure he can tell us concerning our journey whereon we go.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 7] Then said Saul to his servant, But, behold, if we go, what shall we bring the man? for the bread is spent in our vessels, and there is not a present to bring to the man of God: what have we?
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 8] And the servant answered Saul again, and said, Behold, I have in my hand the fourth part of a shekel of silver: that will I give to the man of God, to tell us our way.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 9] (Beforetime in Israel, when a man went to inquire of God, thus he said, Come, and let us go to the seer; for he that is now called a Prophet was beforetime called a Seer.)
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 10] Then said Saul to his servant, Well said; come, let us go. So they went unto the city where the man of God was.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 11] As they went up the ascent to the city, they found young maidens going out to draw water, and said unto them, Is the seer here?
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 12] And they answered them, and said, He is; behold, he is before thee: make haste now, for he is come today into the city; for the people have a sacrifice today in the high place.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 13] As soon as ye are come into the city, ye shall straightaway find him, before he goeth up to the high place to eat; for the people will not eat until he come, because he doth bless the sacrifice; and afterward they eat that are bidden. Now therefore get you up; for at this time ye shall find him.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 14] And they went up to the city; and as they came within the city, behold, Samuel came out toward them, to go up to the high place.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 15] Now Jehovah had revealed unto Samuel a day before Saul came, saying,
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 16] Tomorrow about this time I will send thee a man out of the land of Benjamin, and thou shalt anoint him to be prince over my people Israel; and he shall save my people out of the hand of the Philistines: for I have looked upon my people, because their cry is come unto me.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 17] And when Samuel saw Saul, Jehovah said unto him, Behold, the man of whom I spake to thee! this same shall have authority over my people.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 18] Then Saul drew near to Samuel in the gate, and said, Tell me, I pray thee, where the seer’s house is.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 19] And Samuel answered Saul, and said, I am the seer; go up before me unto the high place, for ye shall eat with me today: and in the morning I will let thee go, and will tell thee all that is in thy heart.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 20] And as for thine asses that were lost three days ago, set not thy mind on them; for they are found. And for whom is all that is desirable in Israel? Is it not for thee, and for all thy father’s house?
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 21] And Saul answered and said, Am not I a Benjaminite, of the smallest of the tribes of Israel? and my family the least of all the families of the tribe of Benjamin? wherefore then speakest thou to me after this manner?
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 22] And Samuel took Saul and his servant, and brought them into the guestchamber, and made them sit in the chiefest place among them that were bidden, who were about thirty persons.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 23] And Samuel said unto the cook, Bring the portion which I gave thee, of which I said unto thee, Set it by thee.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 24] And the cook took up the thigh, and that which was upon it, and set it before Saul. And Samuel said, Behold, that which hath been reserved! set it before thee and eat; because unto the appointed time hath it been kept for thee, for I said, I have invited the people. So Saul did eat with Samuel that day.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 25] And when they were come down from the high place into the city, he communed with Saul upon the housetop.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 26] And they arose early: and it came to pass about the spring of the day, that Samuel called to Saul on the housetop, saying, Up, that I may send thee away. And Saul arose, and they went out both of them, he and Samuel, abroad.
[ASV | EN | OT | 1 Samuel | Chapter 9 | Verse 27] As they were going down at the end of the city, Samuel said to Saul, Bid the servant pass on before us (and he passed on), but stand thou still first, that I may cause thee to hear the word of God.
