[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 1] And the child Samuel ministered unto Jehovah before Eli. And the word of Jehovah was precious in those days; there was no frequent vision.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 2] And it came to pass at that time, when Eli was laid down in his place (now his eyes had begun to wax dim, so that he could not see),
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 3] and the lamp of God was not yet gone out, and Samuel was laid down to sleep, in the temple of Jehovah, where the ark of God was;
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 4] that Jehovah called Samuel: and he said, Here am I.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 5] And he ran unto Eli, and said, Here am I; for thou calledst me. And he said, I called not; lie down again. And he went and lay down.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 6] And Jehovah called yet again, Samuel. And Samuel arose and went to Eli, and said, Here am I; for thou calledst me. And he answered, I called not, my son; lie down again.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 7] Now Samuel did not yet know Jehovah, neither was the word of Jehovah yet revealed unto him.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 8] And Jehovah called Samuel again the third time. And he arose and went to Eli, and said, Here am I; for thou calledst me. And Eli perceived that Jehovah had called the child.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 9] Therefore Eli said unto Samuel, Go, lie down: and it shall be, if he call thee, that thou shalt say, Speak, Jehovah; for thy servant heareth. So Samuel went and lay down in his place.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 10] And Jehovah came, and stood, and called as at other times, Samuel, Samuel. Then Samuel said, Speak; for thy servant heareth.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 11] And Jehovah said to Samuel, Behold, I will do a thing in Israel, at which both the ears of everyone that heareth it shall tingle.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 12] In that day I will perform against Eli all that I have spoken concerning his house, from the beginning even unto the end.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 13] For I have told him that I will judge his house forever, for the iniquity which he knew, because his sons did bring a curse upon themselves, and he restrained them not.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 14] And therefore I have sworn unto the house of Eli, that the iniquity of Eli’s house shall not be expiated with sacrifice nor offering forever.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 15] And Samuel lay until the morning, and opened the doors of the house of Jehovah. And Samuel feared to show Eli the vision.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 16] Then Eli called Samuel, and said, Samuel, my son. And he said, Here am I.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 17] And he said, What is the thing that Jehovah hath spoken unto thee? I pray thee, hide it not from me: God do so to thee, and more also, if thou hide anything from me of all the things that he spake unto thee.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 18] And Samuel told him every whit, and hid nothing from him. And he said, It is Jehovah: let him do what seemeth him good.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 19] And Samuel grew, and Jehovah was with him, and did let none of his words fall to the ground.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 20] And all Israel from Dan even to Beer-sheba knew that Samuel was established to be a prophet of Jehovah.
[ASV | EN | OT | 1 Samuel | Chapter 3 | Verse 21] And Jehovah appeared again in Shiloh; for Jehovah revealed himself to Samuel in Shiloh by the word of Jehovah.
