[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 1] And it came to pass, when Saul was returned from following the Philistines, that it was told him, saying, Behold, David is in the wilderness of En-gedi.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 2] Then Saul took three thousand chosen men out of all Israel, and went to seek David and his men upon the rocks of the wild goats.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 3] And he came to the sheepcotes by the way, where was a cave; and Saul went in to cover his feet. Now David and his men were abiding in the innermost parts of the cave.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 4] And the men of David said unto him, Behold, the day of which Jehovah said unto thee, Behold, I will deliver thine enemy into thy hand, and thou shalt do to him as it shall seem good unto thee. Then David arose, and cut off the skirt of Saul’s robe privily.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 5] And it came to pass afterward, that David’s heart smote him, because he had cut off Saul’s skirt.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 6] And he said unto his men, Jehovah forbid that I should do this thing unto my lord, Jehovah’s anointed, to put forth my hand against him, seeing he is Jehovah’s anointed.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 7] So David checked his men with these words, and suffered them not to rise against Saul. And Saul rose up out of the cave, and went on his way.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 8] David also arose afterward, and went out of the cave, and cried after Saul, saying, My lord the king. And when Saul looked behind him, David bowed with his face to the earth, and did obeisance.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 9] And David said to Saul, Wherefore hearkenest thou to men’s words, saying, Behold, David seeketh thy hurt?
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 10] Behold, this day thine eyes have seen how that Jehovah had delivered thee today into my hand in the cave: and some bade me kill thee; but mine eye spared thee; and I said, I will not put forth my hand against my lord; for he is Jehovah’s anointed.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 11] Moreover, my father, see, yea, see the skirt of thy robe in my hand; for in that I cut off the skirt of thy robe, and killed thee not, know thou and see that there is neither evil nor transgression in my hand, and I have not sinned against thee, though thou huntest after my life to take it.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 12] Jehovah judge between me and thee, and Jehovah avenge me of thee; but my hand shall not be upon thee.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 13] As saith the proverb of the ancients, Out of the wicked cometh forth wickedness; but my hand shall not be upon thee.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 14] After whom is the king of Israel come out? after whom dost thou pursue? after a dead dog, after a flea.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 15] Jehovah therefore be judge, and give sentence between me and thee, and see, and plead my cause, and deliver me out of thy hand.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 16] And it came to pass, when David had made an end of speaking these words unto Saul, that Saul said, Is this thy voice, my son David? And Saul lifted up his voice, and wept.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 17] And he said to David, Thou art more righteous than I; for thou hast rendered unto me good, whereas I have rendered unto thee evil.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 18] And thou hast declared this day how that thou hast dealt well with me, forasmuch as when Jehovah had delivered me up into thy hand, thou killedst me not.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 19] For if a man find his enemy, will he let him go well away? wherefore Jehovah reward thee good for that which thou hast done unto me this day.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 20] And now, behold, I know that thou shalt surely be king, and that the kingdom of Israel shall be established in thy hand.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 21] Swear now therefore unto me by Jehovah, that thou wilt not cut off my seed after me, and that thou wilt not destroy my name out of my father’s house.
[ASV | EN | OT | 1 Samuel | Chapter 24 | Verse 22] And David sware unto Saul. And Saul went home; but David and his men gat them up unto the stronghold.
