[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 1] Bvt there were false prophets also among the people, euen as there shalbe false teachers among you: which priuily shall bring in damnable heresies, euen denying the Lord, that hath bought them, and bring vpon themselues swift damnation.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 2] And many shall follow their destructions, by whom the way of trueth shalbe euil spoken of,
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 3] And through couetousnes shall they with fained words make marchandise of you, whose condemnation long since resteth not, and their destruction slumbreth not.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 4] For if God spared not the Angels that had sinned, but cast them downe into hell, and deliuered them into chaines of darkenes, to be kept vnto damnation:
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 5] Neither hath spared the olde worlde, but saued Noe the eight person a preacher of righteousnesse, and brought in the flood vpon the world of the vngodly,
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 6] And turned the cities of Sodom and Gomorrhe into ashes, condemned them and ouerthrewe them, and made them an ensample vnto them that after should liue vngodly,
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 7] And deliuered iust Loth vexed with the vncleanly conuersation of the wicked:
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 8] (For he being righteous, and dwelling among them, in seeing and hearing, vexed his righteous soule from day to day with their vnlawfull deedes.)
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 9] The Lord knoweth to deliuer the godly out of tentation, and to reserue the vniust vnto the day of iudgement vnder punishment.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 10] And chiefly them that walke after the flesh, in the lust of vncleannesse, and despise gouernement, which are bolde, and stand in their owne conceite, and feare not to speake euill of them that are in dignitie.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 11] Where as the Angels which are greater both in power and might, giue not railing iudgement against them before the Lord.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 12] But these, as naturall brute beasts, led with sensualitie and made to be taken, and destroyed, speake euill of those things which they know not, and shall perish through their owne corruption,
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 13] And shall receiue the wages of vnrighteousnes, as they which count it pleasure dayly to liue deliciously. Spottes they are and blottes, deliting them selues in their deceiuings, in feasting with you,
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 14] Hauing eyes full of adulterie, and that can not cease to sinne, beguiling vnstable soules: they haue heartes exercised with couetousnesse, they are the children of curse:
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 15] Which forsaking the right way, haue gone astray, folowing the way of Balaam, the sonne of Bosor, which loued the wages of vnrighteousnes.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 16] But he was rebuked for his iniquitie: for the dumme beast speaking with mans voyce, forbade the foolishnesse of the Prophet.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 17] These are welles without water, and cloudes caried about with a tempest, to whome the blacke darkenes is reserued for euer.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 18] For in speaking swelling wordes of vanitie, they beguile with wantonnesse through the lusts of the flesh them that were cleane escaped from them which are wrapped in errour,
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 19] Promising vnto them libertie, and are themselues the seruants of corruption: for of whomsoeuer a man is ouercome, euen vnto the same is he in bondage.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 20] For if they, after they haue escaped from the filthinesse of the world, through the acknowledging of the Lord, and of the Sauiour Iesus Christ, are yet tangled againe therein, and ouercome, the latter ende is worse with them then the beginning.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 21] For it had bene better for them, not to haue acknowledged the way of righteousnes, then after they haue acknowledged it, to turne from the holy commandement giuen vnto them.
[GNV | EN | NT | 2 Peter | Chapter 2 | Verse 22] But it is come vnto them, according to the true Prouerbe, The dogge is returned to his owne vomit: and, The sowe that was washed, to the wallowing in the myre.
