[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 1] Simon Peter a seruant and an Apostle of Iesus Christ, to you which haue obteined like precious faith with vs by the righteousnesse of our God and Sauiour Iesus Christ:
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 2] Grace and peace be multiplied to you, through the acknowledging of God, and of Iesus our Lord,
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 3] According as his diuine power hath giuen vnto vs all things that perteine vnto life and godlinesse, through the acknowledging of him that hath called vs vnto glory and vertue.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 4] Whereby most great and precious promises are giuen vnto vs, that by them ye should be partakers of the diuine nature, in that ye flee the corruption, which is in the worlde through lust.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 5] Therefore giue euen all diligence thereunto: ioyne moreouer vertue with your faith: and with vertue, knowledge:
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 6] And with knowledge, temperance: and with temperance, patience: and with patience, godlines:
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 7] And with godlines, brotherly kindnes: and with brotherly kindnes, loue.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 8] For if these things be among you, and abound, they will make you that ye neither shalbe idle, nor vnfruitfull in the acknowledging of our Lord Iesus Christ:
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 9] For he that hath not these things, is blinde, and can not see farre off, and hath forgotten that he was purged from his olde sinnes.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 10] Wherefore, brethren, giue rather diligence to make your calling and election sure: for if ye doe these things, ye shall neuer fall.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 11] For by this meanes an entring shalbe ministred vnto you aboundantly into the euerlasting kingdome of our Lord and Sauiour Iesus Christ.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 12] Wherefore, I will not be negligent to put you alwayes in remembrance of these things, though that ye haue knowledge, and be stablished in the present trueth.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 13] For I thinke it meete as long as I am in this tabernacle, to stirre you vp by putting you in remembrance,
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 14] Seeing I knowe that the time is at hand that I must lay downe this my tabernacle, euen as our Lord Iesus Christ hath shewed me.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 15] I will endeuour therefore alwayes, that ye also may be able to haue remembrance of these things after my departing.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 16] For we followed not deceiuable fables when we opened vnto you the power, and comming of our Lord Iesus Christ, but with our eyes we saw his maiestie:
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 17] For he receiued of God the Father honour and glory, when there came such a voyce to him from that excellent glory, This is my beloued Sonne, in whom I am well pleased.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 18] And this voyce we heard when it came from heauen, being with him in the Holy mount.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 19] We haue also a most sure worde of the Prophets, to the which ye doe well that yee take heede, as vnto a light that shineth in a darke place, vntill the day dawne, and the day starre arise in your hearts.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 20] So that yee first knowe this, that no prophecie of the Scripture is of any priuate interpretation.
[GNV | EN | NT | 2 Peter | Chapter 1 | Verse 21] For the prophecie came not in olde time by the will of man: but holy men of God spake as they were moued by the holy Ghost.
