[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 1] A PRAYER of Habakkuk the prophet, set to Shigionoth.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 2] O LORD, I have heard the report of thee, and am afraid: O LORD, revive thy work in the midst of the years, in the midst of the years make it known; in wrath remember mercy.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 3] God came from Teman, and the Holy One from mount Paran. \+w Selah\+w* His glory covered the heavens, and the earth was full of his praise.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 4] And his brightness was as the light; he had rays coming forth from his hand: and there was the hiding of his power.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 5] Before him went the pestilence, and fiery bolts went forth at his feet.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 6] He stood, and measured the earth; he beheld, and drove asunder the nations: and the eternal mountains were scattered, the everlasting hills did bow; his goings were as of old.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 7] I saw the tents of Cushan in affliction: the curtains of the land of Midian did tremble.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 8] Was the LORD displeased against the rivers? was thine anger against the rivers, or thy wrath against the sea, that thou didst ride upon thine horses, upon thy chariots of salvation?
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 9] Thy bow was made quite bare; the oaths to the tribes were a sure word. \+w Selah\+w* Thou didst cleave the earth with rivers.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 10] The mountains saw thee, and were afraid; the tempest of waters passed by: the deep uttered his voice, and lifted up his hands on high.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 11] The sun and moon stood still in their habitation; at the light of thine arrows as they went, at the shining of thy glittering spear.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 12] Thou didst march through the land in indignation, thou didst thresh the nations in anger.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 13] Thou wentest forth for the salvation of thy people, for the salvation of thine anointed; thou woundedst the head out of the house of the wicked, laying bare the foundation even unto the neck. \+w Selah\+w*
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 14] Thou didst pierce with his own staves the head of his warriors: they came as a whirlwind to scatter me: their rejoicing was as to devour the poor secretly.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 15] Thou didst tread the sea with thine horses, the heap of mighty waters.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 16] I heard, and my belly trembled, my lips quivered at the voice; rottenness entered into my bones, and I trembled in my place: that I should rest in the day of trouble, when it cometh up against the people which invadeth him in troops.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 17] For though the fig tree shall not blossom, neither shall fruit be in the vines; the labour of the olive shall fail, and the fields shall yield no meat; the flock shall be cut off from the fold, and there shall be no herd in the stalls:
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 18] Yet I will rejoice in the LORD, I will joy in the God of my salvation.
[ERV | EN | OT | Habakkuk | Chapter 3 | Verse 19] Jehovah, the Lord, is my strength, and he maketh my feet like hinds’ feet, and will make me to walk upon mine high places. For the Chief Musician, on my stringed instruments.
