[YLT | EN | NT | Mark | Chapter 13 | Verse 1] And as he is going forth out of the temple, one of his disciples saith to him, 'Teacher, see! what stones! and what buildings!'
[YLT | EN | NT | Mark | Chapter 13 | Verse 2] and Jesus answering said to him, 'Seest thou these great buildings? there may not be left a stone upon a stone, that may not be thrown down.'
[YLT | EN | NT | Mark | Chapter 13 | Verse 3] And as he is sitting at the mount of the Olives, over-against the temple, Peter, and James, and John, and Andrew, were questioning him by himself,
[YLT | EN | NT | Mark | Chapter 13 | Verse 4] 'Tell us when these things shall be? and what [is] the sign when all these may be about to be fulfilled?'
[YLT | EN | NT | Mark | Chapter 13 | Verse 5] And Jesus answering them, began to say, 'Take heed lest any one may lead you astray,
[YLT | EN | NT | Mark | Chapter 13 | Verse 6] for many shall come in my name, saying — I am [he], and many they shall lead astray;
[YLT | EN | NT | Mark | Chapter 13 | Verse 7] and when ye may hear of wars and reports of wars, be not troubled, for these behove to be, but the end [is] not yet;
[YLT | EN | NT | Mark | Chapter 13 | Verse 8] for nation shall rise against nation, and kingdom against kingdom, and there shall be earthquakes in divers places, and there shall be famines and troubles; beginnings of sorrows [are] these.
[YLT | EN | NT | Mark | Chapter 13 | Verse 9] 'And take ye heed to yourselves, for they shall deliver you up to sanhedrims, and to synagogues, ye shall be beaten, and before governors and kings ye shall be set for my sake, for a testimony to them;
[YLT | EN | NT | Mark | Chapter 13 | Verse 10] and to all the nations it behoveth first that the good news be proclaimed.
[YLT | EN | NT | Mark | Chapter 13 | Verse 11] 'And when they may lead you, delivering up, be not anxious beforehand what ye may speak, nor premeditate, but whatever may be given to you in that hour, that speak ye, for it is not ye who are speaking, but the Holy Spirit.
[YLT | EN | NT | Mark | Chapter 13 | Verse 12] 'And brother shall deliver up brother to death, and father child, and children shall rise up against parents, and shall put them to death,
[YLT | EN | NT | Mark | Chapter 13 | Verse 13] and ye shall be hated by all because of my name, but he who hath endured to the end — he shall be saved.
[YLT | EN | NT | Mark | Chapter 13 | Verse 14] 'And when ye may see the abomination of the desolation, that was spoken of by Daniel the prophet, standing where it ought not, (whoever is reading let him understand), then those in Judea, let them flee to the mountains;
[YLT | EN | NT | Mark | Chapter 13 | Verse 15] and he upon the house-top, let him not come down to the house, nor come in to take anything out of his house;
[YLT | EN | NT | Mark | Chapter 13 | Verse 16] and he who is in the field, let him not turn to the things behind, to take up his garment.
[YLT | EN | NT | Mark | Chapter 13 | Verse 17] 'And woe to those with child, and to those giving suck, in those days;
[YLT | EN | NT | Mark | Chapter 13 | Verse 18] and pray ye that your flight may not be in winter,
[YLT | EN | NT | Mark | Chapter 13 | Verse 19] for those days shall be tribulation, such as hath not been from the beginning of the creation that God created, till now, and may not be;
[YLT | EN | NT | Mark | Chapter 13 | Verse 20] and if the Lord did not shorten the days, no flesh had been saved; but because of the chosen, whom He did choose to Himself, He did shorten the days.
[YLT | EN | NT | Mark | Chapter 13 | Verse 21] 'And then, if any may say to you, Lo, here [is] the Christ, or, Lo, there, ye may not believe;
[YLT | EN | NT | Mark | Chapter 13 | Verse 22] for there shall rise false Christs and false prophets, and they shall give signs and wonders, to seduce, if possible, also the chosen;
[YLT | EN | NT | Mark | Chapter 13 | Verse 23] and ye, take heed; lo, I have foretold you all things.
[YLT | EN | NT | Mark | Chapter 13 | Verse 24] 'But in those days, after that tribulation, the sun shall be darkened, and the moon shall not give her light,
[YLT | EN | NT | Mark | Chapter 13 | Verse 25] and the stars of the heaven shall be falling, and the powers that are in the heavens shall be shaken.
[YLT | EN | NT | Mark | Chapter 13 | Verse 26] 'And then they shall see the Son of Man coming in clouds with much power and glory,
[YLT | EN | NT | Mark | Chapter 13 | Verse 27] and then he shall send his messengers, and gather together his chosen from the four winds, from the end of the earth unto the end of heaven.
[YLT | EN | NT | Mark | Chapter 13 | Verse 28] 'And from the fig-tree learn ye the simile: when the branch may already become tender, and may put forth the leaves, ye know that nigh is the summer;
[YLT | EN | NT | Mark | Chapter 13 | Verse 29] so ye, also, when these ye may see coming to pass, ye know that it is nigh, at the doors.
[YLT | EN | NT | Mark | Chapter 13 | Verse 30] Verily I say to you, that this generation may not pass away till all these things may come to pass;
[YLT | EN | NT | Mark | Chapter 13 | Verse 31] the heaven and the earth shall pass away, but my words shall not pass away.
[YLT | EN | NT | Mark | Chapter 13 | Verse 32] 'And concerning that day and the hour no one hath known — not even the messengers who are in the heaven, not even the Son — except the Father.
[YLT | EN | NT | Mark | Chapter 13 | Verse 33] Take heed, watch and pray, for ye have not known when the time is;
[YLT | EN | NT | Mark | Chapter 13 | Verse 34] as a man who is gone abroad, having left his house, and given to his servants the authority, and to each one his work, did command also the porter that he may watch;
[YLT | EN | NT | Mark | Chapter 13 | Verse 35] watch ye, therefore, for ye have not known when the lord of the house doth come, at even, or at midnight, or at cock-crowing, or at the morning;
[YLT | EN | NT | Mark | Chapter 13 | Verse 36] lest, having come suddenly, he may find you sleeping;
[YLT | EN | NT | Mark | Chapter 13 | Verse 37] and what I say to you, I say to all, Watch.'
