[YLT | EN | NT | Luke | Chapter 6 | Verse 1] And it came to pass, on the second-first sabbath, as he is going through the corn fields, that his disciples were plucking the ears, and were eating, rubbing with the hands,
[YLT | EN | NT | Luke | Chapter 6 | Verse 2] and certain of the Pharisees said to them, 'Why do ye that which is not lawful to do on the sabbaths?'
[YLT | EN | NT | Luke | Chapter 6 | Verse 3] And Jesus answering said unto them, 'Did ye not read even this that David did, when he hungered, himself and those who are with him,
[YLT | EN | NT | Luke | Chapter 6 | Verse 4] how he went into the house of God, and the loaves of the presentation did take, and did eat, and gave also to those with him, which it is not lawful to eat, except only to the priests?'
[YLT | EN | NT | Luke | Chapter 6 | Verse 5] and he said to them, — 'The Son of Man is lord also of the sabbath.'
[YLT | EN | NT | Luke | Chapter 6 | Verse 6] And it came to pass also, on another sabbath, that he goeth into the synagogue, and teacheth, and there was there a man, and his right hand was withered,
[YLT | EN | NT | Luke | Chapter 6 | Verse 7] and the scribes and the Pharisees were watching him, if on the sabbath he will heal, that they might find an accusation against him.
[YLT | EN | NT | Luke | Chapter 6 | Verse 8] And he himself had known their reasonings, and said to the man having the withered hand, 'Rise, and stand in the midst;' and he having risen, stood.
[YLT | EN | NT | Luke | Chapter 6 | Verse 9] Then said Jesus unto them, 'I will question you something: Is it lawful on the sabbaths to do good, or to do evil? life to save or to kill?'
[YLT | EN | NT | Luke | Chapter 6 | Verse 10] And having looked round on them all, he said to the man, 'Stretch forth thy hand;' and he did so, and his hand was restored whole as the other;
[YLT | EN | NT | Luke | Chapter 6 | Verse 11] and they were filled with madness, and were speaking with one another what they might do to Jesus.
[YLT | EN | NT | Luke | Chapter 6 | Verse 12] And it came to pass in those days, he went forth to the mountain to pray, and was passing the night in the prayer of God,
[YLT | EN | NT | Luke | Chapter 6 | Verse 13] and when it became day, he called near his disciples, and having chosen from them twelve, whom also he named apostles,
[YLT | EN | NT | Luke | Chapter 6 | Verse 14] (Simon, whom also he named Peter, and Andrew his brother, James and John, Philip and Bartholomew,
[YLT | EN | NT | Luke | Chapter 6 | Verse 15] Matthew and Thomas, James of Alphaeus, and Simon called Zelotes,
[YLT | EN | NT | Luke | Chapter 6 | Verse 16] Judas of James, and Judas Iscariot, who also became betrayer;)
[YLT | EN | NT | Luke | Chapter 6 | Verse 17] and having come down with them, he stood upon a level spot, and a crowd of his disciples, and a great multitude of the people from all Judea, and Jerusalem, and the maritime Tyre and Sidon, who came to hear him, and to be healed of their sicknesses,
[YLT | EN | NT | Luke | Chapter 6 | Verse 18] and those harassed by unclean spirits, and they were healed,
[YLT | EN | NT | Luke | Chapter 6 | Verse 19] and all the multitude were seeking to touch him, because power from him was going forth, and he was healing all.
