[YLT | EN | NT | Luke | Chapter 23 | Verse 1] And having risen, the whole multitude of them did lead him to Pilate,
[YLT | EN | NT | Luke | Chapter 23 | Verse 2] and began to accuse him, saying, 'This one we found perverting the nation, and forbidding to give tribute to Caesar, saying himself to be Christ a king.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 3] And Pilate questioned him, saying, 'Thou art the king of the Jews?' and he answering him, said, 'Thou dost say [it].'
[YLT | EN | NT | Luke | Chapter 23 | Verse 4] And Pilate said unto the chief priests, and the multitude, 'I find no fault in this man;'
[YLT | EN | NT | Luke | Chapter 23 | Verse 5] and they were the more urgent, saying — 'He doth stir up the people, teaching throughout the whole of Judea — having begun from Galilee — unto this place.'
[YLT | EN | NT | Luke | Chapter 23 | Verse 6] And Pilate having heard of Galilee, questioned if the man is a Galilean,
[YLT | EN | NT | Luke | Chapter 23 | Verse 7] and having known that he is from the jurisdiction of Herod, he sent him back unto Herod, he being also in Jerusalem in those days.
[YLT | EN | NT | Luke | Chapter 23 | Verse 8] And Herod having seen Jesus did rejoice exceedingly, for he was wishing for a long [time] to see him, because of hearing many things about him, and he was hoping some sign to see done by him,
[YLT | EN | NT | Luke | Chapter 23 | Verse 9] and was questioning him in many words, and he answered him nothing.
[YLT | EN | NT | Luke | Chapter 23 | Verse 10] And the chief priests and the scribes stood vehemently accusing him,
[YLT | EN | NT | Luke | Chapter 23 | Verse 11] and Herod with his soldiers having set him at nought, and having mocked, having put around him gorgeous apparel, did send him back to Pilate,
[YLT | EN | NT | Luke | Chapter 23 | Verse 12] and both Pilate and Herod became friends on that day with one another, for they were before at enmity between themselves.
[YLT | EN | NT | Luke | Chapter 23 | Verse 13] And Pilate having called together the chief priests, and the rulers, and the people,
[YLT | EN | NT | Luke | Chapter 23 | Verse 14] said unto them, 'Ye brought to me this man as perverting the people, and lo, I before you having examined, found in this man no fault in those things ye bring forward against him;
[YLT | EN | NT | Luke | Chapter 23 | Verse 15] no, nor yet Herod, for I sent you back unto him, and lo, nothing worthy of death is having been done by him;
[YLT | EN | NT | Luke | Chapter 23 | Verse 16] having chastised, therefore, I will release him,'
[YLT | EN | NT | Luke | Chapter 23 | Verse 17] for it was necessary for him to release to them one at every feast,
[YLT | EN | NT | Luke | Chapter 23 | Verse 18] and they cried out — the whole multitude — saying, 'Away with this one, and release to us Barabbas,'
[YLT | EN | NT | Luke | Chapter 23 | Verse 19] who had been, because of a certain sedition made in the city, and murder, cast into prison.
