[LXX | EL | OT | Baruch | Chapter 4 | Verse 1] Αὑτὴ ἡ βίβλος τῶν προσταγμάτων τοῦ Θεοῦ, καὶ ὁ νόμος ὁ ὑπάρχων εἰς τὸν αἰῶνα· πάντες οἱ κρατοῦντες αὐτὴν, εἰς ζωήν· οἱ δὲ καταλείποντες αὐτὴν, ἀποθανοῦνται.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 2] Ἐπιστρέφου Ἱακὼβ, καὶ ἐπιλαβοῦ αὐτῆς, διόδευσον πρὸς τὴν λάμψιν κατέναντι τοῦ φωτὸς αὐτῆς.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 3] Μὴ δῷς ἑτέρῳ τὴν δόξαν σου, καὶ τὰ συμφέροντά σοι ἔθνει ἀλλοτρίῳ.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 4] Μακάριοι ἐσμὲν Ἰσραὴλ, ὅτι τὰ ἀρεστὰ τοῦ Θεοῦ ἡμῖν γνωστά ἐστι.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 5] Θαρσεῖτε λαός μου, μνημόσυνον Ἰσραήλ.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 6] Ἐπράθητε τοῖς ἔθνεσιν οὐκ εἰς ἀπώλειαν, διὰ τὸ παροργίσαι ὑμᾶς τὸν Θεόν· παρεδόθητε τοῖς ὑπεναντίοις.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 7] Παρωξύνατε γὰρ τὸν ποιήσαντα ὑμᾶς, θύσαντες δαιμονίοις, καὶ οὐ Θεῷ.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 8] Ἐπελάθεσθε τὸν τροφεύσαντα ὑμᾶς Θεὸν αἰώνιον, ἐλυπήσατε δὲ καὶ τὴν ἐκθρέψασαν ἡμᾶς Ἱερουσαλήμ.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 9] Εἶδε γὰρ τὴν ἐπελθοῦσαν ὑμῖν ὀργὴν παρὰ τοῦ Θεοῦ, καὶ εἶπεν, ἀκούσατε αἱ πάροικοι Σιὼν, ἐπήγαγέ μοι ὁ Θεὸς πένθος μέγα.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 10] Εἶδον γὰρ τὴν αἰχμαλωσίαν τῶν υἱῶν μου καὶ τῶν θυγατέρων, ἣν ἐπήγαγεν αὐτοῖς ὁ αἰώνιος.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 11] Ἔθρεψα γὰρ αὐτοὺς μετʼ εὐφροσύνης, ἐξαπέστειλα δὲ μετὰ κλαυθμοῦ καὶ πένθους.
[LXX | EL | OT | Baruch | Chapter 4 | Verse 12] Μηδεὶς ἐπιχαιρέτω μοι τῇ χήρᾳ καὶ καταλειφθήσῃ ὑπὸ πολλῶν, ἠρημώθην διὰ τὰς ἁμαρτίας τῶν τέκνων μου, διότι ἐξέκλιναν ἐκ νόμου Θεοῦ,
