[LXX | EL | OT | Baruch | Chapter 3 | Verse 1] Κύριε παντοκράτωρ ὁ Θεὸς Ἰσραὴλ, ψυχὴ ἐν στενοῖς καὶ πνεῦμα ἀκηδιῶν κέκραγε πρὸς σέ.
[LXX | EL | OT | Baruch | Chapter 3 | Verse 2] Ἄκουσον, Κύριε, καὶ ἐλέησον, ὅτι ἡμάρτομεν ἐναντίον σου·
[LXX | EL | OT | Baruch | Chapter 3 | Verse 3] ὅτι σὺ καθήμενος τὸν αἰῶνα, καὶ ἡμεῖς ἀπολλύμενοι τὸν αἰῶνα.
[LXX | EL | OT | Baruch | Chapter 3 | Verse 4] Κύριε παντοκράτωρ ὁ Θεὸς Ἰσραὴλ, ἄκουσον δὴ τῆς προσευχῆς τῶν τεθνηκότων Ἰσραὴλ, καὶ υἱῶν τῶν ἁμαρτανόντων ἐναντίον σου, οἳ οὐκ ἤκουσαν τῆς φωνῆς σου Θεοῦ αὐτῶν, καὶ ἐκολλήθη ἡμῖν τὰ κακά.
[LXX | EL | OT | Baruch | Chapter 3 | Verse 5] Μὴ μνησθῇς ἀδικιῶν πατέρων ἡμῶν, ἀλλὰ μνήσθητι χειρός σου καὶ ὀνόματός σου ἐν τῷ καιρῷ τούτῳ·
[LXX | EL | OT | Baruch | Chapter 3 | Verse 6] ὅτι σὺ Κύριος ὁ Θεὸς ἡμῶν, καὶ αἰνέσομέν σε Κύριε·
[LXX | EL | OT | Baruch | Chapter 3 | Verse 7] Ὅτι διὰ τοῦτο ἔδωκας τὸν φόβον σου ἐπὶ καρδίαν ἡμῶν, καὶ ἐπικαλεῖσθαι τὸ ὄνομά σου· καὶ αἰνέσομέν σε ἐν τῇ ἀποικίᾳ ἡμῶν, ὅτι ἀπεστρέψαμεν ἀπὸ καρδίας ἡμῶν πᾶσαν ἀδικίαν πατέρων ἡμῶν, τῶν ἡμαρτηκότων ἐναντίον σου.
[LXX | EL | OT | Baruch | Chapter 3 | Verse 8] Ἰδοὺ ἡμεῖς σήμερον ἐν τῇ ἀποικίᾳ ἡμῶν, οὗ διέσπειρας ἡμᾶς ἐκεῖ εἰς ὀνειδισμὸν, καὶ εἰς ἀρὰν, καὶ εἰς ὀφλησιν κατὰ πάσας τὰς ἀδικίας πατέρων ἡμῶν, οἳ ἀπέστησαν ἀπὸ Κυρίου Θεοῦ ἡμῶν.
[LXX | EL | OT | Baruch | Chapter 3 | Verse 9] Ἄκουε Ἰσραὴλ ἐντολὰς ζωῆς, ἐνωτίσασθε γνῶναι φρόνησιν.
[LXX | EL | OT | Baruch | Chapter 3 | Verse 10] Τί ἐστιν Ἰσραήλ; τί ὅτι ἐν γῇ τῶν ἐχθρῶν εἶ; ἐπαλαιώθης ἐν γῇ ἀλλοτρίᾳ, συνεμιάνθης τοῖς νεκροῖς,
[LXX | EL | OT | Baruch | Chapter 3 | Verse 11] προσελογίσθης μετὰ τῶν εἰς ᾅδου,
