[LXX | EL | OT | Baruch | Chapter 2 | Verse 1] Καὶ ἔστησε Κύριος τὸν λόγον αὐτοῦ, ὃν ἐλάλησεν ἐφʼ ἡμᾶς, καὶ ἐπὶ τοὺς δικαστὰς ἡμῶν, τοὺς δικάσαντας τὸν Ἰσραὴλ, καὶ ἐπὶ τοὺς βασιλεῖς ἡμῶν, καὶ ἐπὶ τοὺς ἄρχοντας ἡμῶν,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 2] καὶ ἐπὶ ἄνθρωπον Ἰσραὴλ καὶ Ἰούδα, τοῦ ἀγαγεῖν ἐφʼ ἡμᾶς κακὰ μεγάλα, ἃ οὐκ ἐποιήθη ὑποκάτω παντὸς τοῦ οὐρανοῦ, καθὰ ἐποίησεν ἐν Ἱερουσαλὴμ, κατὰ τὰ γεγραμμένα ἐν τῷ νόμῳ Μωυσῆ,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 3] τοῦ φαγεῖν ἡμᾶς, ἄνθρωπον σάρκας υἱοῦ αὐτοῦ, καὶ ἄνθρωπον σάρκας θυγατρὸς αὐτοῦ.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 4] Καὶ ἔδωκεν αὐτοὺς ὑποχειρίους πάσαις ταῖς βασιλείαις ταῖς κύκλῳ ἡμῶν, εἰς ὀνειδισμὸν, καὶ ἄβατον ἐν πᾶσι τοῖς λαοῖς τοῖς κύκλῳ, οὗ διέσπειρεν αὐτοὺς Κύριος ἐκεῖ.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 5] Καὶ ἐγενήθησαν ὑποκάτω καὶ οὐκ ἐπάνω, ὅτι ἡμάρτομεν Κυρίῳ Θεῷ ἡμῶν, πρὸς τὸ μὴ ἀκούειν τῆς φωνῆς αὐτοῦ.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 6] Τῷ Κυρίῳ Θεῷ ἡμῶν ἡ δικαιοσύνη, ἡμῖν δὲ καὶ τοῖς πατράσιν ἡμῶν ἡ αἰσχύνη τῶν προσώπων, ὡς ἡ ἡμέρα αὕτη.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 7] Ἃ ἐλάλησε Κύριος ἐφʼ ἡμᾶς, πάντα τὰ κακὰ ταῦτα ἃ ἦλθεν ἐφʼ ἡμᾶς,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 8] καὶ οὐκ ἐδεήθημεν τοῦ προσώπου Κυρίου, τοῦ ἀποστρέψαι ἕκαστον ἀπὸ τῶν νοημάτων τῆς καρδίας αὐτῶν τῆς πονηρᾶς.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 9] Καὶ ἐγρηγόρησε Κύριος ἐπὶ τοῖς κακοῖς, καὶ ἐπήγαγε Κύριος ἐφʼ ἡμᾶς, ὅτι δίκαιος ὁ Κύριος ἐπὶ πάντα τὰ ἔργα αὐτοῦ, ἃ ἐνετείλατο ἡμῖν.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 10] Καὶ οὐκ ἠκούσαμεν τῆς φωνῆς αὐτοῦ, πορεύεσθαι τοῖς προστάγμασι Κυρίου, οἷς ἔδωκε κατὰ πρόσωπον ἡμῶν·
[LXX | EL | OT | Baruch | Chapter 2 | Verse 11] Καὶ νῦν Κύριε ὁ Θεὸς Ἰσραὴλ, ὃς ἐξήγαγες τὸν λαόν σου ἐκ γῆς Αἰγύπτου, ἐν χειρὶ κραταιᾷ, καὶ ἐν σημείοις, καὶ ἐν τέρασι, καὶ ἐν δυνάμει μεγάλῃ, καὶ ἐν βραχίονι ὑψηλῷ, καὶ ἐποίησας σεαυτῷ ὄνομα, ὡς ἡ ἡμέρα αὕτη,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 12] ἡμάρτομεν, ἠσεβήσαμεν, ἠδικήσαμεν, Κύριε ὁ Θεὸς ἡμῶν, ἐπὶ πᾶσι τοῖς δικαιώμασί σου.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 13] Ἀποστραφήτω ὁ θυμός σου ἀφʼ ἡμῶν, ὅτι κατελείφθημεν ὀλίγοι ἐν τοῖς ἔθνεσιν οὗ διέσπειρας ἡμᾶς ἐκεῖ.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 14] Εἰσάκουσον Κύριε τῆς προσευχῆς ἡμῶν καὶ τῆς δεήσεως ἡμῶν, καὶ ἐξελοῦ ἡμᾶς ἕνεκέν σου, καὶ δὸς ἡμῖν χάριν κατὰ πρόσωπον τῶν ἀποικισάντων ἡμᾶς,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 15] ἵνα γνῷ πᾶσα ἡ γῆ, ὅτι σὺ Κύριος ὁ Θεὸς ἡμῶν, ὅτι τὸ ὄνομά σου ἐπεκλήθη ἐπὶ Ἰσραὴλ, καὶ ἐπὶ τὸ γένος αὐτοῦ.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 16] Κύριε κάτιδε ἐκ τοῦ οἴκου τοῦ ἁγίου σου, καὶ ἐννόησον εἰς ἡμᾶς, καὶ κλῖνον Κύριε τὸ οὖς σου, καὶ ἄκουσον.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 17] Ἄνοιξον ὀφθαλμούς σου, καὶ ἴδε, ὅτι οὐχ οἱ τεθνηκότες ἐν τῷ ᾅδῃ, ὧν ἐλήφθη τὸ πνεῦμα αὐτῶν ἀπὸ τῶν σπλάγχνων αὐτῶν, δώσουσι δόξαν καὶ δικαίωμα τῷ Κυρίῳ·
[LXX | EL | OT | Baruch | Chapter 2 | Verse 18] ἀλλὰ ἡ ψυχὴ ἡ λυπουμένη ἐπὶ τὸ μέγεθος, ὃ βαδίζει κύπτον καὶ ἀσθενοῦν, καὶ οἱ ὀφθαλμοὶ οἱ ἐκλείποντες, καὶ ἡ ψυχὴ ἡ πεινῶσα, δώσουσί σοι δόξαν, καὶ δικαιοσύνην, Κύριε.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 19] Ὅτι οὐκ ἐπὶ τὰ δικαιώματα τῶν πατέρων ἡμῶν καὶ τῶν βασιλέων ἡμῶν ἡμεῖς καταβάλλομεν τὸν ἔλεον κατὰ πρόσωπόν σου, Κύριε ὁ Θεὸς ἡμῶν·
[LXX | EL | OT | Baruch | Chapter 2 | Verse 20] ὅτι ἐνῆκας τὸν θυμόν σου καὶ τὴν ὀργήν σου εἰς ἡμᾶς, καθάπερ ἐλάλησας ἐν χειρὶ τῶν παίδων σου τῶν προφητῶν·
[LXX | EL | OT | Baruch | Chapter 2 | Verse 21] Οὕτως εἶπε Κύριος, κλίνατε τὸν ὦμον ὑμῶν, καὶ ἐργάσασθε τῷ βασιλεῖ Βαβυλῶνος, καὶ καθίσατε ἐπὶ τὴν γῆν, ἣν δέδωκα τοῖς πατράσιν ὑμῶν.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 22] Καὶ ἐὰν μὴ ἀκούσητε τῆς φωνῆς Κυρίου, ἐργάσασθαι τῷ βασιλεῖ Βαβυλῶνος,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 23] ἐκλείψειν ποιήσω ἐκ πόλεων Ἰούδα καὶ ἔξωθεν Ἱερουσαλὴμ φωνὴν εὐφροσύνης, καὶ φωνὴν χαρμοσύνης, φωνὴν νυμφίου, καὶ φωνὴν νύμφης, καὶ ἔσται πᾶσα ἡ γῆ εἰς ἄβατον ἀπὸ ἐνοικούντων.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 24] Καὶ οὐκ ἠκούσαμεν τῆς φωνῆς σου, ἐργάσασθαι τῷ βασιλεῖ Βαβυλῶνος· καὶ ἔστησας τοὺς λόγους σου, οὓς ἐλάλησας ἐν χερσὶ τῶν παίδων σου τῶν προφητῶν, τοῦ ἐξενεχθῆναι τὰ ὀστᾶ βασιλέων ἡμῶν καὶ τὰ ὀστᾶ τῶν πατέρων ἡμῶν ἐκ τοῦ τόπου αὐτῶν.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 25] Καὶ ἰδού ἐστιν ἐξεῤῥιμμένα τῷ καύματι τῆς ἡμέρας, καὶ τῷ παγετῷ τῆς νυκτός· καὶ ἀπεθάνοσαν ἐν πόνοις πονηροῖς, ἐν λιμῷ, καὶ ἐν ῥομφαίᾳ, καὶ ἐν ἀποστολῇ.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 26] Καὶ ἔθηκας τὸν οἶκον, οὗ ἐπεκλήθη τὸ ὄνομά σου ἐπʼ αὐτῷ, ὡς ἡ ἡμέρα αὕτη, διὰ πονηρίαν οἴκου Ἰσραὴλ καὶ οἴκου Ἰούδα.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 27] Καὶ ἐποίησας εἰς ἡμᾶς, Κύριε ὁ Θεὸς ἡμῶν, κατὰ πᾶσαν ἐπιείκειάν σου, καὶ κατὰ πάντα οἰκτιρμόν σου τὸν μέγαν,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 28] καθὰ ἐλάλησας ἐν χειρὶ παιδός σου Μωυσῆ, ἐν ἡμέρᾳ ἐντειλαμένου σου αὐτῷ γράψαι τὸν νόμον σου ἐναντίον υἱῶν Ἰσραὴλ, λέγων.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 29] Ἐὰν μὴ ἀκούσητε τῆς φωνῆς μου, ἦ μὴν ἡ βόμβησις ἡ μεγάλη ἡ πολλὴ αὕτη ἀποστρέψει εἰς μικρὰν ἐν τοῖς ἔθνεσιν, οὗ διασπερῶ αὐτοὺς ἐκεῖ·
[LXX | EL | OT | Baruch | Chapter 2 | Verse 30] Ὅτι ἔγνων ὅτι οὐ μὴ ἀκούσωσί μου, ὅτι λαὸς σκληροτράχηλός ἐστι· καὶ ἐπιστρέψουσιν ἐπὶ καρδίαν αὐτῶν ἐν γῇ ἀποικισμοῦ αὐτῶν,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 31] καὶ γνώσονται ὅτι ἐγὼ Κύριος ὁ Θεὸς αὐτῶν· καὶ δώσω αὐτοῖς καρδίαν καὶ ὦτα ἀκούοντα,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 32] καὶ αἰνέσουσί με ἐν γῇ ἀποικισμοῦ αὐτῶν· καὶ μνησθήσονται τοῦ ὀνόματός μου,
[LXX | EL | OT | Baruch | Chapter 2 | Verse 33] καὶ ἀποστρέψουσιν ἀπὸ τοῦ νώτου αὐτῶν τοῦ σκληροῦ, καὶ ἀπὸ πονηρῶν προσταγμάτων αὐτῶν, ὅτι μνησθήσονται τῆς ὁδοῦ πατέρων αὐτῶν τῶν ἁμαρτόντων ἔναντι Κυρίου.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 34] Καὶ ἀποστρέψω αὐτοὺς εἰς τὴν γῆν, ἣν ὤμοσα τοῖς πατράσιν αὐτῶν, τῷ Ἁβραὰμ, καὶ τῷ Ἰσαὰκ, καὶ τῷ Ἰακὼβ, καὶ κυριεύσουσιν αὐτῆς· καὶ πληθυνῶ αὐτοὺς, καὶ οὐ μὴ σμικρυνθῶσι.
[LXX | EL | OT | Baruch | Chapter 2 | Verse 35] Καὶ στήσω αὐτοῖς διαθήκην αἰώνιον, τοῦ εἶναί με αὐτοῖς εἰς Θεὸν, καὶ αὐτοὶ ἔσονταί μοι εἰς λαόν· καὶ οὐ κινήσω ἔτι τὸν λαόν μου Ἰσραὴλ ἀπὸ τῆς γῆς, ἧς ἔδωκα αὐτοῖς.
