[GNV | EN | OT | Jonah | Chapter 4 | Verse 1] Therefore it displeased Ionah exceedingly, and he was angry.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 2] And he prayed vnto the Lord, and saide, I pray thee, O Lord, was not this my saying, when I was yet in my countrey? therefore I preuented it to flee vnto Tarshish: for I knewe that thou art a gratious God, and merciful, slow to anger, and of great kindnes, and repentest thee of the euill.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 3] Therefore nowe O Lord, take, I beseech thee, my life from me: for it is better for me to die then to liue.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 4] Then saide the Lord, Doest thou well to be angry?
[GNV | EN | OT | Jonah | Chapter 4 | Verse 5] So Ionah went out of the citie and sate on the East side of the citie, and there made him a boothe, and sate vnder it in the shadowe till he might see what should be done in the citie.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 6] And the Lord God prepared a gourde, and made it to come vp ouer Ionah, that it might be a shadowe ouer his head and deliuer him from his griefe. So Ionah was exceeding glad of the gourde.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 7] But God prepared a worme when the morning rose the next day, and it smote the gourd, that it withered.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 8] And when the sunne did arise, God prepared also a feruent East winde: and the sunne beat vpon the head of Ionah, that he fainted, and wished in his heart to die, and said, It is better for me to dye, then to liue.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 9] And God said vnto Ionah, Doest thou well to be angrie for the gourde? And he said, I doe well to be angrie vnto the death.
[GNV | EN | OT | Jonah | Chapter 4 | Verse 10] Then said the Lord, Thou hast had pitie on the gourde for the which thou hast not laboured, neither madest it growe, which came vp in a night, and perished in a night,
[GNV | EN | OT | Jonah | Chapter 4 | Verse 11] And shoulde not I spare Nineueh that great citie, wherein are sixe score thousande persons, that cannot discerne betweene their right hand, and their left hand, and also much cattell?
