[KJV | EN | OT | Amos | Chapter 8 | Verse 1] Thus hath the Lord God shewed unto me: and behold, a basket of summer fruit.
[KJV | EN | OT | Amos | Chapter 8 | Verse 2] And he said, Amos, what seest thou? And I said, A basket of summer fruit. Then said the Lord unto me, The end is come upon my people of Israel; I will not again pass by them any more.
[KJV | EN | OT | Amos | Chapter 8 | Verse 3] And the songs of the temple shall be howlings in that day, saith the Lord God: There shall be many dead bodies in every place; they shall cast them forth with silence.
[KJV | EN | OT | Amos | Chapter 8 | Verse 4] Hear this, O ye that swallow up the needy, Even to make the poor of the land to fail,
[KJV | EN | OT | Amos | Chapter 8 | Verse 5] Saying, When will the new moon be gone, that we may sell corn? And the sabbath, that we may set forth wheat, Making the ephah small, and the shekel great, And falsifying the balances by deceit?
[KJV | EN | OT | Amos | Chapter 8 | Verse 6] That we may buy the poor for silver, And the needy for a pair of shoes; Yea, and sell the refuse of the wheat?
[KJV | EN | OT | Amos | Chapter 8 | Verse 7] The Lord hath sworn by the excellency of Jacob, Surely I will never forget any of their works.
[KJV | EN | OT | Amos | Chapter 8 | Verse 8] Shall not the land tremble for this, And every one mourn that dwelleth therein? And it shall rise up wholly as a flood; And it shall be cast out and drowned, as by the flood of Egypt.
[KJV | EN | OT | Amos | Chapter 8 | Verse 9] And it shall come to pass in that day, saith the Lord God, That I will cause the sun to go down at noon, And I will darken the earth in the clear day:
[KJV | EN | OT | Amos | Chapter 8 | Verse 10] And I will turn your feasts into mourning, And all your songs into lamentation; And I will bring up sackcloth upon all loins, And baldness upon every head; And I will make it as the mourning of an only son, And the end thereof as a bitter day.
[KJV | EN | OT | Amos | Chapter 8 | Verse 11] Behold, the days come, saith the Lord God, That I will send a famine in the land, Not a famine of bread, nor a thirst for water, But of hearing the words of the Lord:
[KJV | EN | OT | Amos | Chapter 8 | Verse 12] And they shall wander from sea to sea, and from the north even to the east, They shall run to and fro to seek the word of the Lord, and shall not find it.
[KJV | EN | OT | Amos | Chapter 8 | Verse 13] In that day shall the fair virgins and young men faint for thirst.
[KJV | EN | OT | Amos | Chapter 8 | Verse 14] They that swear by the sin of Samaria, And say, Thy god, O Dan, liveth; And, The manner of Beer-sheba liveth; Even they shall fall, and never rise up again.
