[KJV | EN | OT | Amos | Chapter 6 | Verse 1] Woe to them that are at ease in Zion, And trust in the mountain of Samaria, Which are named chief of the nations, To whom the house of Israel came!
[KJV | EN | OT | Amos | Chapter 6 | Verse 2] Pass ye unto Calneh, and see; And from thence go ye to Hamath the great: Then go down to Gath of the Philistines: Be they better than these kingdoms? Or their border greater than your border?
[KJV | EN | OT | Amos | Chapter 6 | Verse 3] Ye that put far away the evil day, And cause the seat of violence to come near;
[KJV | EN | OT | Amos | Chapter 6 | Verse 4] That lie upon beds of ivory, And stretch themselves upon their couches, And eat the lambs out of the flock, And the calves out of the midst of the stall;
[KJV | EN | OT | Amos | Chapter 6 | Verse 5] That chant to the sound of the viol, And invent to themselves instruments of musick, like David;
[KJV | EN | OT | Amos | Chapter 6 | Verse 6] That drink wine in bowls, And anoint themselves with the chief ointments: But they are not grieved for the affliction of Joseph.
[KJV | EN | OT | Amos | Chapter 6 | Verse 7] Therefore now shall they go captive with the first that go captive, And the banquet of them that stretched themselves shall be removed.
[KJV | EN | OT | Amos | Chapter 6 | Verse 8] The Lord God hath sworn by himself, saith the Lord the God of hosts, I abhor the excellency of Jacob, and hate his palaces: Therefore will I deliver up the city with all that is therein.
[KJV | EN | OT | Amos | Chapter 6 | Verse 9] And it shall come to pass, if there remain ten men in one house, that they shall die.
[KJV | EN | OT | Amos | Chapter 6 | Verse 10] And a man’s uncle shall take him up, and he that burneth him, To bring out the bones out of the house, And shall say unto him that is by the sides of the house, Is there yet any with thee? and he shall say, No. Then shall he say, Hold thy tongue: For we may not make mention of the name of the Lord.
[KJV | EN | OT | Amos | Chapter 6 | Verse 11] For behold, the Lord commandeth, And he will smite the great house with breaches, And the little house with clefts.
[KJV | EN | OT | Amos | Chapter 6 | Verse 12] Shall horses run upon the rock? Will one plow there with oxen? For ye have turned judgment into gall, And the fruit of righteousness into hemlock:
[KJV | EN | OT | Amos | Chapter 6 | Verse 13] Ye which rejoice in a thing of nought, Which say, Have we not taken to us horns by our own strength?
[KJV | EN | OT | Amos | Chapter 6 | Verse 14] But behold, I will raise up against you a nation, O house of Israel, saith the Lord the God of hosts; And they shall afflict you from the entering in of Hemath unto the river of the wilderness.
