[KJV | EN | OT | Amos | Chapter 4 | Verse 1] Hear this word, ye kine of Bashan, that are in the mountain of Samaria, Which oppress the poor, which crush the needy, Which say to their masters, Bring, and let us drink.
[KJV | EN | OT | Amos | Chapter 4 | Verse 2] The Lord God hath sworn by his holiness, That lo, the days shall come upon you, That he will take you away with hooks, And your posterity with fishhooks.
[KJV | EN | OT | Amos | Chapter 4 | Verse 3] And ye shall go out at the breaches, every cow at that which is before her; And ye shall cast them into the palace, saith the Lord.
[KJV | EN | OT | Amos | Chapter 4 | Verse 4] Come to Beth-el, and transgress; At Gilgal multiply transgression; And bring your sacrifices every morning, And your tithes after three years:
[KJV | EN | OT | Amos | Chapter 4 | Verse 5] And offer a sacrifice of thanksgiving with leaven, And proclaim and publish the free offerings: For this liketh you, O ye children of Israel, saith the Lord God.
[KJV | EN | OT | Amos | Chapter 4 | Verse 6] And I also have given you cleanness of teeth in all your cities, And want of bread in all your places: Yet have ye not returned unto me, saith the Lord.
[KJV | EN | OT | Amos | Chapter 4 | Verse 7] And also I have withholden the rain from you, When there were yet three months to the harvest: And I caused it to rain upon one city, and caused it not to rain upon another city: One piece was rained upon, and the piece whereupon it rained not withered.
[KJV | EN | OT | Amos | Chapter 4 | Verse 8] So two or three cities wandered unto one city, to drink water; But they were not satisfied: Yet have ye not returned unto me, saith the Lord.
[KJV | EN | OT | Amos | Chapter 4 | Verse 9] I have smitten you with blasting and mildew: When your gardens and your vineyards and your fig trees and your olive trees increased, The palmerworm devoured them: Yet have ye not returned unto me, saith the Lord.
[KJV | EN | OT | Amos | Chapter 4 | Verse 10] I have sent among you the pestilence after the manner of Egypt: Your young men have I slain with the sword, and have taken away your horses; And I have made the stink of your camps to come up unto your nostrils: Yet have ye not returned unto me, saith the Lord.
[KJV | EN | OT | Amos | Chapter 4 | Verse 11] I have overthrown some of you, as God overthrew Sodom and Gomorrah, And ye were as a firebrand pluckt out of the burning: Yet have ye not returned unto me, saith the Lord.
[KJV | EN | OT | Amos | Chapter 4 | Verse 12] Therefore thus will I do unto thee, O Israel: And because I will do this unto thee, Prepare to meet thy God, O Israel.
[KJV | EN | OT | Amos | Chapter 4 | Verse 13] For lo, he that formeth the mountains, and createth the wind, And declareth unto man what is his thought, That maketh the morning darkness, And treadeth upon the high places of the earth, The Lord, The God of hosts, is his name.
