[IRV | HI | OT | Numbers | Chapter 29 | Verse 1] “फिर सातवें महीने के पहले दिन को तुम्हारी पवित्र सभा हो; उसमें परिश्रम का कोई काम न करना। वह तुम्हारे लिये जयजयकार का नरसिंगा फूँकने का दिन ठहरा है;
[IRV | HI | OT | Numbers | Chapter 29 | Verse 2] तुम होमबलि चढ़ाना, जिससे यहोवा के लिये सुखदायक सुगन्ध हो; अर्थात् एक बछड़ा, एक मेढ़ा, और एक-एक वर्ष के सात निर्दोष भेड़ के नर बच्चे;
[IRV | HI | OT | Numbers | Chapter 29 | Verse 3] और उनका अन्नबलि तेल से सने हुए मैदे का हो; अर्थात् बछड़े के साथ एपा का तीन दसवाँ अंश, और मेढ़े के साथ एपा का दसवाँ अंश,
[IRV | HI | OT | Numbers | Chapter 29 | Verse 4] और सातों भेड़ के बच्चों में से एक-एक बच्चे के साथ एपा का दसवाँ अंश मैदा चढ़ाना।
[IRV | HI | OT | Numbers | Chapter 29 | Verse 5] और एक बकरा भी पापबलि करके चढ़ाना, जिससे तुम्हारे लिये प्रायश्चित हो।
[IRV | HI | OT | Numbers | Chapter 29 | Verse 6] इन सभी से अधिक नये चाँद का होमबलि और उसका अन्नबलि, और नित्य होमबलि और उसका अन्नबलि, और उन सभी के अर्घ भी उनके नियम के अनुसार सुखदायक सुगन्ध देने के लिये यहोवा के हव्य करके चढ़ाना।
[IRV | HI | OT | Numbers | Chapter 29 | Verse 7] “फिर उसी सातवें महीने के दसवें दिन को तुम्हारी पवित्र सभा हो; तुम उपवास करके अपने-अपने प्राण को दुःख देना, और किसी प्रकार का काम-काज न करना;
[IRV | HI | OT | Numbers | Chapter 29 | Verse 8] और यहोवा के लिये सुखदायक सुगन्ध देने को होमबलि; अर्थात् एक बछड़ा, एक मेढ़ा, और एक-एक वर्ष के सात भेड़ के नर बच्चे चढ़ाना; फिर ये सब निर्दोष हों;
[IRV | HI | OT | Numbers | Chapter 29 | Verse 9] और उनका अन्नबलि तेल से सने हुए मैदे का हो; अर्थात् बछड़े के साथ एपा का तीन दसवाँ अंश, और मेढ़े के साथ एपा का दो दसवाँ अंश,
[IRV | HI | OT | Numbers | Chapter 29 | Verse 10] और सातों भेड़ के बच्चों में से एक-एक बच्चे के पीछे एपा का दसवाँ अंश मैदा चढ़ाना।
[IRV | HI | OT | Numbers | Chapter 29 | Verse 11] और पापबलि के लिये एक बकरा भी चढ़ाना; ये सब प्रायश्चित के पापबलि और नित्य होमबलि और उसके अन्नबलि के, और उन सभी के अर्घों के अलावा चढ़ाए जाएँ।
