[IRV | HI | OT | Numbers | Chapter 27 | Verse 1] तब यूसुफ के पुत्र मनश्शे के वंश के कुलों में से सलोफाद, जो हेपेर का पुत्र, और गिलाद का पोता, और मनश्शे के पुत्र माकीर का परपोता था, उसकी बेटियाँ जिनके नाम महला, नोवा, होग्ला, मिल्का, और तिर्सा हैं वे पास आईं।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 2] और वे मूसा और एलीआजर याजक और प्रधानों और सारी मण्डली के सामने मिलापवाले तम्बू के द्वार पर खड़ी होकर कहने लगीं,
[IRV | HI | OT | Numbers | Chapter 27 | Verse 3] “हमारा पिता जंगल में मर गया; परन्तु वह उस मण्डली में का न था जो कोरह की मण्डली के संग होकर यहोवा के विरुद्ध इकट्ठी हुई थी, वह अपने ही पाप के कारण मरा; और उसके कोई पुत्र न था।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 4] तो हमारे पिता का नाम उसके कुल में से पुत्र न होने के कारण क्यों मिट जाए? हमारे चाचाओं के बीच हमें भी कुछ भूमि निज भाग करके दे।”
[IRV | HI | OT | Numbers | Chapter 27 | Verse 5] उनकी यह विनती मूसा ने यहोवा को सुनाई।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 6] यहोवा ने मूसा से कहा,
[IRV | HI | OT | Numbers | Chapter 27 | Verse 7] “सलोफाद की बेटियाँ ठीक कहती हैं; इसलिए तू उनके चाचाओं के बीच उनको भी अवश्य ही कुछ भूमि निज भाग करके दे, अर्थात् उनके पिता का भाग उनके हाथ सौंप दे।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 8] और इस्राएलियों से यह कह, ‘यदि कोई मनुष्य बिना पुत्र मर जाए, तो उसका भाग उसकी बेटी के हाथ सौंपना।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 9] और यदि उसके कोई बेटी भी न हो, तो उसका भाग उसके भाइयों को देना।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 10] और यदि उसके भाई भी न हों, तो उसका भाग चाचाओं को देना।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 11] और यदि उसके चाचा भी न हों, तो उसके कुल में से उसका जो कुटुम्बी सबसे समीप हो उनको उसका भाग देना कि वह उसका अधिकारी हो। इस्राएलियों के लिये यह न्याय की विधि ठहरेगी, जैसे कि यहोवा ने मूसा को आज्ञा दी।’”
[IRV | HI | OT | Numbers | Chapter 27 | Verse 12] फिर यहोवा ने मूसा से कहा, “इस अबारीम नामक पर्वत के ऊपर चढ़कर उस देश को देख ले जिसे मैंने इस्राएलियों को दिया है।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 13] और जब तू उसको देख लेगा, तब अपने भाई हारून के समान तू भी अपने लोगों में जा मिलेगा,
[IRV | HI | OT | Numbers | Chapter 27 | Verse 14] क्योंकि सीन नामक जंगल में तुम दोनों ने मण्डली के झगड़ने के समय मेरी आज्ञा को तोड़कर मुझसे बलवा किया, और मुझे सोते के पास उनकी दृष्टि में पवित्र नहीं ठहराया।” (यह मरीबा नामक सोता है जो सीन नामक जंगल के कादेश में है)
[IRV | HI | OT | Numbers | Chapter 27 | Verse 15] मूसा ने यहोवा से कहा,
[IRV | HI | OT | Numbers | Chapter 27 | Verse 16] “यहोवा, जो सारे प्राणियों की आत्माओं का परमेश्वर है, वह इस मण्डली के लोगों के ऊपर किसी पुरुष को नियुक्त कर दे, (इब्रा. 12:9)
[IRV | HI | OT | Numbers | Chapter 27 | Verse 17] जो उसके सामने आया-जाया करे, और उनका निकालने और बैठानेवाला हो; जिससे यहोवा की मण्डली बिना चरवाहे की भेड़-बकरियों के समान न रहे।” (मत्ती 9:36, मर. 6:34)
[IRV | HI | OT | Numbers | Chapter 27 | Verse 18] यहोवा ने मूसा से कहा, “तू नून के पुत्र यहोशू को लेकर उस पर हाथ रख; वह तो ऐसा पुरुष है जिसमें मेरा आत्मा बसा है;
[IRV | HI | OT | Numbers | Chapter 27 | Verse 19] और उसको एलीआजर याजक के और सारी मण्डली के सामने खड़ा करके उनके सामने उसे आज्ञा दे।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 20] और अपनी महिमा में से कुछ उसे दे, जिससे इस्राएलियों की सारी मण्डली उसकी माना करे।
[IRV | HI | OT | Numbers | Chapter 27 | Verse 21] और वह एलीआजर याजक के सामने खड़ा हुआ करे, और एलीआजर उसके लिये यहोवा से ऊरीम की आज्ञा पूछा करे; और वह इस्राएलियों की सारी मण्डली समेत उसके कहने से जाया करे, और उसी के कहने से लौट भी आया करे।”
[IRV | HI | OT | Numbers | Chapter 27 | Verse 22] यहोवा की इस आज्ञा के अनुसार मूसा ने यहोशू को लेकर, एलीआजर याजक और सारी मण्डली के सामने खड़ा करके,
[IRV | HI | OT | Numbers | Chapter 27 | Verse 23] उस पर हाथ रखे, और उसको आज्ञा दी जैसे कि यहोवा ने मूसा के द्वारा कहा था।
