[YLT | EN | OT | Numbers | Chapter 29 | Verse 1] 'And in the seventh month, in the first of the month, a holy convocation ye have, ye do no servile work; a day of shouting it is to you;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 2] and ye have prepared a burnt-offering, for sweet fragrance to Jehovah: one bullock, a son of the herd, one ram, seven lambs, sons of a year, perfect ones;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 3] and their present, flour mixed with oil, three-tenth deals for the bullock, two-tenth deals for the ram,
[YLT | EN | OT | Numbers | Chapter 29 | Verse 4] and one-tenth deal for the one lamb, for the seven lambs;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 5] and one kid of the goats, a sin-offering, to make atonement for you;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 6] apart from the burnt-offering of the month, and its present, and the continual burnt-offering, and its present, and their libations, according to their ordinance, for sweet fragrance, a fire-offering to Jehovah.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 7] 'And on the tenth of this seventh month a holy convocation ye have, and ye have humbled your souls; ye do no work;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 8] and ye have brought near a burnt-offering to Jehovah, a sweet fragrance, one bullock, a son of the herd, one ram, seven lambs, sons of a year, perfect ones they are for you,
[YLT | EN | OT | Numbers | Chapter 29 | Verse 9] and their present, flour mixed with oil, three-tenth deals for the bullock, two-tenth deals for the one ram,
[YLT | EN | OT | Numbers | Chapter 29 | Verse 10] a several tenth deal for the one lamb, for the seven lambs,
[YLT | EN | OT | Numbers | Chapter 29 | Verse 11] one kid of the goats, a sin-offering; apart from the sin-offering of the atonements, and the continual burnt-offering, and its present, and their libations.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 12] 'And on the fifteenth day of the seventh month a holy convocation ye have; ye do no servile work; and ye have celebrated a festival to Jehovah seven days,
[YLT | EN | OT | Numbers | Chapter 29 | Verse 13] and have brought near a burnt-offering, a fire-offering, a sweet fragrance, to Jehovah; thirteen bullocks, sons of the herd, two rams, fourteen lambs, sons of a year; perfect ones they are;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 14] and their present, flour mixed with oil, three-tenth deals to the one bullock, for the thirteen bullocks, two-tenth deals to the one ram, for the two rams,
[YLT | EN | OT | Numbers | Chapter 29 | Verse 15] and a several tenth deal to the one lamb, for the fourteen lambs,
[YLT | EN | OT | Numbers | Chapter 29 | Verse 16] and one kid of the goats, a sin-offering; apart from the continual burnt-offering, its present, and its libation.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 17] 'And on the second day twelve bullocks, sons of the herd, two rams, fourteen lambs, sons of a year, perfect ones;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 18] and their present, and their libations, for the bullocks, for the rams, and for the sheep, in their number, according to the ordinance;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 19] and one kid of the goats, a sin-offering; apart from the continual burnt-offering, and its present, and their libations.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 20] 'And on the third day eleven bullocks, two rams, fourteen lambs, sons of a year, perfect ones;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 21] and their present, and their libations, for the bullocks, for the rams, and for the lambs, in their number, according to the ordinance;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 22] and one goat, a sin-offering; apart from the continual burnt-offering, and its present, and its libation.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 23] 'And on the fourth day ten bullocks, two rams, fourteen lambs, sons of a year, perfect ones;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 24] their present, and their libations, for the bullocks, for the rams, and for the lambs, in their number, according to the ordinance;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 25] and one kid of the goats, a sin-offering, apart from the continual burnt-offering, its present, and its libation.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 26] 'And on the fifth day nine bullocks, two rams, fourteen lambs, sons of a year, perfect ones;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 27] and their present, and their libations, for the bullocks, for the rams, and for the lambs, in their number, according to the ordinance;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 28] and one goat, a sin-offering; apart from the continual burnt-offering, and its present, and its libation.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 29] 'And on the sixth day eight bullocks, two rams, fourteen lambs, sons of a year, perfect ones;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 30] and their present, and their libations, for the bullocks, for the rams, and for the lambs, in their number, according to the ordinance;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 31] and one goat, a sin-offering; apart from the continual burnt-offering, its present, and its libation.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 32] 'And on the seventh day seven bullocks, two rams, fourteen lambs, sons of a year, perfect ones;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 33] and their present, and their libations, for the bullocks, for the rams, and for the lambs, in their number, according to the ordinance;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 34] and one goat, a sin-offering; apart from the continual burnt-offering, its present, and its libation.
[YLT | EN | OT | Numbers | Chapter 29 | Verse 35] 'On the eighth day a restraint ye have, ye do no servile work;
[YLT | EN | OT | Numbers | Chapter 29 | Verse 36] and ye have brought near a burnt-offering, a fire-offering, a sweet fragrance, to Jehovah; one bullock, one ram, seven lambs, sons of a year, perfect ones;
