[YLT | EN | OT | Numbers | Chapter 16 | Verse 1] And Korah, son of Izhar, son of Kohath, son of Levi, taketh both Dathan and Abiram sons of Eliab, and On son of Peleth, sons of Reuben,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 2] and they rise up before Moses, with men of the sons of Israel, two hundred and fifty, princes of the company, called of the convention, men of name,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 3] and they are assembled against Moses and against Aaron, and say unto them, 'Enough of you! for all the company — all of them [are] holy, and in their midst [is] Jehovah; and wherefore do ye lift yourselves up above the assembly of Jehovah?'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 4] And Moses heareth, and falleth on his face,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 5] and he speaketh unto Korah, and unto all his company, saying, 'Morning! — and Jehovah is knowing those who are his, and him who is holy, and hath brought near unto Him; even him whom He doth fix on He bringeth near unto Him.
[YLT | EN | OT | Numbers | Chapter 16 | Verse 6] This do: take to yourselves censers, Korah, and all his company,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 7] and put in them fire, and put on them perfume, before Jehovah to-morrow, and it hath been, the man whom Jehovah chooseth, he [is] the holy one; — enough of you, sons of Levi.'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 8] And Moses saith unto Korah, 'Hear ye, I pray you, sons of Levi;
[YLT | EN | OT | Numbers | Chapter 16 | Verse 9] is it little to you that the God of Israel hath separated you from the company of Israel to bring you near unto Himself, to do the service of the tabernacle of Jehovah, and to stand before the company to serve them? —
[YLT | EN | OT | Numbers | Chapter 16 | Verse 10] yea, He doth bring thee near, and all thy brethren the sons of Levi with thee — and ye have sought also the priesthood!
[YLT | EN | OT | Numbers | Chapter 16 | Verse 11] Therefore, thou and all thy company who are met [are] against Jehovah; and Aaron, what [is] he, that ye murmur against him?'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 12] And Moses sendeth to call for Dathan and for Abiram sons of Eliab, and they say, 'We do not come up;
[YLT | EN | OT | Numbers | Chapter 16 | Verse 13] is it little that thou hast brought us up out of a land flowing with milk and honey to put us to death in a wilderness that thou also certainly makest thyself prince over us?
[YLT | EN | OT | Numbers | Chapter 16 | Verse 14] Yea, unto a land flowing with milk and honey thou hast not brought us in, nor dost thou give to us an inheritance of field and vineyard; the eyes of these men dost thou pick out? we do not come up.'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 15] And it is very displeasing to Moses, and he saith unto Jehovah, 'Turn not Thou unto their present; not one ass from them have I taken, nor have I afflicted one of them.'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 16] And Moses saith unto Korah, 'Thou and all thy company, be ye before Jehovah, thou, and they, and Aaron, to-morrow;
[YLT | EN | OT | Numbers | Chapter 16 | Verse 17] and take ye each his censer, and ye have put on them perfume, and brought near before Jehovah, each his censer, two hundred and fifty censers; and thou and Aaron, each his censer.'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 18] And they take each his censer, and put on them fire, and lay on them perfume, and they stand at the opening of the tent of meeting, with Moses and Aaron.
[YLT | EN | OT | Numbers | Chapter 16 | Verse 19] And Korah assembleth against them all the company unto the opening of the tent of meeting, and the honour of Jehovah is seen by all the company.
[YLT | EN | OT | Numbers | Chapter 16 | Verse 20] And Jehovah speaketh unto Moses and unto Aaron, saying,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 21] 'Be ye separated from the midst of this company, and I consume them in a moment;'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 22] and they fall on their faces, and say, 'God, God of the spirits of all flesh — the one man sinneth, and against all the company Thou art wroth!'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 23] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 24] 'Speak unto the company, saying, Go ye up from round about the tabernacle of Korah, Dathan, and Abiram.'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 25] And Moses riseth, and goeth unto Dathan and Abiram, and the elders of Israel go after him,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 26] and he speaketh unto the company, saying, 'Turn aside, I pray you, from the tents of these wicked men, and come not against anything that they have, lest ye be consumed in all their sins.'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 27] And they go up from the tabernacle of Korah, Dathan and Abiram, from round about, and Dathan, and Abiram have come out, standing at the opening of their tents, and their wives, and their sons, and their infants.
[YLT | EN | OT | Numbers | Chapter 16 | Verse 28] And Moses saith, 'By this ye do know that Jehovah hath sent me to do all these works, that [they are] not from my own heart;
[YLT | EN | OT | Numbers | Chapter 16 | Verse 29] if according to the death of all men these die — or the charge of all men is charged upon them — Jehovah hath not sent me;
[YLT | EN | OT | Numbers | Chapter 16 | Verse 30] and if a strange thing Jehovah do, and the ground hath opened her mouth and swallowed them, and all that they have, and they have gone down alive to Sheol — then ye have known that these men have despised Jehovah.'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 31] And it cometh to pass at his finishing speaking all these words, that the ground which [is] under them cleaveth,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 32] and the earth openeth her mouth, and swalloweth them, and their houses, and all the men who [are] for Korah, and all the goods,
[YLT | EN | OT | Numbers | Chapter 16 | Verse 33] and they go down, they, and all that they have, alive to Sheol, and the earth closeth over them, and they perish from the midst of the assembly;
[YLT | EN | OT | Numbers | Chapter 16 | Verse 34] and all Israel who [are] round about them have fled at their voice, for they said, 'Lest the earth swallow us;'
[YLT | EN | OT | Numbers | Chapter 16 | Verse 35] and fire hath come out from Jehovah, and consumeth the two hundred and fifty men bringing near the perfume.
