[YLT | EN | OT | Numbers | Chapter 17 | Verse 1] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Numbers | Chapter 17 | Verse 2] 'Speak unto the sons of Israel, and take from them each a rod, for a father's house, from all their princes, for the house of their fathers, twelve rods; the name of each thou dost write on his rod,
[YLT | EN | OT | Numbers | Chapter 17 | Verse 3] and Aaron's name thou dost write on the tribe of Levi; for one rod [is] for the head of their fathers' house:
[YLT | EN | OT | Numbers | Chapter 17 | Verse 4] and thou hast placed them in the tent of meeting, before the testimony, where I meet with you.
[YLT | EN | OT | Numbers | Chapter 17 | Verse 5] 'And it hath come to pass, the man's rod on whom I fix doth flourish, and I have caused to cease from off me the murmurings of the sons of Israel, which they are murmuring against you.'
[YLT | EN | OT | Numbers | Chapter 17 | Verse 6] And Moses speaketh unto the sons of Israel, and all their princes give unto him one rod for a prince, one rod for a prince, for their fathers' house, twelve rods, and the rod of Aaron [is] in the midst of their rods;
[YLT | EN | OT | Numbers | Chapter 17 | Verse 7] and Moses placeth the rods before Jehovah, in the tent of the testimony.
[YLT | EN | OT | Numbers | Chapter 17 | Verse 8] And it cometh to pass, on the morrow, that Moses goeth in unto the tent of the testimony, and lo, the rod of Aaron hath flourished for the house of Levi, and is bringing out flourishing, and doth blossom blossoms, and doth produce almonds;
[YLT | EN | OT | Numbers | Chapter 17 | Verse 9] and Moses bringeth out all the rods from before Jehovah, unto all the sons of Israel, and they look, and take each his rod.
[YLT | EN | OT | Numbers | Chapter 17 | Verse 10] And Jehovah saith unto Moses, 'Put back the rod of Aaron, before the testimony, for a charge, for a sign to the sons of rebellion, and thou dost remove their murmurings from off me, and they do not die;'
[YLT | EN | OT | Numbers | Chapter 17 | Verse 11] and Moses doth as Jehovah hath commanded him; so he hath done.
[YLT | EN | OT | Numbers | Chapter 17 | Verse 12] And the sons of Israel speak unto Moses, saying, 'Lo, we have expired; we have perished; we have all of us perished;
[YLT | EN | OT | Numbers | Chapter 17 | Verse 13] any who is at all drawing near unto the tabernacle of Jehovah dieth; have we not been consumed — to expire?'
