[YLT | EN | OT | Numbers | Chapter 31 | Verse 1] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Numbers | Chapter 31 | Verse 2] 'Execute the vengeance of the sons of Israel against the Midianites — afterwards thou art gathered unto thy people.'
[YLT | EN | OT | Numbers | Chapter 31 | Verse 3] And Moses speaketh unto the people, saying, 'Be ye armed some of you for the host, and they are against Midian, to put the vengeance of Jehovah on Midian;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 4] a thousand for a tribe — a thousand for a tribe, to all the tribes of Israel — ye do send to the host.'
[YLT | EN | OT | Numbers | Chapter 31 | Verse 5] And there are given out of the thousands of Israel a thousand for a tribe, twelve thousand armed ones of the host;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 6] and Moses sendeth them, a thousand for a tribe, to the host, them and Phinehas son of Eleazar the priest, to the host; and the holy vessels, and the trumpets of the shouting, in his hand.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 7] And they war against Midian, as Jehovah hath commanded Moses, and slay every male;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 8] and the kings of Midian they have slain, besides their pierced ones, Evi, and Rekem, and Zur, and Hur, and Reba, five kings of Midian; and Balaam son of Beor, they have slain with the sword.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 9] And the sons of Israel take captive the women of Midian, and their infants; and all their cattle, and all their substance, and all their wealth they have plundered;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 10] and all their cities, with their habitations, and all their towers, they have burnt with fire.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 11] And they take all the spoil, and all the prey, among man and among beast;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 12] and they bring in, unto Moses, and unto Eleazar the priest, and unto the company of the sons of Israel, the captives, and the prey, and the spoil, unto the camp, unto the plains of Moab, which [are] by Jordan, [near] Jericho.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 13] And Moses, and Eleazar the priest, and all the princes of the company, go out to meet them, unto the outside of the camp,
[YLT | EN | OT | Numbers | Chapter 31 | Verse 14] and Moses is wroth against the inspectors of the force, chiefs of the thousands, and chiefs of the hundreds, who are coming in from the host of the battle.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 15] And Moses saith unto them, 'Have ye kept alive every female?
[YLT | EN | OT | Numbers | Chapter 31 | Verse 16] lo, they — they have been to the sons of Israel, through the word of Balaam, to cause a trespass against Jehovah in the matter of Peor, and the plague is in the company of Jehovah.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 17] 'And now, slay ye every male among the infants, yea, every woman known of man by the lying of a male ye have slain;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 18] and all the infants among the women, who have not known the lying of a male, ye have kept alive for yourselves.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 19] 'And ye, encamp ye at the outside of the camp seven days — any who hath slain a person, and any who hath come against a pierced one, ye cleanse yourselves on the third day, and on the seventh day — ye and your captives;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 20] and every garment, and every skin vessel, and every work of goats' [hair], and every wooden vessel, ye yourselves cleanse.'
[YLT | EN | OT | Numbers | Chapter 31 | Verse 21] And Eleazar the priest saith unto the men of the host who go in to battle, 'This [is] the statute of the law which Jehovah hath commanded Moses:
[YLT | EN | OT | Numbers | Chapter 31 | Verse 22] only, the gold, and the silver, the brass, the iron, the tin, and the lead,
[YLT | EN | OT | Numbers | Chapter 31 | Verse 23] every thing which may go into fire, ye cause to pass over through fire, and it hath been clean; only, with the water of separation it is cleansed, and all that may not go into fire, ye cause to pass over through water;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 24] and ye have washed your garments on the seventh day, and have been clean, and afterwards ye come in unto the camp.'
[YLT | EN | OT | Numbers | Chapter 31 | Verse 25] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Numbers | Chapter 31 | Verse 26] 'Take up the sum of the prey of the captives, among man and among beast, thou, and Eleazar the priest, and the heads of the fathers of the company;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 27] and thou hast halved the prey between those handling the battle who go out to the host and all the company;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 28] and thou hast raised a tribute to Jehovah from the men of war, who go out to the host, one body out of five hundred, of man, and of the herd, and of the asses, and of the flock;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 29] from their half ye do take, and thou hast given to Eleazar the priest — the heave-offering of Jehovah.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 30] 'And from the sons of Israel's half thou dost take one possession out of fifty, of man, of the herd, of the asses, and of the flock, of all the cattle, and thou hast given them to the Levites keeping the charge of the tabernacle of Jehovah.'
[YLT | EN | OT | Numbers | Chapter 31 | Verse 31] And Moses doth — Eleazar the priest also — as Jehovah hath commanded Moses.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 32] And the prey, the residue of the spoil which the people of the host have spoiled, is of the flock six hundred thousand, and seventy thousand, and five thousand;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 33] and of the herd two and seventy thousand;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 34] and of asses one and sixty thousand;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 35] and of human beings — of the women who have not known the lying of a male — all the persons [are] two and thirty thousand.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 36] And the half — the portion of those who go out into the host — the number of the flock is three hundred thousand, and thirty thousand, and seven thousand and five hundred.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 37] And the tribute to Jehovah of the sheep is six hundred five and seventy;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 38] and the herd [is] six and thirty thousand, and their tribute to Jehovah [is] two and seventy;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 39] and the asses [are] thirty thousand and five hundred, and their tribute to Jehovah [is] one and sixty;
[YLT | EN | OT | Numbers | Chapter 31 | Verse 40] and the human beings [are] sixteen thousand, and their tribute to Jehovah [is] two and thirty persons.
[YLT | EN | OT | Numbers | Chapter 31 | Verse 41] And Moses giveth the tribute — Jehovah's heave-offering — to Eleazar the priest, as Jehovah hath commanded Moses.
