[YLT | EN | OT | Numbers | Chapter 14 | Verse 1] And all the company lifteth up and give forth their voice, and the people weep during that night;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 2] and all the sons of Israel murmur against Moses, and against Aaron, and all the company say unto them, 'O that we had died in the land of Egypt, or in this wilderness, O that we had died!
[YLT | EN | OT | Numbers | Chapter 14 | Verse 3] and why is Jehovah bringing us in unto this land to fall by the sword? our wives and our infants are become a prey; is it not good for us to turn back to Egypt?'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 4] And they say one unto another, 'Let us appoint a head, and turn back to Egypt.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 5] And Moses falleth — Aaron also — on their faces, before all the assembly of the company of the sons of Israel.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 6] And Joshua son of Nun, and Caleb son of Jephunneh, of those spying the land, have rent their garments,
[YLT | EN | OT | Numbers | Chapter 14 | Verse 7] and they speak unto all the company of the sons of Israel, saying, 'The land into which we have passed over to spy it, [is] a very very good land;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 8] if Jehovah hath delighted in us, then He hath brought us in unto this land, and hath given it to us, a land which is flowing with milk and honey;
[YLT | EN | OT | Numbers | Chapter 14 | Verse 9] only, against Jehovah rebel not ye: and ye, fear not ye the people of the land, for our bread they [are]; their defence hath turned aside from off them, and Jehovah [is] with us; fear them not.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 10] And all the company say to stone them with stones, and the honour of Jehovah hath appeared in the tent of meeting unto all the sons of Israel.
[YLT | EN | OT | Numbers | Chapter 14 | Verse 11] And Jehovah saith unto Moses, 'Until when doth this people despise Me? and until when do they not believe in Me, for all the signs which I have done in its midst?
[YLT | EN | OT | Numbers | Chapter 14 | Verse 12] I smite it with pestilence, and dispossess it, and make thee become a nation greater and mightier than it.'
[YLT | EN | OT | Numbers | Chapter 14 | Verse 13] And Moses saith unto Jehovah, 'Then have the Egyptians heard! for Thou hast brought up with Thy power this people out of their midst,
