[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 1] Περὶ δὲ τῶν χρόνων καὶ τῶν καιρῶν, ἀδελφοί, οὐ χρείαν ἔχετε ὑμῖν γράφεσθαι,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 2] αὐτοὶ γὰρ ἀκριβῶς οἴδατε ⸀ὅτι ἡμέρα κυρίου ὡς κλέπτης ἐν νυκτὶ οὕτως ἔρχεται.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 3] ⸀ὅταν λέγωσιν· Εἰρήνη καὶ ἀσφάλεια, τότε αἰφνίδιος αὐτοῖς ἐφίσταται ὄλεθρος ὥσπερ ἡ ὠδὶν τῇ ἐν γαστρὶ ἐχούσῃ, καὶ οὐ μὴ ἐκφύγωσιν.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 4] ὑμεῖς δέ, ἀδελφοί, οὐκ ἐστὲ ἐν σκότει, ἵνα ἡ ἡμέρα ὑμᾶς ὡς ⸀κλέπτης καταλάβῃ,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 5] πάντες ⸀γὰρ ὑμεῖς υἱοὶ φωτός ἐστε καὶ υἱοὶ ἡμέρας. οὐκ ἐσμὲν νυκτὸς οὐδὲ σκότους·
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 6] ἄρα οὖν μὴ καθεύδωμεν ⸀ὡς οἱ λοιποί, ἀλλὰ γρηγορῶμεν καὶ νήφωμεν.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 7] οἱ γὰρ καθεύδοντες νυκτὸς καθεύδουσιν, καὶ οἱ μεθυσκόμενοι νυκτὸς μεθύουσιν·
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 8] ἡμεῖς δὲ ἡμέρας ὄντες νήφωμεν, ἐνδυσάμενοι θώρακα πίστεως καὶ ἀγάπης καὶ περικεφαλαίαν ἐλπίδα σωτηρίας·
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 9] ὅτι οὐκ ἔθετο ἡμᾶς ὁ θεὸς εἰς ὀργὴν ἀλλὰ εἰς περιποίησιν σωτηρίας διὰ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 10] τοῦ ἀποθανόντος ⸀περὶ ἡμῶν ἵνα εἴτε γρηγορῶμεν εἴτε καθεύδωμεν ἅμα σὺν αὐτῷ ζήσωμεν.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 11] διὸ παρακαλεῖτε ἀλλήλους καὶ οἰκοδομεῖτε εἷς τὸν ἕνα, καθὼς καὶ ποιεῖτε.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 12] Ἐρωτῶμεν δὲ ὑμᾶς, ἀδελφοί, εἰδέναι τοὺς κοπιῶντας ἐν ὑμῖν καὶ προϊσταμένους ὑμῶν ἐν κυρίῳ καὶ νουθετοῦντας ὑμᾶς,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 13] καὶ ἡγεῖσθαι αὐτοὺς ⸀ὑπερεκπερισσοῦ ἐν ἀγάπῃ διὰ τὸ ἔργον αὐτῶν. εἰρηνεύετε ἐν ⸀ἑαυτοῖς.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 14] παρακαλοῦμεν δὲ ὑμᾶς, ἀδελφοί, νουθετεῖτε τοὺς ἀτάκτους, παραμυθεῖσθε τοὺς ὀλιγοψύχους, ἀντέχεσθε τῶν ἀσθενῶν, μακροθυμεῖτε πρὸς πάντας.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 15] ὁρᾶτε μή τις κακὸν ἀντὶ κακοῦ τινι ἀποδῷ, ἀλλὰ πάντοτε τὸ ἀγαθὸν ⸀διώκετε εἰς ἀλλήλους καὶ εἰς πάντας.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 16] πάντοτε χαίρετε,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 17] ἀδιαλείπτως προσεύχεσθε,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 18] ἐν παντὶ εὐχαριστεῖτε· τοῦτο γὰρ θέλημα θεοῦ ἐν Χριστῷ Ἰησοῦ εἰς ὑμᾶς.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 19] τὸ πνεῦμα μὴ σβέννυτε,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 20] προφητείας μὴ ἐξουθενεῖτε·
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 21] πάντα δὲ δοκιμάζετε, τὸ καλὸν κατέχετε,
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 22] ἀπὸ παντὸς εἴδους πονηροῦ ἀπέχεσθε.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 23] Αὐτὸς δὲ ὁ θεὸς τῆς εἰρήνης ἁγιάσαι ὑμᾶς ὁλοτελεῖς, καὶ ὁλόκληρον ὑμῶν τὸ πνεῦμα καὶ ἡ ψυχὴ καὶ τὸ σῶμα ἀμέμπτως ἐν τῇ παρουσίᾳ τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ τηρηθείη.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 24] πιστὸς ὁ καλῶν ὑμᾶς, ὃς καὶ ποιήσει.
[SBLGNT | EL | NT | 1 Thessalonians | Chapter 5 | Verse 25] Ἀδελφοί, ⸀προσεύχεσθε περὶ ἡμῶν.
