[BSB | EN | OT | Hosea | Chapter 4 | Verse 1] Hear the word of the LORD, O children of Israel, for the LORD has a case against the people of the land: “There is no truth, no loving devotion, and no knowledge of God in the land!
[BSB | EN | OT | Hosea | Chapter 4 | Verse 2] Cursing and lying, murder and stealing, and adultery are rampant; one act of bloodshed follows another.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 3] Therefore the land mourns, and all who dwell in it will waste away with the beasts of the field and the birds of the air; even the fish of the sea disappear.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 4] But let no man contend; let no man offer reproof; for your people are like those who contend with a priest.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 5] You will stumble by day, and the prophet will stumble with you by night; so I will destroy your mother—
[BSB | EN | OT | Hosea | Chapter 4 | Verse 6] My people are destroyed for lack of knowledge. Because you have rejected knowledge, I will also reject you as My priests. Since you have forgotten the law of your God, I will also forget your children.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 7] The more they multiplied, the more they sinned against Me; they exchanged their Glory for a thing of disgrace.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 8] They feed on the sins of My people and set their hearts on iniquity.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 9] And it shall be like people, like priest. I will punish both of them for their ways and repay them for their deeds.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 10] They will eat but not be satisfied; they will be promiscuous but not multiply. For they have stopped obeying the LORD.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 11] Promiscuity, wine, and new wine take away understanding.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 12] My people consult their wooden idols, and their divining rods inform them. For a spirit of prostitution leads them astray and they have played the harlot against their God.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 13] They sacrifice on the mountaintops and burn offerings on the hills, under oak, poplar, and terebinth, because their shade is pleasant. And so your daughters turn to prostitution and your daughters-in-law to adultery.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 14] I will not punish your daughters when they prostitute themselves, nor your daughters-in-law when they commit adultery. For the men themselves go off with prostitutes and offer sacrifices with shrine prostitutes. So a people without understanding will come to ruin.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 15] Though you prostitute yourself, O Israel, may Judah avoid such guilt! Do not journey to Gilgal, do not go up to Beth-aven, and do not swear on oath, ‘As surely as the LORD lives!’
[BSB | EN | OT | Hosea | Chapter 4 | Verse 16] For Israel is as obstinate as a stubborn heifer. Can the LORD now shepherd them like lambs in an open meadow?
[BSB | EN | OT | Hosea | Chapter 4 | Verse 17] Ephraim is joined to idols; leave him alone!
[BSB | EN | OT | Hosea | Chapter 4 | Verse 18] When their liquor is gone, they turn to prostitution; their rulers dearly love disgrace.
[BSB | EN | OT | Hosea | Chapter 4 | Verse 19] The whirlwind has wrapped them in its wings, and their sacrifices will bring them shame.
