[DRA | EN | OT | Psalms | Chapter 94 | Verse 1] Come let us praise the Lord with joy: let us joyfully sing to God our saviour.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 2] Let us come before his presence with thanksgiving; and make a joyful noise to him with psalms.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 3] For the Lord is a great God, and a great King above all gods.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 4] For in his hand are all the ends of the earth: and the heights of the mountains are his.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 5] For the sea is his, and he made it: and his hands formed the dry land.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 6] Come let us adore and fall down: and weep before the Lord that made us.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 7] For he is the Lord our God: and we are the people of his pasture and the sheep of his hand.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 8] Today if you shall hear his voice, harden not your hearts:
[DRA | EN | OT | Psalms | Chapter 94 | Verse 9] As in the provocation, according to the day of temptation in the wilderness: where your fathers tempted me, they proved me, and saw my works.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 10] Forty years long was I offended with that generation, and I said: These always err in heart.
[DRA | EN | OT | Psalms | Chapter 94 | Verse 11] And these men have not known my ways: so I swore in my wrath that they shall not enter into my rest.
