[DRA | EN | OT | Psalms | Chapter 37 | Verse 1] A psalm for David, for a remembrance of the sabbath.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 2] Rebuke me not, O Lord, in thy indignation; nor chastise me in thy wrath.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 3] For thy arrows are fastened in me: and thy hand hath been strong upon me.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 4] There is no health in my flesh, because of thy wrath: there is no peace for my bones, because of my sins.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 5] For my iniquities are gone over my head: and as a heavy burden are become heavy upon me.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 6] My sores are putrified and corrupted, because of my foolishness.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 7] I am become miserable, and am bowed down even to the end: I walked sorrowful all the day long.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 8] For my loins are filled with illusions; and there is no health in my flesh.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 9] I am afflicted and humbled exceedingly: I roared with the groaning of my heart.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 10] Lord, all my desire is before thee, and my groaning is not hidden from thee.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 11] My heart is troubled, my strength hath left me, and the light of my eyes itself is not with me.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 12] My friends and my neighbours have drawn near, and stood against me. And they that were near me stood afar off:
[DRA | EN | OT | Psalms | Chapter 37 | Verse 13] And they that sought my soul used violence. And they that sought evils to me spoke vain things, and studied deceits all the day long.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 14] But I, as a deaf man, heard not: and as a dumb man not opening his mouth.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 15] And I became as a man that heareth not: and that hath no reproofs in his mouth.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 16] For in thee, O Lord, have I hoped: thou wilt hear me, O Lord my God.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 17] For I said: Lest at any time my enemies rejoice over me: and whilst my feet are moved, they speak great things against me.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 18] For I am ready for scourges: and my sorrow is continually before me.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 19] For I will declare my inequity: and I will think for my sin.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 20] But my enemies live, and are stronger that I: and they hate me wrongfully are multiplied.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 21] They that render evil for good, have detracted me, because I followed goodness.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 22] Forsake me not, O Lord my God: do not thou depart from me.
[DRA | EN | OT | Psalms | Chapter 37 | Verse 23] Attend unto my help, O Lord, the God of my salvation.
