[DRA | EN | OT | Psalms | Chapter 108 | Verse 1] Unto the end, a psalm for David.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 2] O God, be not thou silent in thy praise: for the mouth of the wicked and the mouth of the deceitful man is opened against me.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 3] They have spoken against with deceitful tongues; and they have compassed me about with words of hatred; and have fought against me without cause.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 4] Instead of making me a return of love, they detracted me: but I gave myself to prayer.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 5] And they repaid me evil for good: and hatred for my love.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 6] Set thou the sinner over him: and may the devil stand at his right hand.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 7] When he is judged, may he go out condemned; and may his prayer be turned to sin.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 8] May his days be few: and his bishopric let another take.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 9] May his children be fatherless, and his wife a widow.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 10] Let his children be carried about vagabonds, and beg; and let them be cast out of their dwellings.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 11] May the userer search all his substance: and let strangers plunder his labours.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 12] May there be none to help him: nor none to pity his fatherless offspring.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 13] May his posterity be cut off; in one generation may his name be blotted out.
[DRA | EN | OT | Psalms | Chapter 108 | Verse 14] May the iniquity of his fathers be remembered in the sight of the Lord: and let not the sin of his mother be blotted out.
