[DRA | EN | OT | Psalms | Chapter 143 | Verse 1] Blessed be the Lord my God, who teacheth my hands to fight, and my fingers to war.
[DRA | EN | OT | Psalms | Chapter 143 | Verse 2] My mercy, and my refuge: my support, and my deliverer: My protector, and I have hoped in him: who subdueth my people under me.
[DRA | EN | OT | Psalms | Chapter 143 | Verse 3] Lord, what is man, that thou art made known to him? or the son of man, that thou makest account of him?
[DRA | EN | OT | Psalms | Chapter 143 | Verse 4] Man is like to vanity: his days pass away like a shadow.
[DRA | EN | OT | Psalms | Chapter 143 | Verse 5] Lord, bow down thy heavens and descend: touch the mountains and they shall smoke.
[DRA | EN | OT | Psalms | Chapter 143 | Verse 6] Send forth lightning, and thou shalt scatter them: shoot out thy arrows, and thou shalt trouble them.
[DRA | EN | OT | Psalms | Chapter 143 | Verse 7] Put forth thy hand from on high, take me out, and deliver me from many waters: from the hand of strange children:
[DRA | EN | OT | Psalms | Chapter 143 | Verse 8] Whose mouth hath spoken vanity: and their right hand is the right hand of iniquity.
[DRA | EN | OT | Psalms | Chapter 143 | Verse 9] To thee, O God, I will sing a new canticle: on the psaltery and an instrument of ten strings I will sing praises to thee.
[DRA | EN | OT | Psalms | Chapter 143 | Verse 10] Who givest salvation to kings: who hast redeemed thy servant David from the malicious sword:
[DRA | EN | OT | Psalms | Chapter 143 | Verse 11] Deliver me, And rescue me out of the hand of strange children; whose mouth hath spoken vanity: and their right hand is the right hand of iniquity:
[DRA | EN | OT | Psalms | Chapter 143 | Verse 12] Whose sons are as new plants in their youth: Their daughters decked out, adorned round about after the similitude of a temple:
