[DRA | EN | OT | Psalms | Chapter 106 | Verse 1] Give glory to the Lord, for he is good: for his mercy endureth for ever.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 2] Let them say so that have been redeemed by the Lord, whom he hath redeemed from the hand of the enemy: and gathered out of the countries.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 3] From the rising and the setting of the sun, from the north and from the sea.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 4] They wandered in a wilderness, in a place without water: they found not the way of a city for their habitation.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 5] They were hungry and thirsty: their soul fainted in them.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 6] And they cried to the Lord in their tribulation: and he delivered them out of their distresses.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 7] And he led them into the right way: that they might go to a city of habitation.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 8] Let the mercies of the Lord give glory to him: and his wonderful works to the children of men.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 9] For he hath satisfied the empty soul, and hath filled the hungry soul with good things.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 10] Such as sat in darkness and in the shadow of death: bound in want and in iron.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 11] Because they had exasperated the words of God: and provoked the counsel of the most High:
[DRA | EN | OT | Psalms | Chapter 106 | Verse 12] And their heart was humbled with labours: they were weakened, and their was none to help them.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 13] Then they cried to the Lord in their affliction: and he delivered them out of their distresses.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 14] And he brought them out of darkness, and the shadow of death; and broke their bonds in sunder.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 15] Let the mercies of the Lord give glory to him, and his wonderful works to the children of men.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 16] Because he hath broken gates of brass, and burst the iron bars.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 17] He took them out of the way of their iniquity: for they were brought low for their injustices.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 18] Their soul abhorred all manner of meat: and they drew nigh even to the gates of death.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 19] And they cried to the Lord in their affliction: and he delivered them out of their distresses.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 20] He sent his word, and healed them: and delivered them from their destructions.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 21] Let the mercies of the Lord give glory to him: and his wonderful works to the children of men.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 22] And let them sacrifice the sacrifice of praise: and declare his works with joy.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 23] They that go down to the sea in ships, doing business in the great waters:
[DRA | EN | OT | Psalms | Chapter 106 | Verse 24] These have seen the works of the Lord, and his wonders in the deep.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 25] He said the word, and there arose a storm of wind: and the waves thereof were lifted up.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 26] They mount up to the heavens, and they go down to the depths: their soul pined away with evils.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 27] They were troubled, and reeled like a drunken man; and all their wisdom was swallowed up.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 28] And they cried to the Lord in their affliction: and he brought them out of their distresses.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 29] And he turned the storm into a breeze: and its waves were still.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 30] And they rejoiced because they were still: and he brought them to the haven which they wished for.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 31] Let the mercies of the Lord give glory to him, and his wonderful works to the children of men.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 32] And let them exalt him in the church of the people: and praise him in the chair of the ancients.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 33] He hath turned rivers into a wilderness: and the sources of water into dry ground:
[DRA | EN | OT | Psalms | Chapter 106 | Verse 34] A fruitful land into barrenness, for the wickedness of them that dwell therein.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 35] He hath turned a wilderness into pools of water, and a dry land into water springs.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 36] And hath placed there the hungry; and they made a city for their habitation.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 37] And they sowed fields, and planted vineyards: and they yielded fruit of birth.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 38] And he blessed them, and they were multiplied exceedingly: and their cattle he suffered not to decrease.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 39] Then they were brought to be few: and they were afflicted through the trouble of evils and sorrow.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 40] Contempt was poured forth upon their princes: and he caused them to wander where there was no passing, and out of the way.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 41] And he helped the poor out of poverty: and made him families like a flock of sheep.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 42] The just shall see, and shall rejoice, and all iniquity shall stop their mouth.
[DRA | EN | OT | Psalms | Chapter 106 | Verse 43] Who is wise, and will keep these things: and will understand the mercies of the Lord?
