[DRA | EN | OT | Psalms | Chapter 77 | Verse 1] Understanding for Asaph. Attend, O my people, to my law: incline your ears to the words of my mouth.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 2] I will open my mouth in parables: I will utter propositions from the beginning.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 3] How great things have we heard and known, and our fathers have told us.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 4] They have not been hidden from their children, in another generation. Declaring the praises of the Lord, and his powers, and his wonders which he hath done.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 5] And he set up a testimony in Jacob: and made a law in Israel. How great things he commanded our fathers, that they should make the same known to their children:
[DRA | EN | OT | Psalms | Chapter 77 | Verse 6] That another generation might know them. The children that should be born and should rise up, and declare them to their children.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 7] That they may put their hope in God and may not forget the works of God: and may seek his commandments.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 8] That they may not become like their fathers, a perverse and exasperating generation. A generation that set not their heart aright: and whose spirit was not faithful to God.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 9] The sons of Ephraim who bend and shoot with the bow: they have turned back in the day of battle.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 10] They kept not the covenant of God: and in his law they would not walk.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 11] And they forgot his benefits, and his wonders that he had shewn them.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 12] Wonderful things did he do in the sight of their fathers, in the land of Egypt, in the field of Tanis.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 13] He divided the sea and brought them through: and he made the waters to stand as in a vessel.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 14] And he conducted them with a cloud by day: and all the night with a light of fire.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 15] He struck the rock in the wilderness: and gave them to drink, as out of the great deep.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 16] He brought forth water out of the rock: and made streams run down as rivers.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 17] And they added yet more sin against him: they provoked the most High to wrath in the place without water.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 18] And they tempted God in their hearts, by asking meat for their desires.
[DRA | EN | OT | Psalms | Chapter 77 | Verse 19] And they spoke ill of God: they said: Can God furnish a table in the wilderness?
[DRA | EN | OT | Psalms | Chapter 77 | Verse 20] Because he struck the rock, and the waters gushed out, and the streams overflowed. Can he also give bread, or provide a table for his people?
[DRA | EN | OT | Psalms | Chapter 77 | Verse 21] Therefore the Lord heard, and was angry: and a fire was kindled against Jacob, and wrath came up against Israel.
