[DRA | EN | OT | Psalms | Chapter 96 | Verse 1] For the same David, when his land was restored again to him. The Lord hath reigned, let the earth rejoice: let many islands be glad.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 2] Clouds and darkness are round about him: justice and judgment are the establishment of his throne.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 3] A fire shall go before him, and shall burn his enemies round about.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 4] His lightnings have shone forth to the world: the earth saw and trembled.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 5] The mountains melted like wax, at the presence of the Lord: at the presence of the Lord of all the earth.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 6] The heavens declared his justice: and all people saw his glory.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 7] Let them be all confounded that adore graven things, and that glory in their idols. Adore him, all you his angels:
[DRA | EN | OT | Psalms | Chapter 96 | Verse 8] Sion heard, and was glad. And the daughters of Juda rejoiced, because of thy judgments, O Lord.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 9] For thou art the most high Lord over all the earth: thou art exalted exceedingly above all gods.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 10] You that love the Lord, hate evil: the Lord preserveth the souls of his saints, he will deliver them out of the hand of the sinner.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 11] Light is risen to the just, and joy to the right of heart.
[DRA | EN | OT | Psalms | Chapter 96 | Verse 12] Rejoice, ye just, in the Lord: and give praise to the remembrance of his holiness.
