[DRA | EN | OT | Psalms | Chapter 74 | Verse 1] Unto the end, corrupt not, a psalm of a canticle for Asaph.
[DRA | EN | OT | Psalms | Chapter 74 | Verse 2] We will praise thee, O God: we will praise, and we will call upon thy name. We will relate thy wondrous works:
[DRA | EN | OT | Psalms | Chapter 74 | Verse 3] When I shall take a time, I will judge justices.
[DRA | EN | OT | Psalms | Chapter 74 | Verse 4] The earth is melted, and all that dwell therein: I have established the pillars thereof.
[DRA | EN | OT | Psalms | Chapter 74 | Verse 5] I said to the wicked: Do not act wickedly: and to the sinners: Lift not up the horn.
[DRA | EN | OT | Psalms | Chapter 74 | Verse 6] Lift not up your horn on high: speak not iniquity against God.
[DRA | EN | OT | Psalms | Chapter 74 | Verse 7] For neither from the east, nor from the west, nor from the desert hills:
[DRA | EN | OT | Psalms | Chapter 74 | Verse 8] For God is the judge. One he putteth down, and another he lifteth up:
[DRA | EN | OT | Psalms | Chapter 74 | Verse 9] For in the hand of the Lord there is a cup of strong wine full of mixture. And he hath poured it out from this to that: but the dregs thereof are not emptied: all the sinners of the earth shall drink.
[DRA | EN | OT | Psalms | Chapter 74 | Verse 10] But I will declare for ever: I will sing to the God of Jacob.
[DRA | EN | OT | Psalms | Chapter 74 | Verse 11] And I will break all the horns of sinners: but the horns of the just shall be exalted.
