[DRA | EN | OT | Psalms | Chapter 9 | Verse 1] Unto the end, for the hidden things of the Son. A psalm for David.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 2] I will give praise to thee, O Lord, with my whole heart: I will relate all thy wonders.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 3] I will be glad and rejoice in thee: I will sing to thy name, O thou most high.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 4] When my enemy shall be turned back: they shall be weakened and perish before thy face.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 5] For thou hast maintained my judgment and my cause: thou hast sat on the throne, who judgest justice.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 6] Thou hast rebuked the Gentiles, and the wicked one hath perished: thou hast blotted out their name for ever and ever.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 7] The swords of the enemy have failed unto the end: and their cities thou hast destroyed. Their memory hath perished with a noise.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 8] But the Lord remaineth for ever. He hath prepared his throne in judgment:
[DRA | EN | OT | Psalms | Chapter 9 | Verse 9] And he shall judge the world in equity, he shall judge the people in justice.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 10] And the Lord is become a refuge for the poor: a helper in due time in tribulation.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 11] And let them trust in thee who know thy name: for thou hast not forsaken them that seek thee, O Lord.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 12] Sing ye to the Lord, who dwelleth in Sion: declare his ways among the Gentiles:
[DRA | EN | OT | Psalms | Chapter 9 | Verse 13] For requiring their blood he hath remembered the: he hath not forgotten the cry of the poor.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 14] Have mercy on me, O Lord: see my humiliation which I suffer from my enemies.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 15] Thou that liftest me up from the gates of death, that I may declare all thy praises in the gates of the daughter of Sion.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 16] I will rejoice in thy salvation: the Gentiles have stuck fast in the destruction which they have prepared. Their foot hath been taken in the very snare which they hid.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 17] The Lord shall be known when he executeth judgments: the sinner hath been caught in the works of his own hands.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 18] The wicked shall be turned into hell, all the nations that forget God.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 19] For the poor man shall not be forgotten to the end: the patience of the poor shall not perish for ever.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 20] Arise, O Lord, let not man be strengthened: let the Gentiles be judged in thy sight.
[DRA | EN | OT | Psalms | Chapter 9 | Verse 21] Appoint, O Lord, a lawgiver over them: that the Gentiles may know themselves to be but men.
