[DRA | EN | OT | Psalms | Chapter 56 | Verse 1] Unto the end, destroy not, for David, for an inscription of a title, when he fled from Saul into the cave. [1 Kings 24]
[DRA | EN | OT | Psalms | Chapter 56 | Verse 2] Have mercy on me, O God, have mercy on me: for my soul trusteth in thee. And in the shadow of thy wings will I hope, until iniquity pass away.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 3] I will cry to God the most High; to God who hath done good to me.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 4] He hath sent from heaven and delivered me: he hath made them a reproach that trod upon me. God hath sent his mercy and his truth,
[DRA | EN | OT | Psalms | Chapter 56 | Verse 5] And he hath delivered my soul from the midst of the young lions. I slept troubled. The sons of men, whose teeth are weapons and arrows, and their tongue a sharp sword.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 6] Be thou exalted, O God, above the heavens, and thy glory above all the earth.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 7] They prepared a snare for my feet; and they bowed down my soul. They dug a pit before my face, and they are fallen into it.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 8] My heart is ready, O God, my heart is ready: I will Sing, and rehearse a psalm.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 9] Arise, O my glory, arise psaltery and harp: I will arise early.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 10] I will give praise to thee, O Lord, among the people: I will sing a psalm to thee among the nations.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 11] For thy mercy is magnified even to the heavens: and thy truth unto the clouds.
[DRA | EN | OT | Psalms | Chapter 56 | Verse 12] Be thou exalted, O God, above the heavens: and thy glory above all the earth.
