[DRA | EN | OT | Psalms | Chapter 38 | Verse 1] Unto the end, for Idithun himself, a canticle of David.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 2] I said: I will take heed to my ways: that I sin not with my tongue. I have set guard to my mouth, when the sinner stood against me.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 3] I was dumb, and was humbled, and kept silence from good things: and my sorrow was renewed.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 4] My heart grew hot within me: and in my meditation a fire shall flame out.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 5] I spoke with my tongue: O Lord, make me know my end. And what is the number of my days: that I may know what is wanting to me.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 6] Behold thou hast made my days measurable: and my substance is as nothing before thee. And indeed all things are vanity: every man living.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 7] Surely man passeth as an image: yea, and he is disquieted in vain. He storeth up: and he knoweth not for whom he shall gather these things.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 8] And now what is my hope? is it not the Lord? and my substance is with thee.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 9] Deliver thou me from all my iniquities: thou hast made me a reproach to the fool.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 10] I was dumb, and I opened not my mouth, because thou hast done it.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 11] Remove thy scourges from me. The strength of thy hand hath made me faint in rebukes:
[DRA | EN | OT | Psalms | Chapter 38 | Verse 12] Thou hast corrected man for iniquity. And thou hast made his soul to waste away like a spider: surely in vain is any man disquieted.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 13] Hear my prayer, O Lord, and my supplication: give ear to my tears. Be not silent: for I am a stranger with thee, and a sojourner as all my fathers were.
[DRA | EN | OT | Psalms | Chapter 38 | Verse 14] O forgive me, that I may be refreshed, before I go hence, and be no more.
