[DRA | EN | OT | Psalms | Chapter 21 | Verse 1] Unto the end, for the morning protection, a psalm for David.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 2] O God my God, look upon me: why hast thou forsaken me? Far from my salvation are the words of my sins.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 3] O my God, I shall cry by day, and thou wilt not hear: and by night, and it shall not be reputed as folly in me.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 4] But thou dwellest in the holy place, the praise of Israel.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 5] In thee have our fathers hoped: they have hoped, and thou hast delivered them.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 6] They cried to thee, and they were saved: they trusted in thee, and were not confounded.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 7] But I am a worm, and no man: the reproach of men, and the outcast of the people.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 8] All they that saw me have laughed me to scorn: they have spoken with the lips, and wagged the head.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 9] He hoped in the Lord, let him deliver him: let him save him, seeing he delighteth in him.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 10] For thou art he that hast drawn me out of the womb: my hope from the breasts of my mother.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 11] I was cast upon thee from the womb. From my mother’s womb thou art my God,
[DRA | EN | OT | Psalms | Chapter 21 | Verse 12] Depart not from me. For tribulation is very near: for there is none to help me.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 13] Many calves have surrounded me: fat bulls have besieged me.
[DRA | EN | OT | Psalms | Chapter 21 | Verse 14] They have opened their mouths against me, as a lion ravening and roaring.
