[DRA | EN | OT | Psalms | Chapter 79 | Verse 1] Unto the end, for them that shall he changed, a testimony for Asaph, a psalm.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 2] Give ear, O thou that rulest Israel: thou that leadest Joseph like a sheep. Thou that sittest upon the cherubims, shine forth
[DRA | EN | OT | Psalms | Chapter 79 | Verse 3] Before Ephraim, Benjamin, and Manasses. Stir up thy might, and come to save us.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 4] Convert us, O God: and shew us thy face, and we shall be saved.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 5] O Lord God of hosts, how long wilt thou be angry against the prayer of thy servant?
[DRA | EN | OT | Psalms | Chapter 79 | Verse 6] How long wilt thou feed us with the bread of tears: and give us for our drink tears in measure?
[DRA | EN | OT | Psalms | Chapter 79 | Verse 7] Thou hast made us to be a contradiction to our neighbours: and our enemies have scoffed at us.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 8] O God of hosts, convert us: and shew thy face, and we shall be saved.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 9] Thou hast brought a vineyard out of Egypt: thou hast cast cut the Gentiles and planted it.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 10] Thou wast the guide of its journey in its sight: thou plantedst the roots thereof, and it filled the land.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 11] The shadow of it covered the hills: and the branches thereof the cedars of God.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 12] It stretched forth its branches unto the sea, and its boughs unto the river.
[DRA | EN | OT | Psalms | Chapter 79 | Verse 13] Why hast thou broken down the hedge thereof, so that all they who pass by the way do pluck it?
