[DRA | EN | OT | Psalms | Chapter 75 | Verse 1] Unto the end, in praises, a psalm for Asaph: a canticle to the Assyrians.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 2] In Judea God is known: his name is great in Israel.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 3] And his place is in peace: and his abode in Sion:
[DRA | EN | OT | Psalms | Chapter 75 | Verse 4] There hath he broken the powers of bows, the shield, the sword, and the battie.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 5] Thou enlightenest wonderfully from the everlasting hills.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 6] All the foolish of heart were troubled. They have slept their sleep; and all the men of riches have found nothing in their hands.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 7] At thy rebuke, O God of Jacob, they have all slumbered that mounted on horseback.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 8] Thou art terrible, and who shall resist thee? from that time thy wrath.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 9] Thou hast caused judgment to be heard from heaven: the earth trembled and was still,
[DRA | EN | OT | Psalms | Chapter 75 | Verse 10] When God arose in judgment, to save all the meek of the earth.
[DRA | EN | OT | Psalms | Chapter 75 | Verse 11] For the thought of man shall give praise to thee: and the remainders of the thought shall keep holiday to thee.
