[DRA | EN | OT | Psalms | Chapter 105 | Verse 1] Alleluia. Give glory to the Lord, for he is good: for his mercy endureth for ever.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 2] Who shall declare the powers of the Lord? who shall set forth all his praises?
[DRA | EN | OT | Psalms | Chapter 105 | Verse 3] Blessed are they that keep judgment, and do justice at all times.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 4] Remember us, O Lord, in the favour of thy people: visit us with thy salvation.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 5] That we may see the good of thy chosen, that we may rejoice in the joy of thy nation: that thou mayst be praised with thy inheritance.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 6] We have sinned with our fathers: we have acted unjustly, we have wrought iniquity.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 7] Our fathers understood not thy wonders in Egypt: they remembered not the multitude of thy mercies: And they provoked to wrath going up to the sea, even the Red Sea.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 8] And he saved them for his own name’s sake: that he might make his power known.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 9] And he rebuked the Red Sea, and it was dried up: and he led them through the depths, as in a wilderness.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 10] And he saved them from the hand of them that hated them: and he redeemed them from the hand of the enemy.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 11] And the water covered them that afflicted them: there was not one of them left.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 12] And they believed his words: and they sang his praises.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 13] They had quickly done, they forgot his works: and they waited not for his counsels.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 14] And they coveted their desire in the desert: and they tempted God in the place without water.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 15] And he gave them their request: and sent fulness into their souls.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 16] And they provoked Moses in the camp, Aaron the holy one of the Lord.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 17] The earth opened and swallowed up Dathan: and covered the congregation of Abiron.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 18] And a fire was kindled in their congregation: the flame burned the wicked.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 19] They made also a calf in Horeb: and they adored the graven thing.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 20] And they changed their glory into the likeness of a calf that eateth grass.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 21] They forgot God, who saved them, who had done great things in Egypt,
[DRA | EN | OT | Psalms | Chapter 105 | Verse 22] Wondrous works in the land of Cham: terrible things in the Red Sea.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 23] And he said that he would destroy them: had not Moses his chosen stood before him in the breach: To turn away his wrath, lest he should destroy them.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 24] And they set at nought the desirable land. They believed not his word,
[DRA | EN | OT | Psalms | Chapter 105 | Verse 25] And they murmured in their tents: they hearkened not to the voice of the Lord.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 26] And he lifted up his hand over them: to overthrow them in the desert;
[DRA | EN | OT | Psalms | Chapter 105 | Verse 27] And to cast down their seed among the nations, and to scatter them in the countries.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 28] They also were initiated to Beelphegor: and ate the sacrifices of the dead.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 29] And they provoked him with their inventions: and destruction was multiplied among them.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 30] Then Phinees stood up, and pacified him: and the slaughter ceased.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 31] And it was reputed to him unto justice, to generation and generation for evermore.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 32] They provoked him also at the waters of contradiction: and Moses was afflicted for their sakes:
[DRA | EN | OT | Psalms | Chapter 105 | Verse 33] Because they exasperated his spirit. And he distinguished with his lips.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 34] They did not destroy the nations of which the Lord spoke unto them.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 35] And they were mingled among the heathens, and learned their works:
[DRA | EN | OT | Psalms | Chapter 105 | Verse 36] And served their idols, and it became a stumblingblock to them.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 37] And they sacrificed their sons, and their daughters to devils.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 38] And they shed innocent blood: the blood of their sons and of their daughters which they sacrificed to the idols of Chanaan. And the land was polluted with blood,
[DRA | EN | OT | Psalms | Chapter 105 | Verse 39] And was defiled with their works: and they went aside after their own inventions.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 40] And the Lord was exceedingly angry with his people: and he abhorred his inheritance.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 41] And he delivered them into the hands of the nations: and they that hated them had dominion over them.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 42] And their enemies afflicted them: and they were humbled under their hands:
[DRA | EN | OT | Psalms | Chapter 105 | Verse 43] Many times did he deliver them. But they provoked him with their counsel: and they were brought low by their iniquities.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 44] And he saw when they were in tribulation: and he heard their prayer.
[DRA | EN | OT | Psalms | Chapter 105 | Verse 45] And he was mindful of his covenant: and repented according to the multitude of his mercies.
