[DRA | EN | OT | Psalms | Chapter 76 | Verse 1] Unto the end, for Idithun, a psalm of Asaph.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 2] I cried to the Lord with my voice; to God with my voice, and he gave ear to me.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 3] In the day of my trouble I sought God, with my hands lifted up to him in the night, and I was not deceived. My soul refused to be comforted:
[DRA | EN | OT | Psalms | Chapter 76 | Verse 4] I remembered God, and was delighted, and was exercised, and my spirit swooned away.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 5] My eyes prevented the watches: I was troubled, and I spoke not.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 6] I thought upon the days of old: and I had in my mind the eternal years.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 7] And I meditated in the night with my own heart: and I was exercised and I swept my spirit.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 8] Will God then cast off for ever? or will he never be more favourable again?
[DRA | EN | OT | Psalms | Chapter 76 | Verse 9] Or will he cut off his mercy for ever, from generation to generation?
[DRA | EN | OT | Psalms | Chapter 76 | Verse 10] Or will God forget to shew mercy? or will he in his anger shut up his mercies?
[DRA | EN | OT | Psalms | Chapter 76 | Verse 11] And I said, Now have I begun: this is the change of the right hand of the most High.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 12] I remembered the works of the Lord: for I will be mindful of thy wonders from the beginning.
[DRA | EN | OT | Psalms | Chapter 76 | Verse 13] And I will meditate on all thy works: and will be employed in thy inventions.
