[DRA | EN | OT | Psalms | Chapter 72 | Verse 1] A psalm for Asaph. How good is God to Israel, to them that are of a right heart!
[DRA | EN | OT | Psalms | Chapter 72 | Verse 2] But my feet were almost moved; my steps had well nigh slipped.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 3] Because I had a zeal on occasion of the wicked, seeing the prosperity of sinners.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 4] For there is no regard to their death, nor is there strength in their stripes.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 5] They are not in the labour of men: neither shall they be scourged like other men.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 6] Therefore pride hath held them fast: they are covered with their iniquity and their wickedness.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 7] Their iniquity hath come forth, as it were from fatness: they have passed into the affection of the heart.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 8] They have thought and spoken wickedness: they have spoken iniquity on high.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 9] They have set their mouth against heaven: and their tongue hath passed through the earth.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 10] Therefore will my people return here and full days shall be found in them.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 11] And they said: How doth God know? and is there knowledge in the most High?
[DRA | EN | OT | Psalms | Chapter 72 | Verse 12] Behold these are sinners; and yet abounding in the world they have obtained riches.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 13] And I said: Then have I in vain justified my heart, and washed my hands among the innocent.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 14] And I have been scourged all the day; and my chastisement hath been in the mornings.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 15] If I said: I will speak thus; behold I should condemn the generation of thy children.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 16] I studied that I might know this thing, it is a labour in my sight:
[DRA | EN | OT | Psalms | Chapter 72 | Verse 17] Until I go into the sanctuary of God, and understand concerning their last ends.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 18] But indeed for deceits thou hast put it to them: when they were lifted up thou hast cast them down.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 19] How are they brought to desolation? they have suddenly ceased to be: they have perished by reason of their iniquity.
[DRA | EN | OT | Psalms | Chapter 72 | Verse 20] As the dream of them that awake, O Lord; so in thy city thou shalt bring their image to nothing.
