[DRA | EN | OT | Psalms | Chapter 83 | Verse 1] Unto the end, for the winepresses, a psalm for the sons of Core.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 2] How lovely are thy tabernacles, O Lord of host!
[DRA | EN | OT | Psalms | Chapter 83 | Verse 3] My soul longeth and fainteth for the courts of the Lord. My heart and my flesh have rejoiced in the living God.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 4] For the sparrow hath found herself a house, and the turtle a nest for herself where she may lay her young ones: Thy altars, O Lord of hosts, my king and my God.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 5] Blessed are they that dwell in thy house, O Lord: they shall praise thee for ever and ever.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 6] Blessed is the man whose help is from thee: in his heart he hath disposed to ascend by steps,
[DRA | EN | OT | Psalms | Chapter 83 | Verse 7] In the vale of tears, in the place which be hath set.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 8] For the lawgiver shall give a blessing, they shall go from virtue to virtue: the God of gods shall be seen in Sion.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 9] O Lord God of hosts, hear my prayer: give ear, O God of Jacob.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 10] Behold, O God our protector: and look on the face of thy Christ.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 11] For better is one day in thy courts above thousands. I have chosen to be an abject in the house of my God, rather than to dwell in the tabernacles of sinners.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 12] For God loveth mercy and truth: the Lord will give grace and glory.
[DRA | EN | OT | Psalms | Chapter 83 | Verse 13] He will not deprive of good things them that walk in innocence: O Lord of hosts, blessed is the man that trusteth in thee.
