[IRV | TE | OT | Joshua | Chapter 21 | Verse 1] లేవీయుల వంశపు పెద్దలు యాజకుడు ఎలియాజరు దగ్గరికీ నూను కుమారుడు యెహోషువ దగ్గరికీ ఇశ్రాయేలీయుల గోత్రాల, కుటుంబాల పెద్దల దగ్గరికీ వచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 2] అప్పుడు వారు కనాను దేశంలోని షిలోహులో వారిని కలిసి “మేము నివసించడానికి పట్టణాలనూ మా పశువులకు పచ్చిక మైదానాలనూ ఇవ్వాలని యెహోవా మోషే ద్వారా ఆజ్ఞాపించాడు” అన్నారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 3] ఇశ్రాయేలీయులు యెహోవా మాట ప్రకారం తమ స్వాస్థ్యంలో ఈ పట్టణాలను, వాటి పచ్చిక మైదానాలను లేవీయులకు ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 4] కహాతీయుల వంశాల చీటి వచ్చింది. లేవీయుల్లో యాజకుడైన అహరోను వంశం వారికి యూదా, షిమ్యోను, బెన్యామీను, గోత్రాల స్వాస్థ్యాల నుండి చీట్ల వలన పదమూడు పట్టణాలు వచ్చాయి.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 5] మిగిలిన కహాతీయులకు ఎఫ్రాయిము, దాను, మనష్షే అర్థ గోత్ర కుటుంబాల నుండి చీట్ల వలన పది పట్టణాలు వచ్చాయి.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 6] గెర్షోనీయులకు ఇశ్శాఖారు, ఆషేరు, నఫ్తాలి, బాషానులో ఉన్న మనష్షే అర్థ గోత్ర కుటుంబాల నుండి చీట్ల వలన పదమూడు పట్టణాలు వచ్చాయి.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 7] మెరారీయులకు రూబేను, గాదు, జెబూలూను గోత్రాల నుండి పన్నెండు పట్టణాలు వచ్చాయి.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 8] యెహోవా మోషే ద్వారా ఆజ్ఞాపించిన ప్రకారం ఇశ్రాయేలీయులు చీట్లు వేసి ఆ పట్టణాలను, పచ్చిక మైదానాలను లేవీయులకు ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 9] యూదా, షిమ్యోను గోత్రాల్లో ఈ కింద చెప్పిన పట్టణాలను వారికిచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 10] వాటిని లేవీయులైన అహరోను వంశంలోని కహాతీయుల కుటుంబాలకు ఇచ్చారు, ఎందుకంటే మొదట పడిన చీటి ప్రకారం వంతు వారిది.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 11] యూదా కొండసీమలో వారికి కిర్యతర్బా, అంటే హెబ్రోను (అర్బా అనాకు తండ్రి) దాని చుట్టూ ఉన్న పచ్చిక మైదానాలు ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 12] అయితే ఆ పట్టణ పొలాలూ దాని పల్లెలు యెఫున్నె కుమారుడు కాలేబుకు ఆస్తిగా ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 13] హత్యచేసిన వారికి ఆశ్రయ పట్టణంగా ఉన్న హెబ్రోను, దాని పచ్చిక మైదానాలు యాజకుడైన అహరోను సంతానపు వారికి ఇచ్చారు.
[IRV | TE | OT | Joshua | Chapter 21 | Verse 14] లిబ్నా, దాని పచ్చిక మైదానాలనూ యత్తీరు, దాని పచ్చిక మైదానాలనూ ఎష్టేమోయ, దాని పచ్చిక మైదానాలనూ హోలోను, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 15] దెబీరు, దాని పచ్చిక మైదానాలనూ ఆయిని, దాని పచ్చిక మైదానాలనూ యుట్టయు, దాని పచ్చిక మైదానాలనూ బేత్షెమెషు, దాని పచ్చిక మైదానాలనూ
[IRV | TE | OT | Joshua | Chapter 21 | Verse 16] అంటే ఆ రెండు గోత్రాల నుండి తొమ్మిది పట్టణాలనూ ఇచ్చారు.
