[IRV | TE | OT | Joshua | Chapter 15 | Verse 1] యూదాగోత్రం వారికి వారి వంశాల ప్రకారం చీట్ల వల్ల వచ్చిన వంతు, ఎదోం దేశ సరిహద్దు వరకూ అంటే దక్షిణ దిక్కున సీను ఎడారి చిట్టచివరి దక్షిణ భాగం వరకూ ఉంది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 2] వారి దక్షిణ సరిహద్దు, ఉప్పు సముద్రపు ఒడ్డు నుండి అంటే దక్షిణంగా ఉన్న అఖాతం నుండి వ్యాపించింది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 3] వారి సరిహద్దు అక్రబ్బీము కొండకు దక్షిణంగా ఎక్కి, సీను వరకూ పోయి కాదేషు బర్నేయకు దక్షిణంగా ఎక్కి హెస్రోను మీదుగా అద్దారు ఎక్కి కర్కాయు వైపు తిరిగి
[IRV | TE | OT | Joshua | Chapter 15 | Verse 4] అస్మోను గుండా ఐగుప్తు వాగు పక్కగా వెళ్ళింది. ఇది సముద్రం ఒడ్డు వరకూ ఉంది. ఇది వారి దక్షిణ సరిహద్దు.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 5] దాని తూర్పు సరిహద్దు యొర్దాను చివరివరకూ ఉన్న ఉప్పు సముద్రం. ఉత్తరదిక్కు సరిహద్దు యొర్దాను చివర ఉన్న సముద్రాఖాతం మొదలుకొని వ్యాపించింది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 6] ఆ సరిహద్దు బేత్‌హోగ్లా వరకూ వెళ్లి బేత్ అరాబాకు ఉత్తరంగా వ్యాపించింది. అక్కడనుండి ఆ సరిహద్దు రూబేనీయుడైన బోహను రాయి వరకూ వ్యాపించింది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 7] ఆ సరిహద్దు ఆకోరు లోయ నుండి దెబీరు వరకూ వాగుకి దక్షిణ తీరాన ఉన్న అదుమ్మీము కొండ ఎదురుగా ఉన్న గిల్గాలుకు ఉత్తరంగా వ్యాపించింది. ఆ సరిహద్దు ఏన్‌షేమెషు నీళ్లవరకూ వ్యాపించింది. దాని కొన ఏన్‌రోగేలు దగ్గర ఉంది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 8] ఆ సరిహద్దు పడమట బెన్‌ హిన్నోము లోయ గుండా దక్షిణాన యెబూసీయుల పట్టణం వరకూ, అంటే యెరూషలేం వరకూ వెళ్ళింది. ఆ సరిహద్దు పడమట హిన్నోము లోయకు ఎదురుగా ఉన్న కొండ శిఖరం వరకూ వ్యాపించింది. అది ఉత్తర దిక్కున రెఫాయీయుల లోయ చివర ఉంది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 9] ఆ సరిహద్దు ఆ కొండ శిఖరం నుండి నెఫ్తోయ నీళ్ల ఊట వరకూ వెళ్ళింది. అక్కడ నుండి ఏఫ్రోనుకొండ పట్టణాల వరకూ వ్యాపించింది. ఆ సరిహద్దు కిర్యత్యారీం అనే బాలా వరకూ వెళ్ళింది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 10] ఆ సరిహద్దు పడమరగా బాలా నుండి శేయీరు కొండకు వంపుగా సాగి కెసాలోను అనే యారీము కొండ ఉత్తరపు వైపు దాటి బేత్షెమెషు వరకూ దిగి తిమ్నా వైపుకు వ్యాపించింది.
[IRV | TE | OT | Joshua | Chapter 15 | Verse 11] ఆ సరిహద్దు ఎక్రోనుకు ఉత్తరంగా సాగింది. అక్కడ నుండి షిక్రోనుకు చుట్టి వెళ్లి బాలా కొండ దాటి యబ్నెయేలుకు వెళ్ళింది. ఆ సరిహద్దు సముద్రం వరకూ వ్యాపించింది.
