[IRV | GU | OT | Job | Chapter 26 | Verse 1] પછી અયૂબે ઉત્તર આપ્યો અને કહ્યું કે:
[IRV | GU | OT | Job | Chapter 26 | Verse 2] “સામર્થ્ય વગરનાને તમે કેવી રીતે સહાય કરી છે? અને દુર્બળ હાથને તમે કેવી રીતે બચાવ્યા છે?
[IRV | GU | OT | Job | Chapter 26 | Verse 3] અજ્ઞાનીને તમે કેવી રીતે બોધ આપ્યો? અને તમે ખરું ડહાપણ કેવું જાહેર કર્યું છે?
[IRV | GU | OT | Job | Chapter 26 | Verse 4] તમે કોની મદદથી આ શબ્દો બોલ્યા છો? તમને કોના આત્માએ પ્રેરણા આપી છે?”
[IRV | GU | OT | Job | Chapter 26 | Verse 5] બિલ્દાદે ઉત્તર આપ્યો કે, પાણી તથા તેમાં રહેનારની નીચે મરેલાઓ ભયથી ધ્રૂજે છે.
[IRV | GU | OT | Job | Chapter 26 | Verse 6] ઈશ્વરની સમક્ષ શેઓલ ઉઘાડું છે, અને વિનાશને કોઈ આવરણ નથી.
[IRV | GU | OT | Job | Chapter 26 | Verse 7] ઈશ્વર ઉત્તરને ખાલી જગ્યાએ ફેલાવે છે, અને પૃથ્વીને શૂન્યાવકાશ પર લટકાવી છે.
[IRV | GU | OT | Job | Chapter 26 | Verse 8] તેમણે ગાઢ વાદળામાં પાણી ભર્યું છે અને છતાં પાણીના ભારથી વાદળ ફાટતાં નથી.
[IRV | GU | OT | Job | Chapter 26 | Verse 9] ઈશ્વર ચંદ્રના મુખને ઢાંકી દે છે. તે તેના પર વાદળાંઓ પાથરી અને સંતાડી દે છે.
[IRV | GU | OT | Job | Chapter 26 | Verse 10] તેમણે પાણીની સપાટી પર હદ ઠરાવી છે, પ્રકાશ તથા અંધકારની સરહદો પણ નક્કી કરી છે.
[IRV | GU | OT | Job | Chapter 26 | Verse 11] તેમની ધમકીથી આકાશના સ્થંભો કાંપે છે અને વિસ્મિત થાય છે.
[IRV | GU | OT | Job | Chapter 26 | Verse 12] તે પોતાની શક્તિથી સમુદ્રને શાંત કરે છે. પોતાના ડહાપણથી તે અજગરને વીંધે છે.
[IRV | GU | OT | Job | Chapter 26 | Verse 13] તેમના શ્વાસે આકાશને નિર્મળ કર્યું છે; તેમના હાથે જલદ સર્પને વીંધ્યો છે.
[IRV | GU | OT | Job | Chapter 26 | Verse 14] જુઓ, આ તો માત્ર તેમના માર્ગનો ઇશારો છે; આપણે તેમનો ઝીણો ગણગણાટ સાંભળીએ છીએ ખરા? પણ તેમના પરિપૂર્ણ પરાક્રમની ગર્જનાને કોણ સમજી શકે?”
