[IRV | GU | OT | Job | Chapter 8 | Verse 1] ત્યારે બિલ્દાદ શૂહીએ જવાબ આપ્યો અને કહ્યું કે,
[IRV | GU | OT | Job | Chapter 8 | Verse 2] “તું ક્યાં સુધી આવી વાતો કરીશ? તારા તોફાની શબ્દો ક્યાં સુધી વંટોળિયાની જેમ તારા મુખમાંથી નીકળ્યા કરશે?
[IRV | GU | OT | Job | Chapter 8 | Verse 3] શું ઈશ્વર અન્યાય કરે છે? સર્વશક્તિમાન ઈશ્વર ઈન્સાફ ઊંધો વાળે છે?
[IRV | GU | OT | Job | Chapter 8 | Verse 4] જો તારા સંતાનોએ તેમની વિરુદ્ધ પાપ કર્યું હશે, તો ઈશ્વરે તેમને તેમના પાપનું ફળ આપ્યું છે.
[IRV | GU | OT | Job | Chapter 8 | Verse 5] જો તું ખંતથી ઈશ્વરની શોધ કરશે, અને સર્વશક્તિમાનની યાચના કરશે,
[IRV | GU | OT | Job | Chapter 8 | Verse 6] અને તું જો પવિત્ર અને પ્રામાણિક હોત; તો નિશ્ચે તે હમણાં તારે સારુ જાગૃત થઈને, તારાં ધાર્મિક ઘરને આબાદ કરત.
[IRV | GU | OT | Job | Chapter 8 | Verse 7] જો કે તારી શરૂઆત નહિ જેવી હતી. તોપણ આખરે તે તને બહુ સફળ કરત.
[IRV | GU | OT | Job | Chapter 8 | Verse 8] કૃપા કરીને તું અગાઉની પેઢીઓને પૂછી જો; આપણા પિતૃઓએ શોધી નાખ્યું તે જાણી લે.
[IRV | GU | OT | Job | Chapter 8 | Verse 9] આપણે તો આજકાલના છીએ અને કંઈ જ જાણતા નથી. પૃથ્વી પરનું આપણું જીવન પડછાયા જેવું છે.
[IRV | GU | OT | Job | Chapter 8 | Verse 10] શું તેઓ તને નહિ શીખવે? અને કંઈ નહિ કહે? તેઓ પોતાના ડહાપણના શબ્દો તને નહિ કહે?
[IRV | GU | OT | Job | Chapter 8 | Verse 11] શું કાદવ વિના છોડ ઊગે? કે, જળ વિના બરુ ઊગે?
[IRV | GU | OT | Job | Chapter 8 | Verse 12] હજી તો તે લીલાં હોય છે. અને કપાયેલાં હોતાં નથી. એટલામાં બીજી કોઈ વનસ્પતિ અગાઉ તે સુકાઈ જાય છે.
[IRV | GU | OT | Job | Chapter 8 | Verse 13] ઈશ્વરને ભૂલી જનાર સર્વના એવા જ હાલ થાય છે અને અધર્મીની આશા એમ જ નાશ પામશે.
[IRV | GU | OT | Job | Chapter 8 | Verse 14] તેની આશા ભંગ થઈ જશે. તેનો ભરોસો કરોળિયાની જાળ જેવો નાજુક છે.
[IRV | GU | OT | Job | Chapter 8 | Verse 15] તે પોતાના ઘર પર આધાર રાખશે, પણ તે ઊભું નહિ રહેશે. તે તેને મજબૂતાઈથી પકડી રાખશે પણ તે ટકશે નહિ.
[IRV | GU | OT | Job | Chapter 8 | Verse 16] સૂર્યના પ્રકાશથી તે લીલો હોય છે. તેની ડાળીઓ ફૂટીને આખા બગીચામાં ફેલાય છે.
[IRV | GU | OT | Job | Chapter 8 | Verse 17] તેનાં મૂળ ઝરાની પાસે પથ્થરોને વીંટળાયેલાં હોય છે; તેઓ પર્વતો પર સારી જગ્યાઓ શોધે છે.
[IRV | GU | OT | Job | Chapter 8 | Verse 18] જો તે નાશ પામે તો તેની જગા તેનો નકાર કરશે કે, ‘મેં તને જોયો જ નથી.’
[IRV | GU | OT | Job | Chapter 8 | Verse 19] જુઓ, આ તો તેના માર્ગની ખૂબી છે; અને જમીનમાંથી અન્ય ઊગી નીકળશે.
[IRV | GU | OT | Job | Chapter 8 | Verse 20] ઈશ્વર નિર્દોષ માણસનો ત્યાગ કરશે નહિ, અને દુષ્કર્મીઓનો તે નિભાવ કરશે નહિ.
[IRV | GU | OT | Job | Chapter 8 | Verse 21] હજી પણ તેઓ તારા ચહેરાને હાસ્યથી ભરશે. અને તારા હોઠોને આનંદના પોકારોથી ભરી દેશે.
[IRV | GU | OT | Job | Chapter 8 | Verse 22] તારા દુશ્મનો શરમથી છુપાઈ જશે અને દુર્જનોનો તંબુ નાશ પામશે.”
