[WEB | EN | OT | Zechariah | Chapter 2 | Verse 1] I lifted up my eyes, and saw, and behold, a man with a measuring line in his hand.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 2] Then I asked, “Where are you going?” He said to me, “To measure Jerusalem, to see what is its width and what is its length.”
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 3] Behold, the angel who talked with me went out, and another angel went out to meet him,
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 4] and said to him, “Run, speak to this young man, saying, ‘Jerusalem will be inhabited as villages without walls, because of the multitude of men and livestock in it.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 5] For I,’ says the LORD, ‘will be to her a wall of fire around it, and I will be the glory in the middle of her.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 6] Come! Come! Flee from the land of the north,’ says the LORD; ‘for I have spread you abroad as the four winds of the sky,’ says the LORD.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 7] ‘Come, Zion! Escape, you who dwell with the daughter of Babylon.’
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 8] For the LORD of Armies says: ‘For honor he has sent me to the nations which plundered you; for he who touches you touches the apple of his eye.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 9] For, behold, I will shake my hand over them, and they will be a plunder to those who served them; and you will know that the LORD of Armies has sent me.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 10] Sing and rejoice, daughter of Zion! For behold, I come and I will dwell within you,’ says the LORD.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 11] Many nations shall join themselves to the LORD in that day, and shall be my people; and I will dwell among you, and you shall know that the LORD of Armies has sent me to you.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 12] The LORD will inherit Judah as his portion in the holy land, and will again choose Jerusalem.
[WEB | EN | OT | Zechariah | Chapter 2 | Verse 13] Be silent, all flesh, before the LORD; for he has roused himself from his holy habitation!”
