[WEB | EN | OT | Zechariah | Chapter 10 | Verse 1] Ask of the LORD rain in the spring time, the LORD who makes storm clouds, and he gives rain showers to everyone for the plants in the field.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 2] For the teraphim have spoken vanity, and the diviners have seen a lie; and they have told false dreams. They comfort in vain. Therefore they go their way like sheep. They are oppressed, because there is no shepherd.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 3] My anger is kindled against the shepherds, and I will punish the male goats, for the LORD of Armies has visited his flock, the house of Judah, and will make them as his majestic horse in the battle.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 4] From him will come the cornerstone, from him the tent peg, from him the battle bow, from him every ruler together.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 5] They will be as mighty men, treading down muddy streets in the battle. They will fight, because the LORD is with them. The riders on horses will be confounded.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 6] “I will strengthen the house of Judah, and I will save the house of Joseph. I will bring them back, for I have mercy on them. They will be as though I had not cast them off, for I am the LORD their God, and I will hear them.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 7] Ephraim will be like a mighty man, and their heart will rejoice as through wine. Yes, their children will see it and rejoice. Their heart will be glad in the LORD.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 8] I will signal for them and gather them, for I have redeemed them. They will increase as they were before.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 9] I will sow them among the peoples. They will remember me in far countries. They will live with their children and will return.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 10] I will bring them again also out of the land of Egypt, and gather them out of Assyria. I will bring them into the land of Gilead and Lebanon; and there won’t be room enough for them.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 11] He will pass through the sea of affliction, and will strike the waves in the sea, and all the depths of the Nile will dry up; and the pride of Assyria will be brought down, and the scepter of Egypt will depart.
[WEB | EN | OT | Zechariah | Chapter 10 | Verse 12] I will strengthen them in the LORD. They will walk up and down in his name,” says the LORD.
