[IRV | HI | NT | Matthew | Chapter 25 | Verse 1] “तब स्वर्ग का राज्य उन दस कुँवारियों के समान होगा जो अपनी मशालें लेकर दूल्हे से भेंट करने को निकलीं।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 2] उनमें पाँच मूर्ख और पाँच समझदार थीं।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 3] मूर्खों ने अपनी मशालें तो लीं, परन्तु अपने साथ तेल नहीं लिया।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 4] परन्तु समझदारों ने अपनी मशालों के साथ अपनी कुप्पियों में तेल भी भर लिया।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 5] जब दुल्हे के आने में देर हुई, तो वे सब उँघने लगीं, और सो गई।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 6] “आधी रात को धूम मची, कि देखो, दूल्हा आ रहा है, उससे भेंट करने के लिये चलो।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 7] तब वे सब कुँवारियाँ उठकर अपनी मशालें ठीक करने लगीं।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 8] और मूर्खों ने समझदारों से कहा, ‘अपने तेल में से कुछ हमें भी दो, क्योंकि हमारी मशालें बुझ रही हैं।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 9] परन्तु समझदारों ने उत्तर दिया कि कही हमारे और तुम्हारे लिये पूरा न हो; भला तो यह है, कि तुम बेचनेवालों के पास जाकर अपने लिये मोल ले लो।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 10] जब वे मोल लेने को जा रही थीं, तो दूल्हा आ पहुँचा, और जो तैयार थीं, वे उसके साथ विवाह के घर में चलीं गई और द्वार बन्द किया गया।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 11] इसके बाद वे दूसरी कुँवारियाँ भी आकर कहने लगीं, ‘हे स्वामी, हे स्वामी, हमारे लिये द्वार खोल दे।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 12] उसने उत्तर दिया, कि मैं तुम से सच कहता हूँ, मैं तुम्हें नहीं जानता।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 13] इसलिए जागते रहो, क्योंकि तुम न उस दिन को जानते हो, न उस समय को।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 14] “क्योंकि यह उस मनुष्य के समान दशा है जिसने परदेश को जाते समय अपने दासों को बुलाकर अपनी सम्पत्ति उनको सौंप दी।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 15] उसने एक को पाँच तोड़े, दूसरे को दो, और तीसरे को एक; अर्थात् हर एक को उसकी सामर्थ्य के अनुसार दिया, और तब परदेश चला गया।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 16] तब, जिसको पाँच तोड़े मिले थे, उसने तुरन्त जाकर उनसे लेन-देन किया, और पाँच तोड़े और कमाए।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 17] इसी रीति से जिसको दो मिले थे, उसने भी दो और कमाए।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 18] परन्तु जिसको एक मिला था, उसने जाकर मिट्टी खोदी, और अपने स्वामी का धन छिपा दिया।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 19] “बहुत दिनों के बाद उन दासों का स्वामी आकर उनसे लेखा लेने लगा।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 20] जिसको पाँच तोड़े मिले थे, उसने पाँच तोड़े और लाकर कहा, ‘हे स्वामी, तूने मुझे पाँच तोड़े सौंपे थे, देख मैंने पाँच तोड़े और कमाए हैं।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 21] उसके स्वामी ने उससे कहा, ‘धन्य हे अच्छे और विश्वासयोग्य दास, तू थोड़े में विश्वासयोग्य रहा; मैं तुझे बहुत वस्तुओं का अधिकारी बनाऊँगा। अपने स्वामी के आनन्द में सहभागी हो।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 22] “और जिसको दो तोड़े मिले थे, उसने भी आकर कहा, ‘हे स्वामी तूने मुझे दो तोड़े सौंपे थे, देख, मैंने दो तोड़े और कमाए।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 23] उसके स्वामी ने उससे कहा, ‘धन्य हे अच्छे और विश्वासयोग्य दास, तू थोड़े में विश्वासयोग्य रहा, मैं तुझे बहुत वस्तुओं का अधिकारी बनाऊँगा अपने स्वामी के आनन्द में सहभागी हो।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 24] “तब जिसको एक तोड़ा मिला था, उसने आकर कहा, ‘हे स्वामी, मैं तुझे जानता था, कि तू कठोर मनुष्य है: तू जहाँ कहीं नहीं बोता वहाँ काटता है, और जहाँ नहीं छींटता वहाँ से बटोरता है।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 25] इसलिए मैं डर गया और जाकर तेरा तोड़ा मिट्टी में छिपा दिया; देख, ‘जो तेरा है, वह यह है।’
[IRV | HI | NT | Matthew | Chapter 25 | Verse 26] उसके स्वामी ने उसे उत्तर दिया, कि हे दुष्ट और आलसी दास; जब तू यह जानता था, कि जहाँ मैंने नहीं बोया वहाँ से काटता हूँ; और जहाँ मैंने नहीं छींटा वहाँ से बटोरता हूँ।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 27] तो तुझे चाहिए था, कि मेरा धन सर्राफों को दे देता, तब मैं आकर अपना धन ब्याज समेत ले लेता।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 28] इसलिए वह तोड़ा उससे ले लो, और जिसके पास दस तोड़े हैं, उसको दे दो।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 29] क्योंकि जिस किसी के पास है, उसे और दिया जाएगा; और उसके पास बहुत हो जाएगा: परन्तु जिसके पास नहीं है, उससे वह भी जो उसके पास है, ले लिया जाएगा।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 30] और इस निकम्मे दास को बाहर के अंधेरे में डाल दो, जहाँ रोना और दाँत पीसना होगा।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 31] “जब मनुष्य का पुत्र अपनी महिमा में आएगा, और सब स्वर्गदूत उसके साथ आएँगे तो वह अपनी महिमा के सिंहासन पर विराजमान होगा।
[IRV | HI | NT | Matthew | Chapter 25 | Verse 32] और सब जातियाँ उसके सामने इकट्ठी की जाएँगी; और जैसा चरवाहा भेड़ों को बकरियों से अलग कर देता है, वैसा ही वह उन्हें एक दूसरे से अलग करेगा।
