[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 1] Now concerning the collection for the saints, as I have given order to the churches of Galatia, even so do ye.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 2] Upon the first day of the week, let every one of you lay by him in store, as God hath prospered him, that there be no collections when I come.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 3] And when I come, whomsoever ye shall approve by your letters, them will I send to bring your liberality to Jerusalem.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 4] And if it be proper that I should go also, they shall go with me.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 5] Now I will come to you, when I shall pass through Macedonia: for I am to pass through Macedonia.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 6] And it may be that I shall abide, and even winter with you, that ye may bring me on my journey whithersoever I go.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 7] For I will not see you now by the way; but I trust to tarry a while with you, if the Lord permit.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 8] But I shall tarry at Ephesus until Pentecost.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 9] For a great door and effectual is opened to me, and there are many adversaries.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 10] Now if Timothy come, see that he may be with you without fear: for he worketh the work of the Lord, as I also do .
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 11] Let no man therefore despise him: but conduct him forth in peace, that he may come to me: for I look for him with the brethren.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 12] As concerning our brother Apollos, I greatly desired him to come to you with the brethren: but his will was not at all to come at this time; but he will come when he shall have convenient time.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 13] Watch ye, stand fast in the faith, acquit yourselves like men, be strong.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 14] Let all your things be done with charity.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 15] I beseech you, brethren, (ye know the house of Stephanas, that it is the first fruits of Achaia, and that they have addicted themselves to the ministry of the saints,)
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 16] That ye submit yourselves to such, and to every one that helpeth with us , and laboreth.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 17] I am glad of the coming of Stephanas, and Fortunatus, and Achaicus: for that which was lacking on your part, they have supplied.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 18] For they have refreshed my spirit and yours: therefore acknowledge ye them that are such.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 19] The churches of Asia salute you. Aquila and Priscilla salute you much in the Lord, with the church that is in their house.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 20] All the brethren greet you. Greet ye one another with a holy kiss.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 21] The salutation of me Paul with my own hand.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 22] If any man loveth not the Lord Jesus Christ, let him be Anathema, Maran-atha.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 23] The grace of our Lord Jesus Christ be with you.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 16 | Verse 24] My love be with you all in Christ Jesus. Amen.
