[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 1] Follow after charity, and desire spiritual gifts , but rather that ye may prophesy.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 2] For he that speaketh in an unknown language, speaketh not to men, but to God: for no man understandeth him ; yet in the spirit he speaketh mysteries.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 3] But he that prophesieth, speaketh to men to edification, and exhortation, and comfort.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 4] He that speaketh in an unknown language edifieth himself; but he that prophesieth edifieth the church.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 5] I would that ye all spoke in languages, but rather that ye prophesied: for greater is he that prophesieth than he that speaketh in languages, except he interpret, that the church may receive edifying.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 6] Now, brethren, if I come to you speaking in languages, what shall I profit you, except I shall speak to you either by revelation, or by knowledge, or by prophesying, or by doctrine?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 7] And even things without life giving sound, whether pipe or harp, except they give a distinction in the sounds, how shall it be known what is piped or harped?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 8] For if the trumpet shall give an uncertain sound, who will prepare himself for battle?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 9] So likewise ye, except ye utter by the tongue words easy to be understood, how shall it be known what is spoken? for ye will speak into the air.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 10] There are, it may be, so many kinds of voices in the world, and none of them is without signification.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 11] Therefore, if I know not the meaning of the voice, I shall be to him that speaketh a barbarian, and he that speaketh will be a barbarian to me.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 12] Even so ye, forasmuch as ye are zealous of spiritual gifts , seek that ye may excel to the edifying of the church.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 13] Wherefore, let him that speaketh in an unknown language, pray that he may interpret.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 14] For if I pray in an unknown language, my spirit prayeth, but my understanding is unfruitful.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 15] What is it then? I will pray with the spirit, and I will pray with the understanding also: I will sing with the spirit, and I will sing with the understanding also.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 16] Else, when thou shalt bless with the spirit, how shall he that occupieth the room of the unlearned say Amen at thy giving of thanks, seeing he understandeth not what thou sayest?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 17] For thou verily givest thanks well, but the other is not edified.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 18] I thank my God, I speak in languages more than ye all:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 19] Yet in the church I had rather speak five words with my understanding, that by my voice I may teach others also, than ten thousand words in an unknown language.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 20] Brethren, be not children in understanding: yet in malice be ye children, but in understanding be men.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 21] In the law it is written, With men of other tongues and other lips will I speak to this people; and yet for all that will they not hear me, saith the Lord.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 14 | Verse 22] Wherefore languages are for a sign, not to them that believe, but to them that believe not: but prophesying serveth not for them that believe not, but for them who believe.
