[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 1] Moreover, brethren, I would not that ye should be ignorant, that all our fathers were under the cloud, and all passed through the sea;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 2] And were all baptized to Moses in the cloud and in the sea;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 3] And all ate the same spiritual food;
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 4] And all drank the same spiritual drink: (for they drank of that spiritual Rock that followed them: and that Rock was Christ.)
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 5] But with many of them God was not well pleased: for they were overthrown in the wilderness.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 6] Now these things were our examples, to the intent we should not lust after evil things, as they also lusted.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 7] Neither be ye idolaters, as were some of them: as it is written, The people sat down to eat and drink, and rose up to play.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 8] Neither let us commit lewdness, as some of them committed, and fell in one day three and twenty thousand.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 9] Neither let us tempt Christ, as some of them also tempted, and were destroyed by serpents.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 10] Neither murmur ye, as some of them also murmured, and were destroyed by the destroyer.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 11] Now all these things happened to them for examples: and they are written for our admonition, upon whom the ends of the world are come.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 12] Wherefore let him that thinketh he standeth, take heed lest he fall.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 13] There hath no temptation taken you but such as is common to man: but God is faithful, who will not suffer you to be tempted above what ye are able; but will with the temptation also make a way to escape, that ye may be able to bear it .
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 14] Wherefore, my dearly beloved, flee from idolatry.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 15] I speak as to wise men; judge ye what I say.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 16] The cup of blessing which we bless, is it not the communion of the blood of Christ? The bread which we break, is it not the communion of the body of Christ?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 17] For we being many are one bread, and one body: for we are all partakers of that one bread.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 18] Behold Israel after the flesh: are not they who eat of the sacrifices, partakers of the altar?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 19] What then do I say? that the idol is any thing, or that which is offered in sacrifice to idols is any thing?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 20] But I say , that the things which the Gentiles sacrifice, they sacrifice to demons, and not to God: and I would not that ye should have fellowship with demons.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 21] Ye cannot drink the cup of the Lord, and the cup of demons: ye cannot be partakers of the Lord's table, and of the table of demons.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 22] Do we provoke the Lord to jealousy? are we stronger than he?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 23] All things are lawful for me, but all things are not expedient: all things are lawful for me, but all things edify not.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 24] Let no man seek his own, but every man another's wealth .
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 25] Whatever is sold in the provision market, that eat, asking no question for conscience' sake:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 26] For the earth is the Lord's, and its fullness.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 27] If any of them that believe not invites you to a feast , and ye are disposed to go; whatever is set before you, eat, asking no question on account of conscience.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 28] But if any man shall say to you, This is offered in sacrifice to idols, eat not for his sake that showed it, and for conscience' sake: for the earth is the Lord's, and its fullness:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 29] Conscience, I say, not thy own, but of the other: for why is my liberty judged by another man's conscience?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 30] For if I by grace am a partaker, why am I evil spoken of for that for which I give thanks?
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 31] Whether therefore ye eat or drink, or whatever ye do, do all to the glory of God.
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 32] Give no offense, neither to the Jews, nor to the Gentiles, nor to the church of God:
[WEBSTER | EN | NT | 1 Corinthians | Chapter 10 | Verse 33] Even as I please all men in all things , not seeking my own profit, but the profit of many, that they may be saved.
